dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.019395000000258733
physionet_eegmmidb_real,knn__k3,tv,0.1,0,2.0331355005330663e-06,9.158034546562262e-06,15.972388227309521,5.912795372334639e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1797621000005165
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,0,1.0050147674611182e-05,1.3421923000979596e-05,13.213922747751894,9.748366995526747e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.009253199999875505
physionet_eegmmidb_real,knn__k3,mean,0.1,0,2.0891927083333334e-06,9.382006650523193e-06,15.715258986505807,6.056819904662732e-05,{},,2,0.0019447000004220172
physionet_eegmmidb_real,knn__k3,nearest,0.1,0,2.363932291666667e-06,1.0974941865829328e-05,14.280116281828379,6.958707990067239e-05,{},,2,0.003131500000563392
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018683999999666412
physionet_eegmmidb_real,knn__k3,tv,0.1,1,1.993362537215892e-06,8.602641364004525e-06,16.19147553062678,5.478927017800428e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.16908880000028148
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,1,1.0030648191082369e-05,1.333490107465853e-05,13.235049390728113,9.71287370986956e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.01021619999937684
physionet_eegmmidb_real,knn__k3,mean,0.1,1,2.049550189393939e-06,8.827531969830222e-06,15.952146395128615,5.5931068574689876e-05,{},,2,0.0023353999995379127
physionet_eegmmidb_real,knn__k3,nearest,0.1,1,2.3187499999999996e-06,1.0531525095318975e-05,14.772311855756408,6.394903918827923e-05,{},,2,0.0030060000008234056
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018912599999566737
physionet_eegmmidb_real,knn__k3,tv,0.1,2,2.0435181253114972e-06,9.063818886002277e-06,16.00707046772196,5.309902560592301e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17530119999992166
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,2,1.0063282225409643e-05,1.3475797873107851e-05,13.199085257076646,9.569929474070442e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.010030200000073819
physionet_eegmmidb_real,knn__k3,mean,0.1,2,2.096176609848485e-06,9.277391782081692e-06,15.787328039875183,5.419412769740566e-05,{},,2,0.001931299999341718
