dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.1,0,1.2466901388841447e-06,5.772827918953336e-06,20.014428354801975,3.895040923773245e-05,{},,2,46.75690769999983
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,0,2.7777817384900137e-05,3.500440525076156e-05,3.3956932654040393,0.0002463390189843356,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.5938108999998803
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.1,0,9.189842952614305e-07,4.296195947030381e-06,22.609033065098146,3.031761115567303e-05,{},,2,0.024939099999755854
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,0,3.222142378477255e-06,1.3873430249504602e-05,11.68771790008748,8.662751309173255e-05,{},,2,0.03804810000019643
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.1,1,1.2212033988362687e-06,5.609463316616734e-06,20.143910544302813,3.8271229028237015e-05,{},,2,45.88558399999965
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,1,2.7736518849992586e-05,3.4953470699536886e-05,3.421354619110939,0.0002492569094428523,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.856881699999576
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.1,1,8.869790751323243e-07,4.180261975407544e-06,22.793544400974053,2.8917338865894137e-05,{},,2,0.02663880000000063
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,1,3.2490763974883655e-06,1.3866307466262307e-05,11.697404696051066,8.65075956281556e-05,{},,2,0.04056310000032681
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.1,2,1.2877217717518792e-06,5.972235261373128e-06,20.064425826528037,3.2664106841748174e-05,{},,2,47.24218910000036
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,2,2.7760222220713695e-05,3.5057725034380054e-05,3.394889344925001,0.00024760852935305766,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.872507100000803
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.1,2,9.120875680685067e-07,4.304737579671116e-06,22.66673360541616,2.5082254180700642e-05,{},,2,0.02768400000059046
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,2,3.2607331476879183e-06,1.4261583370572413e-05,11.731149028541992,8.198461369446239e-05,{},,2,0.04184309999982361
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.1,3,1.1921785938952293e-06,5.491405861477373e-06,20.29781911843156,3.724130595891641e-05,{},,2,47.37012690000029
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,3,2.7654521312138148e-05,3.483121352695332e-05,3.4513037728382514,0.00024931324768007174,"{""alpha"": 0.5, ""beta"": 0.5}",,2,2.1949218999998266
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.1,3,8.690778098818085e-07,3.957086532360098e-06,22.971003720315796,2.7953903642089932e-05,{},,2,0.03269629999977042
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,3,3.058839576606214e-06,1.3541654531728824e-05,11.930074987452407,8.265322077823387e-05,{},,2,0.0580694999998741
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.2,0,2.518728735277342e-06,8.088002849079953e-06,16.83439626068898,5.682595442663547e-05,{},,5,49.116397400000096
