method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4749,0.0317,0.4729,0.4417,0.5081,6
bgsrp,0.1,rmse,0.5793,0.0253,0.5722,0.5527,0.6059,6
bgsrp,0.1,snr,2.369,0.5609,2.3739,1.7805,2.9576,6
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4883,0.0376,0.479,0.4489,0.5278,6
bgsrp,0.2,rmse,0.6031,0.0442,0.5894,0.5566,0.6495,6
bgsrp,0.2,snr,2.2615,0.5594,2.3247,1.6744,2.8486,6
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5072,0.0305,0.4966,0.4751,0.5392,6
bgsrp,0.3,rmse,0.6465,0.0539,0.64,0.5899,0.7031,6
bgsrp,0.3,snr,2.257,0.698,2.1241,1.5246,2.9895,6
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5371,0.0409,0.5257,0.4942,0.58,6
bgsrp,0.4,rmse,0.6917,0.1008,0.6652,0.5859,0.7975,6
bgsrp,0.4,snr,1.8757,0.2455,1.8933,1.6181,2.1333,6
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0947,0.0283,0.0863,0.065,0.1243,6
directed_tv,0.1,rmse,0.3346,0.1106,0.3034,0.2186,0.4507,6
directed_tv,0.1,snr,-2.5234,2.7732,-2.2778,-5.4337,0.3869,6
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1478,0.0338,0.1381,0.1124,0.1833,6
directed_tv,0.2,rmse,0.3848,0.0889,0.3549,0.2915,0.4781,6
directed_tv,0.2,snr,-1.0777,1.8302,-0.2333,-2.9984,0.843,6
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.204,0.0099,0.2009,0.1936,0.2144,6
directed_tv,0.3,rmse,0.4279,0.0369,0.4119,0.3891,0.4667,6
directed_tv,0.3,snr,-0.198,0.7374,-0.0272,-0.9718,0.5759,6
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2622,0.0167,0.2627,0.2447,0.2796,6
directed_tv,0.4,rmse,0.4777,0.0312,0.4728,0.445,0.5104,6
directed_tv,0.4,snr,-0.2319,0.5861,-0.0942,-0.847,0.3832,6
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3086,0.1525,0.3111,0.1486,0.4686,6
graph_time_tikhonov,0.1,rmse,0.4024,0.1222,0.4038,0.2742,0.5306,6
graph_time_tikhonov,0.1,snr,8.4515,5.9541,8.0307,2.2031,14.7,6
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.341,0.1368,0.3412,0.1974,0.4846,6
graph_time_tikhonov,0.2,rmse,0.4507,0.0956,0.4618,0.3504,0.5511,6
graph_time_tikhonov,0.2,snr,7.6378,5.3695,7.3694,2.0029,13.2728,6
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.3854,0.1156,0.3864,0.2641,0.5067,6
graph_time_tikhonov,0.3,rmse,0.5118,0.0704,0.5208,0.4379,0.5857,6
graph_time_tikhonov,0.3,snr,6.5598,4.6166,6.2843,1.7149,11.4046,6
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4203,0.097,0.421,0.3184,0.5221,6
graph_time_tikhonov,0.4,rmse,0.5526,0.05,0.5619,0.5001,0.605,6
graph_time_tikhonov,0.4,snr,5.6515,3.9806,5.5774,1.4742,9.8289,6
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0713,0.0103,0.0656,0.0605,0.082,6
gsmooth,0.1,rmse,0.242,0.0231,0.2313,0.2178,0.2663,6
gsmooth,0.1,snr,-0.0741,0.4118,-0.0957,-0.5063,0.358,6
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1262,0.0047,0.1243,0.1213,0.1311,6
gsmooth,0.2,rmse,0.3206,0.0091,0.3234,0.311,0.3301,6
gsmooth,0.2,snr,0.154,0.6036,0.0807,-0.4795,0.7875,6
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2055,0.0086,0.2036,0.1965,0.2145,6
gsmooth,0.3,rmse,0.4201,0.0172,0.4155,0.4021,0.4381,6
gsmooth,0.3,snr,-0.3259,0.4134,-0.406,-0.7597,0.1079,6
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2611,0.0191,0.2668,0.2411,0.2812,6
gsmooth,0.4,rmse,0.4701,0.0212,0.4695,0.4478,0.4924,6
gsmooth,0.4,snr,-0.2617,0.212,-0.2655,-0.4842,-0.0393,6
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0749,0.0098,0.0761,0.0647,0.0852,6
gsp,0.1,rmse,0.2577,0.028,0.2593,0.2283,0.2871,6
gsp,0.1,snr,-0.5922,0.7426,-0.5976,-1.3716,0.1871,6
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1317,0.0133,0.1263,0.1178,0.1456,6
gsp,0.2,rmse,0.3394,0.0293,0.3287,0.3087,0.3702,6
gsp,0.2,snr,-0.1929,1.0403,-0.2742,-1.2847,0.8988,6
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2106,0.013,0.2099,0.197,0.2243,6
gsp,0.3,rmse,0.4353,0.027,0.4302,0.407,0.4636,6
gsp,0.3,snr,-0.5705,0.7013,-0.5986,-1.3064,0.1655,6
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2694,0.0249,0.2718,0.2433,0.2955,6
gsp,0.4,rmse,0.4948,0.0374,0.4887,0.4556,0.5341,6
gsp,0.4,snr,-0.5917,0.4941,-0.4401,-1.1102,-0.0731,6
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.0711,0.0078,0.0672,0.0629,0.0792,6
heat_diffusion_temporal,0.1,rmse,0.2384,0.0144,0.2322,0.2233,0.2536,6
heat_diffusion_temporal,0.1,snr,0.0141,0.1416,0.0078,-0.1346,0.1627,6
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.1281,0.0066,0.1298,0.1212,0.1349,6
heat_diffusion_temporal,0.2,rmse,0.3187,0.0082,0.3178,0.3101,0.3273,6
heat_diffusion_temporal,0.2,snr,0.0783,0.1672,0.0023,-0.0972,0.2537,6
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.2009,0.004,0.1996,0.1967,0.2051,6
heat_diffusion_temporal,0.3,rmse,0.4015,0.0093,0.3981,0.3918,0.4112,6
heat_diffusion_temporal,0.3,snr,-0.065,0.1781,-0.0466,-0.2518,0.1219,6
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.2587,0.018,0.267,0.2398,0.2777,6
heat_diffusion_temporal,0.4,rmse,0.4544,0.0183,0.4591,0.4352,0.4736,6
heat_diffusion_temporal,0.4,snr,-0.0319,0.14,0.0084,-0.1788,0.115,6
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0706,0.0098,0.0661,0.0603,0.0809,6
idw,0.1,rmse,0.2425,0.0254,0.2334,0.2159,0.2692,6
idw,0.1,snr,-0.0737,0.5326,-0.175,-0.6326,0.4852,6
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1296,0.0042,0.1289,0.1252,0.134,6
idw,0.2,rmse,0.329,0.0047,0.332,0.3241,0.334,6
idw,0.2,snr,-0.1695,0.3789,-0.099,-0.5671,0.2281,6
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2111,0.0065,0.209,0.2043,0.218,6
idw,0.3,rmse,0.4307,0.0151,0.4312,0.4148,0.4465,6
idw,0.3,snr,-0.61,0.2846,-0.7459,-0.9086,-0.3114,6
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2667,0.0179,0.2753,0.2479,0.2856,6
idw,0.4,rmse,0.4837,0.0139,0.4864,0.4691,0.4983,6
idw,0.4,snr,-0.5425,0.1185,-0.5988,-0.6669,-0.4181,6
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0787,0.0138,0.0784,0.0642,0.0932,6
linear,0.1,rmse,0.2875,0.0359,0.2949,0.2499,0.3251,6
linear,0.1,snr,-1.4214,1.0445,-1.9947,-2.5176,-0.3252,6
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1578,0.0196,0.1624,0.1372,0.1784,6
linear,0.2,rmse,0.4195,0.0458,0.42,0.3714,0.4675,6
linear,0.2,snr,-2.2491,0.7086,-2.165,-2.9928,-1.5055,6
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2424,0.0115,0.2364,0.2303,0.2545,6
linear,0.3,rmse,0.5158,0.0175,0.5122,0.4974,0.5341,6
linear,0.3,snr,-2.1408,0.2162,-2.0198,-2.3677,-1.9138,6
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.3056,0.0227,0.3075,0.2818,0.3294,6
linear,0.4,rmse,0.5758,0.0252,0.5696,0.5494,0.6023,6
linear,0.4,snr,-2.0198,0.252,-2.041,-2.2842,-1.7554,6
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.07,0.0122,0.0659,0.0572,0.0829,6
mean,0.1,rmse,0.2376,0.0294,0.231,0.2068,0.2685,6
mean,0.1,snr,0.1013,0.6888,-0.0857,-0.6215,0.8241,6
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1268,0.0062,0.1252,0.1203,0.1333,6
mean,0.2,rmse,0.319,0.014,0.3272,0.3043,0.3338,6
mean,0.2,snr,0.079,0.5807,-0.0439,-0.5304,0.6884,6
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2061,0.005,0.2039,0.2008,0.2114,6
mean,0.3,rmse,0.4202,0.0123,0.4161,0.4073,0.4331,6
mean,0.3,snr,-0.3729,0.1733,-0.4065,-0.5547,-0.191,6
mean,0.3,dtw,,,,,,0
mean,0.4,mae,0.2606,0.0196,0.2611,0.2401,0.2812,6
mean,0.4,rmse,0.4673,0.0228,0.4587,0.4435,0.4912,6
mean,0.4,snr,-0.2283,0.3245,-0.2628,-0.5688,0.1123,6
mean,0.4,dtw,,,,,,0
nearest,0.1,mae,0.0842,0.0171,0.0859,0.0663,0.1021,6
nearest,0.1,rmse,0.3098,0.0455,0.328,0.262,0.3575,6
nearest,0.1,snr,-2.0394,1.3785,-2.7119,-3.486,-0.5927,6
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1698,0.0114,0.1735,0.1579,0.1817,6
nearest,0.2,rmse,0.4584,0.0215,0.4632,0.4358,0.4809,6
nearest,0.2,snr,-3.07,0.183,-3.0276,-3.262,-2.8779,6
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.2694,0.0161,0.2667,0.2525,0.2862,6
nearest,0.3,rmse,0.5842,0.0276,0.581,0.5553,0.6132,6
nearest,0.3,snr,-3.2854,0.3454,-3.2207,-3.6479,-2.923,6
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,0.3298,0.0272,0.3316,0.3012,0.3583,6
nearest,0.4,rmse,0.6334,0.0321,0.6286,0.5997,0.6671,6
nearest,0.4,snr,-2.824,0.361,-2.8098,-3.2029,-2.4452,6
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.3116,0.2283,0.3098,0.072,0.5512,6
puy,0.1,rmse,0.4511,0.1564,0.4627,0.2871,0.6152,6
puy,0.1,snr,14.2976,13.8244,14.1649,-0.2102,28.8053,6
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.3455,0.2036,0.3555,0.1319,0.5592,6
puy,0.2,rmse,0.4983,0.1228,0.5263,0.3694,0.6272,6
puy,0.2,snr,12.9449,12.5231,12.5535,-0.1973,26.0871,6
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.3915,0.1686,0.3949,0.2145,0.5685,6
puy,0.3,rmse,0.5604,0.0787,0.5731,0.4778,0.6429,6
puy,0.3,snr,11.2961,10.9466,11.0939,-0.1917,22.7838,6
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.4343,0.1352,0.4482,0.2924,0.5762,6
puy,0.4,rmse,0.6132,0.0535,0.6296,0.557,0.6693,6
puy,0.4,snr,9.917,9.6481,9.7722,-0.2081,20.0421,6
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0918,0.0133,0.0895,0.0778,0.1058,6
rbfi_mq,0.1,rmse,0.335,0.0334,0.3334,0.2999,0.3701,6
rbfi_mq,0.1,snr,-2.7464,0.4993,-2.7767,-3.2704,-2.2224,6
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1824,0.0124,0.1865,0.1694,0.1954,6
rbfi_mq,0.2,rmse,0.4855,0.0145,0.4801,0.4702,0.5007,6
rbfi_mq,0.2,snr,-3.5635,0.1714,-3.6601,-3.7435,-3.3836,6
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2711,0.0127,0.2725,0.2577,0.2844,6
rbfi_mq,0.3,rmse,0.5914,0.0323,0.5928,0.5576,0.6253,6
rbfi_mq,0.3,snr,-3.23,0.4155,-3.4832,-3.6661,-2.794,6
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3691,0.019,0.3701,0.3492,0.3891,6
rbfi_mq,0.4,rmse,0.7115,0.044,0.7398,0.6654,0.7576,6
rbfi_mq,0.4,snr,-3.735,0.7257,-3.8398,-4.4965,-2.9735,6
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0867,0.0084,0.0884,0.0779,0.0955,6
rbfi_tps,0.1,rmse,0.3172,0.0222,0.3315,0.294,0.3405,6
rbfi_tps,0.1,snr,-2.2624,0.2771,-2.2661,-2.5532,-1.9715,6
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1716,0.0186,0.1798,0.152,0.1911,6
rbfi_tps,0.2,rmse,0.4533,0.0333,0.4649,0.4183,0.4882,6
rbfi_tps,0.2,snr,-2.9344,0.3764,-3.06,-3.3294,-2.5393,6
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2589,0.0127,0.2522,0.2456,0.2722,6
rbfi_tps,0.3,rmse,0.5568,0.0264,0.541,0.529,0.5845,6
rbfi_tps,0.3,snr,-2.7694,0.2995,-2.685,-3.0837,-2.4551,6
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3491,0.029,0.3486,0.3187,0.3796,6
rbfi_tps,0.4,rmse,0.6714,0.0435,0.6584,0.6257,0.7171,6
rbfi_tps,0.4,snr,-3.2716,0.3449,-3.2061,-3.6335,-2.9097,6
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.4807,0.1307,0.4786,0.3435,0.6179,6
sobolev,0.1,rmse,0.5481,0.1385,0.5471,0.4028,0.6934,6
sobolev,0.1,snr,2.8069,2.5523,2.7869,0.1284,5.4854,6
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.4963,0.1178,0.4988,0.3726,0.6199,6
sobolev,0.2,rmse,0.5684,0.1202,0.5727,0.4422,0.6945,6
sobolev,0.2,snr,2.5221,2.293,2.4232,0.1158,4.9284,6
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5142,0.1007,0.5121,0.4085,0.6198,6
sobolev,0.3,rmse,0.5913,0.0996,0.5916,0.4867,0.6958,6
sobolev,0.3,snr,2.1994,1.974,2.1858,0.1279,4.271,6
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.531,0.0867,0.5333,0.44,0.622,6
sobolev,0.4,rmse,0.6104,0.0826,0.6151,0.5237,0.6971,6
sobolev,0.4,snr,1.8917,1.7044,1.8119,0.103,3.6804,6
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.0954,0.0122,0.09,0.0826,0.1082,6
spherical_spline,0.1,rmse,0.3474,0.0609,0.3618,0.2835,0.4114,6
spherical_spline,0.1,snr,-2.8696,1.8593,-3.4652,-4.8208,-0.9183,6
spherical_spline,0.1,dtw,,,,,,0
