dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,puy,0.1,0,1.162802944814558e-05,1.5449585280146516e-05,12.243880993946343,0.00010786548453676829,{},,2,0.00654119999944669
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016740000000027067
physionet_eegmmidb_real,knn__k3,puy,0.1,1,1.1635029809261672e-05,1.540884337593841e-05,12.23218005106967,0.00010788714652050111,{},,2,0.006631600000218896
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.0163935999999012
physionet_eegmmidb_real,knn__k3,puy,0.1,2,1.1644087174972384e-05,1.5488584996660046e-05,12.239437111543959,0.00010695339030825287,{},,2,0.006181000000651693
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01699119999921095
physionet_eegmmidb_real,knn__k3,puy,0.1,3,1.1605455947447425e-05,1.5386647318658787e-05,12.250694019778534,0.00010758772194992965,{},,2,0.006901200000356766
physionet_eegmmidb_real,knn__k3,trss,0.1,3,9.221674400166835e-07,4.209256096181043e-06,22.466907553003846,2.9358342823228595e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01672439999947528
physionet_eegmmidb_real,knn__k3,puy,0.1,4,1.1611309735736533e-05,1.5374997581814615e-05,12.303215465267803,0.0001066512643955486,{},,2,0.0061439000000973465
physionet_eegmmidb_real,knn__k3,trss,0.1,4,9.066064055618519e-07,4.238922710819304e-06,22.424705510462232,2.887435174586016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01573180000013963
physionet_eegmmidb_real,knn__k3,puy,0.1,5,1.1625441102778316e-05,1.5460079729779922e-05,12.255318156570922,0.0001083814665252889,{},,2,0.005870799999684095
physionet_eegmmidb_real,knn__k3,trss,0.1,5,9.72686443004015e-07,4.5824038008388334e-06,22.423122599310176,3.1539110784619404e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.015983599999344733
physionet_eegmmidb_real,knn__k3,puy,0.2,0,1.2024169103367948e-05,1.598330601762962e-05,11.828526084169509,0.000110887449926954,{},,5,0.006232700000509794
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017084799999793177
physionet_eegmmidb_real,knn__k3,puy,0.2,1,1.2001423652790797e-05,1.5928254448402693e-05,11.892052639929949,0.00011099693528766927,{},,5,0.00739149999935762
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017696899999464222
physionet_eegmmidb_real,knn__k3,puy,0.2,2,1.2022585404859361e-05,1.5922051797601074e-05,11.849910049812722,0.00011110201167840847,{},,5,0.0060998000008112285
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.872280714415089e-06,6.0374603962048525e-06,19.328920578982082,4.414412450610963e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.016521699999429984
