dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017954400000235182
physionet_eegmmidb_real,knn__k3,tv,0.1,0,2.0331355005330663e-06,9.158034546562262e-06,15.972388227309521,5.912795372334639e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1549496999996336
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,0,3.222142378477255e-06,1.3873430249504602e-05,11.68771790008748,8.662751309173255e-05,{},,2,0.035903699999835226
physionet_eegmmidb_real,knn__k3,mean,0.1,0,2.0891927083333334e-06,9.382006650523193e-06,15.715258986505807,6.056819904662732e-05,{},,2,0.0019234000001233653
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01677899999958754
physionet_eegmmidb_real,knn__k3,tv,0.1,1,1.993362537215892e-06,8.602641364004525e-06,16.19147553062678,5.478927017800428e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14802049999980227
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,1,3.2490763974883655e-06,1.3866307466262307e-05,11.697404696051066,8.65075956281556e-05,{},,2,0.03569009999955597
physionet_eegmmidb_real,knn__k3,mean,0.1,1,2.049550189393939e-06,8.827531969830222e-06,15.952146395128615,5.5931068574689876e-05,{},,2,0.002886999999645923
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017984400000386813
physionet_eegmmidb_real,knn__k3,tv,0.1,2,2.0435181253114972e-06,9.063818886002277e-06,16.00707046772196,5.309902560592301e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14724459999979445
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,2,3.2607331476879183e-06,1.4261583370572413e-05,11.731149028541992,8.198461369446239e-05,{},,2,0.03444420000050741
physionet_eegmmidb_real,knn__k3,mean,0.1,2,2.096176609848485e-06,9.277391782081692e-06,15.787328039875183,5.419412769740566e-05,{},,2,0.001970700000129
physionet_eegmmidb_real,knn__k3,trss,0.1,3,9.221674400166835e-07,4.209256096181043e-06,22.466907553003846,2.9358342823228595e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01631120000001829
physionet_eegmmidb_real,knn__k3,tv,0.1,3,1.9338783161863874e-06,8.592046340500795e-06,15.919150550737863,5.686349574527977e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14653209999960382
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,3,3.058839576606214e-06,1.3541654531728824e-05,11.930074987452407,8.265322077823387e-05,{},,2,0.037159499999688705
physionet_eegmmidb_real,knn__k3,mean,0.1,3,1.9872395833333332e-06,8.810995587939464e-06,15.679338522686903,5.8127388741106736e-05,{},,2,0.0019311999994897633
physionet_eegmmidb_real,knn__k3,trss,0.1,4,9.066064055618519e-07,4.238922710819304e-06,22.424705510462232,2.887435174586016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01734920000035345
physionet_eegmmidb_real,knn__k3,tv,0.1,4,2.0935950524180857e-06,9.110598337787702e-06,15.59557564156477,5.6473105869818533e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14956750000055763
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,4,3.1912732707811605e-06,1.3770532750431461e-05,11.757149670793005,7.900204884007208e-05,{},,2,0.035291700000016135
physionet_eegmmidb_real,knn__k3,mean,0.1,4,2.153338068181818e-06,9.343665955701517e-06,15.353379463166766,5.785967932796195e-05,{},,2,0.0024653000000398606
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01750880000054167
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.008073239670033e-06,1.2449215108386555e-05,12.813248328007296,8.379795962759041e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.14507940000021335
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.440996400177259e-06,1.971852953168645e-05,8.472857615208472,0.00011869738153668821,{},,5,0.03661560000000463
physionet_eegmmidb_real,knn__k3,mean,0.2,0,4.1027343749999996e-06,1.2723943657038881e-05,12.607840552159239,8.528107809412185e-05,{},,5,0.0019523999999364605
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.016866200000549725
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.956001283198891e-06,1.227679476842936e-05,12.990674430801766,7.931911002793643e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.14850339999975404
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.4669925246131736e-06,1.9873950856691474e-05,8.466193301018071,0.0001137188491100364,{},,5,0.036837999999988824
physionet_eegmmidb_real,knn__k3,mean,0.2,1,4.053854166666666e-06,1.2562885618045056e-05,12.771545140918112,8.14038183392027e-05,{},,5,0.0019421000006332179
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.872280714415089e-06,6.0374603962048525e-06,19.328920578982082,4.414412450610963e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.016539499999453255
physionet_eegmmidb_real,knn__k3,tv,0.2,2,3.950691444583709e-06,1.221492364563592e-05,12.931526056805346,8.096268420347364e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.14730010000039329
