dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.032150300000466814
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.440996400177259e-06,1.971852953168645e-05,8.472857615208472,0.00011869738153668821,{},,5,0.04931820000001608
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02056189999984781
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.4669925246131736e-06,1.9873950856691474e-05,8.466193301018071,0.0001137188491100364,{},,5,0.0470779000006587
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.872280714415089e-06,6.0374603962048525e-06,19.328920578982082,4.414412450610963e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020160900000519177
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,6.483992373055198e-06,2.038748542492068e-05,8.397912985526814,0.00011284514449605583,{},,5,0.042187099999864586
physionet_eegmmidb_real,knn__k3,trss,0.2,3,2.000141337676211e-06,6.421307648636834e-06,18.944888298573726,4.5857473293058863e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019664999999804422
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,6.44973616286318e-06,1.98106311298693e-05,8.474581487909761,0.00012409930180539577,{},,5,0.04185539999980392
physionet_eegmmidb_real,knn__k3,trss,0.3,0,3.753552884392599e-06,9.246672472358959e-06,15.75067116253067,6.639129117768415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02125979999982519
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,0,1.1659801044230245e-05,2.740933434388021e-05,5.653050908979225,0.0001596115287787567,{},,7,0.04505779999999504
physionet_eegmmidb_real,knn__k3,trss,0.3,1,3.762646235400758e-06,9.245189671823856e-06,15.725061441778507,6.580740202713936e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021473799999512266
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,1,1.192126737807544e-05,2.8901911162690376e-05,5.29724297847009,0.0001654499174755125,{},,7,0.045198099999652186
physionet_eegmmidb_real,knn__k3,trss,0.3,2,3.8279807149834465e-06,9.315659237872894e-06,15.61641724308688,6.96452757481261e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02190430000064225
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,2,1.2194740212756617e-05,2.9195874870674604e-05,5.096849085936323,0.00018097505765973646,{},,7,0.04298279999966326
physionet_eegmmidb_real,knn__k3,trss,0.3,3,3.69274361766518e-06,8.974548909598289e-06,15.743181810430068,6.793279495720962e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021370999999817286
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,3,1.173404891129721e-05,2.854858489901687e-05,5.289935297639368,0.00016820281063092643,{},,7,0.04482970000026398
physionet_eegmmidb_real,knn__k5,trss,0.2,0,1.9998961159218294e-06,6.4359388758427454e-06,18.710922108714392,4.846133373647642e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01846069999919564
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,0,4.751631213851836e-06,1.4679541901834012e-05,11.280113517728234,9.468189971582127e-05,{},,5,0.0400577999998859
physionet_eegmmidb_real,knn__k5,trss,0.2,1,1.9570994656313207e-06,6.2551295558188956e-06,18.943597208732815,4.0782884654674437e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02098680000017339
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,1,4.749381507308875e-06,1.4852518292596386e-05,11.207152732092107,8.521967060895378e-05,{},,5,0.04018259999975271
physionet_eegmmidb_real,knn__k5,trss,0.2,2,1.9033504489733432e-06,6.065113539573109e-06,19.192518789661626,4.4235182572250604e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01948869999978342
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,2,4.659392239493814e-06,1.4766521734477074e-05,11.343559754218127,8.902652707909983e-05,{},,5,0.04115430000001652
physionet_eegmmidb_real,knn__k5,trss,0.2,3,2.0272791985220745e-06,6.44159507019234e-06,18.80971415131808,4.574976983818652e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.021184500000344997
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,3,4.7806533479320845e-06,1.4820880748033567e-05,11.325965711362791,9.138042140895624e-05,{},,5,0.04126029999952152
physionet_eegmmidb_real,knn__k5,trss,0.3,0,3.7034657510329747e-06,9.147294318002176e-06,15.857608383859544,6.446879318567016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020609199999853445
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,0,8.589644131118344e-06,2.026408673988801e-05,8.518632941945862,0.00012239031837606623,{},,7,0.04128390000005311
physionet_eegmmidb_real,knn__k5,trss,0.3,1,3.7616115796315345e-06,9.189254013416193e-06,15.788596072782648,6.559400913974772e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02085499999975582
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,1,8.862248667474117e-06,2.134328287475019e-05,8.140144036214357,0.00012697121772965633,{},,7,0.04079890000048181
physionet_eegmmidb_real,knn__k5,trss,0.3,2,3.737470376473048e-06,9.030171307206439e-06,15.901649618177592,6.682152597744797e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.0215053000001717
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,2,8.976001378763313e-06,2.1214520756679634e-05,8.123594431286365,0.00013151122590038014,{},,7,0.04110159999981988
physionet_eegmmidb_real,knn__k5,trss,0.3,3,3.637410405158641e-06,8.832346352610657e-06,15.84566993250146,6.725346469066454e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02029709999987972
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,3,8.674390716309401e-06,2.103552305791292e-05,8.136038157488564,0.00012462524218230387,{},,7,0.04233420000036858
physionet_eegmmidb_real,knn__k7,trss,0.2,0,2.145041340670478e-06,6.888124031808284e-06,18.03917533258453,5.1267757345641924e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019969400000263704
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.2,0,4.188794644432626e-06,1.2867099035302998e-05,12.459291089301288,8.505582697871236e-05,{},,5,0.04181040000003122
physionet_eegmmidb_real,knn__k7,trss,0.2,1,2.0874934148510245e-06,6.69140672008719e-06,18.366657734673005,4.3736427599288743e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02059229999940726
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.2,1,4.151665563305454e-06,1.2979373481087334e-05,12.411521309637044,7.749239719041619e-05,{},,5,0.04181460000017978
physionet_eegmmidb_real,knn__k7,trss,0.2,2,2.0539512029802682e-06,6.521811004164175e-06,18.46600427271441,4.480203163422167e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019049900000027264
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.2,2,4.062105407277865e-06,1.2865553641145361e-05,12.557058802174948,7.855933338233063e-05,{},,5,0.04063529999984894
physionet_eegmmidb_real,knn__k7,trss,0.2,3,2.188598606559589e-06,6.96495863121601e-06,18.09838903200897,4.885851837669509e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01962779999939812
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.2,3,4.2277320149486545e-06,1.3026877775223257e-05,12.465955431920605,8.198464036180966e-05,{},,5,0.040215099999841186
physionet_eegmmidb_real,knn__k7,trss,0.3,0,3.981494947890793e-06,9.751535463835534e-06,15.283986088477453,6.879468633615107e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020987899999454385
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.3,0,7.5076371400585795e-06,1.7699062698215595e-05,9.78160713942975,0.00010970440769606936,{},,7,0.04220939999959228
physionet_eegmmidb_real,knn__k7,trss,0.3,1,4.044446727546075e-06,9.85887870390431e-06,15.174815548951202,6.963727718321197e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020516399999905843
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.3,1,7.72118024825716e-06,1.8422828353656638e-05,9.477464430036825,0.00011316864881574165,{},,7,0.03971670000009908
physionet_eegmmidb_real,knn__k7,trss,0.3,2,4.038779831884038e-06,9.794245892983809e-06,15.194831172661097,7.051911251881201e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021422499999971478
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.3,2,7.827380924031707e-06,1.8367955307934052e-05,9.449316880136601,0.00011702539972184064,{},,7,0.041514399999869056
physionet_eegmmidb_real,knn__k7,trss,0.3,3,3.897710798788475e-06,9.438845403809624e-06,15.25572012216184,7.081885708627165e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02242709999973158
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.3,3,7.542483107244683e-06,1.7999965801974906e-05,9.51742857545215,0.00011225431374594199,{},,7,0.041168499999912456
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,0,3.0181985901410216e-06,9.451864016984708e-06,15.108799321949297,6.758953852740859e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01962649999950372
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,0,4.436326369780546e-06,1.3705548467661131e-05,11.934273759451749,9.105618294004594e-05,{},,5,0.04093829999965237
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,1,2.9771239336628708e-06,9.282904018565939e-06,15.253174918701474,6.262674500834125e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019217899999603105
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,1,4.427965097905745e-06,1.3706907620542458e-05,11.964625575960008,8.614898402784916e-05,{},,5,0.04162110000015673
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,2,2.9606589139594014e-06,9.154104228975423e-06,15.272165991995585,6.259104141626198e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020355100000415405
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,2,4.38172171644112e-06,1.3596656674180822e-05,11.985246778638398,8.628910116071982e-05,{},,5,0.04005010000037146
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,3,3.1458174748658782e-06,9.781756211891644e-06,15.051668190393386,6.741250363367469e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019589300000006915
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,3,4.595085072077092e-06,1.4122537011935985e-05,11.837272400472012,8.984467041995631e-05,{},,5,0.03961979999985488
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.3,0,5.554299862804811e-06,1.3181902547494164e-05,12.353416763430246,9.476672702456422e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023049699999319273
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,0,7.663363684138419e-06,1.8092549435483895e-05,9.69701690339601,0.00011968149257581143,{},,7,0.04283850000047096
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.3,1,5.577140186412775e-06,1.3222385225576005e-05,12.305360014064808,9.087925657242014e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020361599999887403
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,1,7.843235997772794e-06,1.8551115964606782e-05,9.44656902539173,0.00011651744003712177,{},,7,0.04087489999983518
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.3,2,5.577426349286713e-06,1.3208337723752489e-05,12.336532765696985,9.279042607002466e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021668599999429716
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,2,7.819172317041828e-06,1.8373013129972195e-05,9.55301178817764,0.00011816369121666179,{},,7,0.04337089999989985
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.3,3,5.514875539958586e-06,1.3008118634766022e-05,12.263208058038293,9.270403917951173e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.022229600000173377
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,3,7.683939774298709e-06,1.807336018009875e-05,9.52810379457348,0.00011585716012387541,{},,7,0.04349140000067564
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,0,3.027581370299255e-06,9.479906542262843e-06,15.082753265397761,6.773958246004544e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020034400000440655
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,0,4.4426935301578775e-06,1.3724883180922175e-05,11.921525935043263,9.115720236566682e-05,{},,5,0.04408060000059777
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,1,2.9867810277041205e-06,9.311928881747893e-06,15.225237638929267,6.281864647248482e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019458599999779835
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,1,4.434303459573805e-06,1.3725041713039644e-05,11.952546957067469,8.627133095030991e-05,{},,5,0.04177299999992101
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,2,2.970465339101424e-06,9.183332426915017e-06,15.244080139640388,6.276566154867474e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.021294699999998556
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,2,4.388470052799177e-06,1.3615077154056882e-05,11.971879198773896,8.642246323523752e-05,{},,5,0.04536829999960901
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,3,3.155407958473794e-06,9.810959424558676e-06,15.024502745450974,6.759249549696976e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019826399999146815
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,3,4.60182085465522e-06,1.4142660625981144e-05,11.824179802353262,8.995991591798372e-05,{},,5,0.043151099999704456
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.3,0,5.56993061916035e-06,1.32172422863812e-05,12.329498804977929,9.498076208237874e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.022377399999641057
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,0,7.671828962234876e-06,1.8110240929212735e-05,9.687966267093342,0.00011985271981015667,{},,7,0.04520449999927223
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.3,1,5.592999654773585e-06,1.3257057663326312e-05,12.281180003940841,9.108786722187938e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020534300000690564
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,1,7.851239867730752e-06,1.8566508665410582e-05,9.438545452879106,0.00011664501560318669,{},,7,0.04406250000010914
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.3,2,5.592597490437265e-06,1.3243154626199479e-05,12.312719579536706,9.298769247765736e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02208390000032523
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,2,7.825577856254377e-06,1.8386892807703842e-05,9.5457487671297,0.00011824219807505215,{},,7,0.04576639999959298
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.3,3,5.5315473633915455e-06,1.304550793206048e-05,12.238146830883077,9.2919829668739e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02153909999924508
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,3,7.693270692697667e-06,1.809086390025982e-05,9.518829316313644,0.00011598271365258359,{},,7,0.05945470000006026
