dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
physionet_eegmmidb_real,knn__k3,trss,0.2,0,2.0375854869316556e-06,6.5585111796855325e-06,18.534589131353496,4.91338783281862e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02042769999934535,25.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.467863170888614e-06,1.9800034592479404e-05,8.459849222547748,0.00011917286632540001,{},,5,0.04105890000028012,25.0
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.027727625368491e-06,1.2545726501138682e-05,12.770072455033835,8.476860041500709e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.17561320000004343,25.0
physionet_eegmmidb_real,knn__k3,trss,0.2,1,2.026844041150177e-06,6.511449792561871e-06,18.486751730331846,4.3125654085154296e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02053429999978107,25.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.4800543088173214e-06,1.9943449456999368e-05,8.437660773458651,0.0001139744964364651,{},,5,0.050281799999538634,25.0
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.996612089458453e-06,1.2358017793343277e-05,12.902882960209292,8.011700799366823e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18938359999992826,25.0
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.9393940719103074e-06,6.2051682102915665e-06,19.003212733890738,4.614150667509078e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03152260000024398,25.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,6.503697306194719e-06,2.0459903742700554e-05,8.395108468816321,0.00011416588517076103,{},,5,0.03880970000045636,25.0
physionet_eegmmidb_real,knn__k3,tv,0.2,2,3.990892980582421e-06,1.2315882053259315e-05,12.882094191310449,8.126724099271578e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18555579999974725,25.0
physionet_eegmmidb_real,knn__k3,trss,0.2,3,2.029182160838429e-06,6.526633798989661e-06,18.74063202775343,4.649573699823625e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018557000000328117,25.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,6.470433350303399e-06,1.9874747807868858e-05,8.437259309796195,0.00012390413710728843,{},,5,0.03707570000005944,25.0
physionet_eegmmidb_real,knn__k3,tv,0.2,3,4.178071218890505e-06,1.2899039047280605e-05,12.682948832303586,8.29214668321896e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.16602979999970557,25.0
physionet_eegmmidb_real,knn__k3,trss,0.2,0,2.4959216845963205e-06,7.849662817580634e-06,16.76772829845353,6.05749430009409e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01807320000079926,15.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,6.618951769267749e-06,2.0318691172852358e-05,8.362749637349681,0.0001220780233661015,{},,5,0.041294500000731205,15.0
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.210084743244553e-06,1.315726562156356e-05,12.408602123856562,8.976500788748276e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15969920000043203,15.0
physionet_eegmmidb_real,knn__k3,trss,0.2,1,2.5155793035236287e-06,7.876719907552012e-06,16.489312838556653,5.3366593034657484e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01771759999974165,15.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,6.6234577532018045e-06,2.044845469150917e-05,8.297034054931656,0.00011920973624424639,{},,5,0.03845629999977973,15.0
physionet_eegmmidb_real,knn__k3,tv,0.2,1,4.201271466143515e-06,1.2960731370171305e-05,12.434369882001542,8.414886699857522e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1516446999994514,15.0
physionet_eegmmidb_real,knn__k3,trss,0.2,2,2.398696679046017e-06,7.472021388962839e-06,17.102194991265517,5.626666504831405e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017514699999992445,15.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,6.665704114575897e-06,2.0925141138629284e-05,8.330694391546853,0.00011788537026718677,{},,5,0.038304300000163494,15.0
physionet_eegmmidb_real,knn__k3,tv,0.2,2,4.214689278841192e-06,1.2934821862841372e-05,12.52754952306473,8.490291545121281e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1639524000001984,15.0
physionet_eegmmidb_real,knn__k3,trss,0.2,3,2.455753775106227e-06,7.698913626272897e-06,16.889081597471076,5.57580643244797e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018821700000444253,15.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,6.637281506543298e-06,2.0360877075469806e-05,8.282391531401226,0.0001269074133306107,{},,5,0.03691149999940535,15.0
