dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,0,1.6580561525612161e-06,1.0085387761550517e-05,14.543371697627746,6.0933135871884674e-05,{},,1,0.4177221999998437
physionet_eegmmidb_real,knn__k3,trss,0.05,0,4.4946427919053573e-07,2.838205011615666e-06,26.292355142636648,1.8844383701895907e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.020206299999699695
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,0,1.5759305884974152e-06,9.56174376354592e-06,15.510478331044707,6.207449861110545e-05,{},,1,0.05015180000009423
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,1,1.5284538258885333e-06,9.213631351116648e-06,15.20160291587471,4.922752146876341e-05,{},,1,0.416231199998947
physionet_eegmmidb_real,knn__k3,trss,0.05,1,4.82450742492174e-07,3.099473536325774e-06,25.11177730504809,1.761064625556456e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.01939950000087265
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,1,1.5306825421615571e-06,9.153072078227447e-06,15.384410963489662,5.145711496975261e-05,{},,1,0.044224899998880574
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,2,1.6688944603053804e-06,1.011943603271337e-05,14.391576025153384,4.8713043193165054e-05,{},,1,0.41020690000004834
physionet_eegmmidb_real,knn__k3,trss,0.05,2,4.798896061808794e-07,3.164315967425946e-06,26.31805301874627,2.2678592243922363e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.020631900000807946
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,2,1.597788890926639e-06,9.765777372910772e-06,15.209453796893504,5.5336236433143714e-05,{},,1,0.045579400000860915
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,3,1.6347044275173462e-06,9.872732579497124e-06,14.321415146298406,4.9716340283392037e-05,{},,1,0.4263071999994281
physionet_eegmmidb_real,knn__k3,trss,0.05,3,4.827300745713248e-07,3.304792212388581e-06,25.427413791868528,1.949861231119197e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.02160089999961201
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,3,1.5069795505931285e-06,9.14943992497322e-06,15.221959322841263,4.826920028717777e-05,{},,1,0.046670800000356394
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,4,1.6098966075400819e-06,9.809867499333361e-06,14.692226291115057,5.5330440006110026e-05,{},,1,0.41565150000133144
physionet_eegmmidb_real,knn__k3,trss,0.05,4,4.71789623592294e-07,3.048269192015133e-06,26.052877935548107,2.031865246756278e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.02232720000029076
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,4,1.500898764357082e-06,9.155552200344388e-06,15.28729573580449,5.671013656676747e-05,{},,1,0.04472180000084336
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,5,1.6568888608931935e-06,1.0023317279538433e-05,14.37753107833092,5.3925862456223784e-05,{},,1,0.42802560000018275
physionet_eegmmidb_real,knn__k3,trss,0.05,5,4.527816785002143e-07,2.9299568313891038e-06,26.067808048913474,1.7661344288413292e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.020325299999967683
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,5,1.5393579515534376e-06,9.305321051814216e-06,15.256661892358116,5.3468724786816464e-05,{},,1,0.05810359999850334
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,0,3.2840652521596324e-06,1.4120818468179343e-05,11.273114228860436,8.134118340901219e-05,{},,2,0.5264839999999822
physionet_eegmmidb_real,knn__k3,trss,0.1,0,9.70341502555548e-07,4.532470328157765e-06,22.13019757837057,3.174646485539685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01960529999996652
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,0,3.222142378477255e-06,1.3873430249504602e-05,11.68771790008748,8.662751309173255e-05,{},,2,0.04435229999944568
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,1,3.3086918838945245e-06,1.4113277147702711e-05,11.214044247149374,8.054901253654468e-05,{},,2,0.4151681000003009
physionet_eegmmidb_real,knn__k3,trss,0.1,1,9.422752705045932e-07,4.4070866236355856e-06,22.301688944873078,3.058833105422294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.02079800000137766
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,1,3.2490763974883655e-06,1.3866307466262307e-05,11.697404696051066,8.65075956281556e-05,{},,2,0.05008280000038212
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,2,3.353112029835787e-06,1.4514553083977458e-05,11.217758558664423,8.129562686445883e-05,{},,2,0.3973029000007955
physionet_eegmmidb_real,knn__k3,trss,0.1,2,9.73209529821889e-07,4.5782582342041635e-06,22.175118631959155,2.6094331434030158e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.02201719999902707
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,2,3.2607331476879183e-06,1.4261583370572413e-05,11.731149028541992,8.198461369446239e-05,{},,2,0.044232099999135244
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,3,3.1083975540206667e-06,1.3626745819157844e-05,11.486665158482479,7.778516385165204e-05,{},,2,0.4107991000000766
physionet_eegmmidb_real,knn__k3,trss,0.1,3,9.221674400166835e-07,4.209256096181043e-06,22.466907553003846,2.9358342823228595e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.019985599999927217
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,3,3.058839576606214e-06,1.3541654531728824e-05,11.930074987452407,8.265322077823387e-05,{},,2,0.05253930000071705
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,4,3.3893958166703946e-06,1.4481552496148821e-05,11.170441575688068,7.705886950580116e-05,{},,2,0.41926450000028126
physionet_eegmmidb_real,knn__k3,trss,0.1,4,9.066064055618519e-07,4.238922710819304e-06,22.424705510462232,2.887435174586016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.021024100000431645
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,4,3.1912732707811605e-06,1.3770532750431461e-05,11.757149670793005,7.900204884007208e-05,{},,2,0.04848800000036135
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,5,3.299692339757389e-06,1.4030425521848602e-05,11.361320992833877,8.553579191595169e-05,{},,2,0.41894690000117407
physionet_eegmmidb_real,knn__k3,trss,0.1,5,9.72686443004015e-07,4.5824038008388334e-06,22.423122599310176,3.1539110784619404e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.020129299999098293
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,5,3.2257051496950513e-06,1.360202498160014e-05,11.994046832392781,8.820764227018195e-05,{},,2,0.0477019999998447
bci_iv2a_real_s1,knn__k3,directed_tv,0.05,0,9.022450575783424e-07,8.46425866793861e-06,15.702482621973274,3.111319276738262e-05,{},,1,0.42156449999856704
