dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,trss,0.3,0,3.753552884392599e-06,9.246672472358959e-06,15.75067116253067,6.639129117768415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023404800000207615
physionet_eegmmidb_real,knn__k3,trss,0.3,1,3.762646235400758e-06,9.245189671823856e-06,15.725061441778507,6.580740202713936e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021935599999778788
physionet_eegmmidb_real,knn__k3,trss,0.3,2,3.8279807149834465e-06,9.315659237872894e-06,15.61641724308688,6.96452757481261e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02366230000006908
physionet_eegmmidb_real,knn__k3,trss,0.3,3,3.69274361766518e-06,8.974548909598289e-06,15.743181810430068,6.793279495720962e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021607700000458863
physionet_eegmmidb_real,knn__k3,trss,0.3,4,3.7728394927684624e-06,9.16653459794152e-06,15.695648659178056,6.537794614081502e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021965699999782373
physionet_eegmmidb_real,knn__k3,trss,0.3,5,3.833585825629667e-06,9.331618105443106e-06,15.6486659465802,6.608891620742036e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02213310000115598
physionet_eegmmidb_real,knn__k3,trss,0.4,0,5.089423933590765e-06,1.1054507346921676e-05,14.10571640812852,7.917954811807199e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.024311799999850336
physionet_eegmmidb_real,knn__k3,trss,0.4,1,5.1720280755361525e-06,1.107628588961983e-05,13.888320248120019,7.945390697189155e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.023569900000438793
physionet_eegmmidb_real,knn__k3,trss,0.4,2,4.937858305418601e-06,1.0794522280090443e-05,14.318966089457298,7.775909422662894e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021883699999307282
physionet_eegmmidb_real,knn__k3,trss,0.4,3,5.143455193872879e-06,1.1061642429602747e-05,14.124849376156826,8.073139777595474e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021380099999078084
physionet_eegmmidb_real,knn__k3,trss,0.4,4,5.15450132792542e-06,1.121413370833693e-05,14.094854009796451,7.962427618897156e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.023054700001011952
physionet_eegmmidb_real,knn__k3,trss,0.4,5,5.032611712679455e-06,1.087756491319345e-05,14.112506145653503,8.100279773735872e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.03922620000048482
bci_iv2a_real_s1,knn__k3,trss,0.3,0,3.2594083898718594e-06,1.1865979933892741e-05,13.874864566219443,4.99731026914603e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023403199998938362
