method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4843,0.0542,0.4622,0.4615,0.5072,24
bgsrp,0.1,rmse,0.5852,0.0466,0.5627,0.5655,0.6049,24
bgsrp,0.1,snr,2.1959,0.8626,2.515,1.8317,2.5602,24
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4995,0.0525,0.4749,0.4773,0.5217,24
bgsrp,0.2,rmse,0.6127,0.0439,0.598,0.5942,0.6313,24
bgsrp,0.2,snr,2.0339,0.8194,2.3694,1.6879,2.38,24
bgsrp,0.2,dtw,,,,,,0
directed_tv,0.1,mae,0.0838,0.0188,0.076,0.0759,0.0918,24
directed_tv,0.1,rmse,0.2918,0.0716,0.2571,0.2616,0.3221,24
directed_tv,0.1,snr,-1.4973,1.9691,-0.606,-2.3288,-0.6658,24
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1454,0.0254,0.1383,0.1347,0.1561,24
directed_tv,0.2,rmse,0.371,0.0635,0.3435,0.3442,0.3978,24
directed_tv,0.2,snr,-1.0272,1.2363,-0.4264,-1.5492,-0.5051,24
directed_tv,0.2,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3654,0.1258,0.3657,0.3123,0.4186,24
graph_time_tikhonov,0.1,rmse,0.4466,0.1154,0.4368,0.3979,0.4954,24
graph_time_tikhonov,0.1,snr,5.7866,3.9547,4.9013,4.1166,7.4565,24
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3929,0.1126,0.387,0.3454,0.4405,24
graph_time_tikhonov,0.2,rmse,0.4878,0.0937,0.4741,0.4483,0.5274,24
graph_time_tikhonov,0.2,snr,5.2326,3.5768,4.5126,3.7222,6.743,24
graph_time_tikhonov,0.2,dtw,,,,,,0
gsmooth,0.1,mae,0.0721,0.0094,0.0658,0.0681,0.076,24
gsmooth,0.1,rmse,0.2449,0.0209,0.2325,0.2361,0.2538,24
gsmooth,0.1,snr,-0.1789,0.3445,-0.1247,-0.3243,-0.0334,24
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1289,0.0056,0.1282,0.1265,0.1312,24
gsmooth,0.2,rmse,0.326,0.0091,0.326,0.3222,0.3299,24
gsmooth,0.2,snr,-0.0762,0.4248,-0.1459,-0.2556,0.1032,24
gsmooth,0.2,dtw,,,,,,0
gsp,0.1,mae,0.0788,0.0107,0.0808,0.0743,0.0833,24
gsp,0.1,rmse,0.2733,0.0341,0.278,0.2589,0.2877,24
gsp,0.1,snr,-1.0735,0.8957,-0.9146,-1.4517,-0.6953,24
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1415,0.0193,0.1374,0.1334,0.1497,24
gsp,0.2,rmse,0.3669,0.0445,0.3501,0.3481,0.3857,24
