method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4642,0.0,0.4642,,,1
bgsrp,0.1,rmse,0.5503,0.0,0.5503,,,1
bgsrp,0.1,snr,2.5208,0.0,2.5208,,,1
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4633,0.0,0.4633,,,1
bgsrp,0.2,rmse,0.5568,0.0,0.5568,,,1
bgsrp,0.2,snr,2.5801,0.0,2.5801,,,1
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4873,0.0,0.4873,,,1
bgsrp,0.3,rmse,0.589,0.0,0.589,,,1
bgsrp,0.3,snr,2.2355,0.0,2.2355,,,1
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.497,0.0,0.497,,,1
bgsrp,0.4,rmse,0.6039,0.0,0.6039,,,1
bgsrp,0.4,snr,1.9895,0.0,1.9895,,,1
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0784,0.0,0.0784,,,1
directed_tv,0.1,rmse,0.2501,0.0,0.2501,,,1
directed_tv,0.1,snr,0.2117,0.0,0.2117,,,1
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1182,0.0,0.1182,,,1
directed_tv,0.2,rmse,0.3074,0.0,0.3074,,,1
directed_tv,0.2,snr,0.0405,0.0,0.0405,,,1
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.1975,0.0,0.1975,,,1
directed_tv,0.3,rmse,0.398,0.0,0.398,,,1
directed_tv,0.3,snr,-0.0563,0.0,-0.0563,,,1
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2385,0.0,0.2385,,,1
directed_tv,0.4,rmse,0.4376,0.0,0.4376,,,1
directed_tv,0.4,snr,-0.0845,0.0,-0.0845,,,1
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4456,0.0,0.4456,,,1
graph_time_tikhonov,0.1,rmse,0.5159,0.0,0.5159,,,1
graph_time_tikhonov,0.1,snr,3.0841,0.0,3.0841,,,1
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4585,0.0,0.4585,,,1
graph_time_tikhonov,0.2,rmse,0.534,0.0,0.534,,,1
graph_time_tikhonov,0.2,snr,2.8528,0.0,2.8528,,,1
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4829,0.0,0.4829,,,1
graph_time_tikhonov,0.3,rmse,0.5655,0.0,0.5655,,,1
graph_time_tikhonov,0.3,snr,2.4244,0.0,2.4244,,,1
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4948,0.0,0.4948,,,1
graph_time_tikhonov,0.4,rmse,0.5786,0.0,0.5786,,,1
graph_time_tikhonov,0.4,snr,2.1958,0.0,2.1958,,,1
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0847,0.0,0.0847,,,1
