method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.488,0.0276,0.4816,0.4195,0.5565,3
bgsrp,0.1,rmse,0.5736,0.03,0.563,0.499,0.6482,3
bgsrp,0.1,snr,2.1373,0.4354,2.227,1.0557,3.2188,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4979,0.0363,0.4948,0.4078,0.5881,3
bgsrp,0.2,rmse,0.5882,0.0342,0.5829,0.5031,0.6732,3
bgsrp,0.2,snr,2.0225,0.5824,2.0692,0.5756,3.4693,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5098,0.0246,0.5059,0.4486,0.571,3
bgsrp,0.3,rmse,0.6095,0.0292,0.5965,0.537,0.682,3
bgsrp,0.3,snr,1.8938,0.4142,2.0128,0.865,2.9226,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5214,0.0234,0.5236,0.4633,0.5796,3
bgsrp,0.4,rmse,0.6294,0.0247,0.6309,0.5679,0.6908,3
bgsrp,0.4,snr,1.744,0.2356,1.7225,1.1588,2.3292,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0727,0.0065,0.0743,0.0566,0.0889,3
directed_tv,0.1,rmse,0.2452,0.0141,0.2501,0.2101,0.2803,3
directed_tv,0.1,snr,-0.2285,0.5763,-0.0165,-1.6601,1.203,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1314,0.0117,0.1358,0.1023,0.1606,3
directed_tv,0.2,rmse,0.3264,0.0176,0.3295,0.2825,0.3702,3
directed_tv,0.2,snr,-0.142,0.2237,-0.075,-0.6977,0.4137,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.1998,0.0024,0.1995,0.1937,0.2058,3
directed_tv,0.3,rmse,0.3988,0.0015,0.398,0.395,0.4025,3
directed_tv,0.3,snr,-0.0164,0.0346,0.0019,-0.1024,0.0695,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2599,0.0185,0.2699,0.2139,0.3059,3
directed_tv,0.4,rmse,0.4548,0.0152,0.4604,0.4171,0.4924,3
directed_tv,0.4,snr,-0.0529,0.0723,-0.0845,-0.2324,0.1267,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4474,0.0121,0.4456,0.4172,0.4775,3
graph_time_tikhonov,0.1,rmse,0.5131,0.0119,0.5159,0.4836,0.5426,3
graph_time_tikhonov,0.1,snr,3.049,0.198,3.0841,2.557,3.541,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4655,0.0135,0.4585,0.432,0.4991,3
graph_time_tikhonov,0.2,rmse,0.536,0.0121,0.534,0.5059,0.5661,3
