method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4486,0.0,0.4486,,,1
bgsrp,0.1,rmse,0.558,0.0,0.558,,,1
bgsrp,0.1,snr,2.6396,0.0,2.6396,,,1
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.451,0.0,0.451,,,1
bgsrp,0.2,rmse,0.5712,0.0,0.5712,,,1
bgsrp,0.2,snr,2.6752,0.0,2.6752,,,1
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4771,0.0,0.4771,,,1
bgsrp,0.3,rmse,0.6139,0.0,0.6139,,,1
bgsrp,0.3,snr,2.4186,0.0,2.4186,,,1
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.4682,0.0,0.4682,,,1
bgsrp,0.4,rmse,0.6149,0.0,0.6149,,,1
bgsrp,0.4,snr,2.6729,0.0,2.6729,,,1
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.076,0.0,0.076,,,1
directed_tv,0.1,rmse,0.2537,0.0,0.2537,,,1
directed_tv,0.1,snr,0.2145,0.0,0.2145,,,1
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1208,0.0,0.1208,,,1
directed_tv,0.2,rmse,0.3201,0.0,0.3201,,,1
directed_tv,0.2,snr,-0.2942,0.0,-0.2942,,,1
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2003,0.0,0.2003,,,1
directed_tv,0.3,rmse,0.4118,0.0,0.4118,,,1
directed_tv,0.3,snr,-0.3239,0.0,-0.3239,,,1
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2372,0.0,0.2372,,,1
directed_tv,0.4,rmse,0.4461,0.0,0.4461,,,1
directed_tv,0.4,snr,-0.2303,0.0,-0.2303,,,1
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3785,0.0,0.3785,,,1
graph_time_tikhonov,0.1,rmse,0.4543,0.0,0.4543,,,1
graph_time_tikhonov,0.1,snr,4.5516,0.0,4.5516,,,1
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3955,0.0,0.3955,,,1
graph_time_tikhonov,0.2,rmse,0.4786,0.0,0.4786,,,1
graph_time_tikhonov,0.2,snr,4.2386,0.0,4.2386,,,1
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4307,0.0,0.4307,,,1
graph_time_tikhonov,0.3,rmse,0.5267,0.0,0.5267,,,1
graph_time_tikhonov,0.3,snr,3.6549,0.0,3.6549,,,1
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4446,0.0,0.4446,,,1
graph_time_tikhonov,0.4,rmse,0.5433,0.0,0.5433,,,1
graph_time_tikhonov,0.4,snr,3.3125,0.0,3.3125,,,1
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0842,0.0,0.0842,,,1
gsmooth,0.1,rmse,0.271,0.0,0.271,,,1
gsmooth,0.1,snr,-0.4943,0.0,-0.4943,,,1
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.124,0.0,0.124,,,1
gsmooth,0.2,rmse,0.3258,0.0,0.3258,,,1
gsmooth,0.2,snr,-0.4642,0.0,-0.4642,,,1
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.203,0.0,0.203,,,1
gsmooth,0.3,rmse,0.4162,0.0,0.4162,,,1
