method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4631,0.0584,0.4409,0.4143,0.5119,8
bgsrp,0.1,rmse,0.5708,0.0501,0.5524,0.5289,0.6127,8
bgsrp,0.1,snr,2.5567,0.9524,2.8483,1.7605,3.3529,8
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4727,0.0547,0.4526,0.427,0.5184,8
bgsrp,0.2,rmse,0.5885,0.044,0.5736,0.5517,0.6252,8
bgsrp,0.2,snr,2.383,0.8736,2.6351,1.6527,3.1133,8
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4913,0.0476,0.4803,0.4515,0.5311,8
bgsrp,0.3,rmse,0.6356,0.0414,0.6124,0.6009,0.6702,8
bgsrp,0.3,snr,2.612,1.1745,2.6188,1.6301,3.5939,8
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5038,0.0435,0.4927,0.4674,0.5402,8
bgsrp,0.4,rmse,0.6531,0.0489,0.6397,0.6122,0.694,8
bgsrp,0.4,snr,2.3185,1.1925,2.361,1.3216,3.3155,8
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0833,0.0138,0.0772,0.0717,0.0949,8
directed_tv,0.1,rmse,0.2812,0.0571,0.2571,0.2335,0.3289,8
directed_tv,0.1,snr,-0.573,1.4922,0.1137,-1.8205,0.6745,8
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1247,0.0088,0.1211,0.1173,0.1321,8
directed_tv,0.2,rmse,0.3353,0.0356,0.3215,0.3056,0.3651,8
directed_tv,0.2,snr,-0.661,0.8606,-0.3324,-1.3805,0.0585,8
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2066,0.0126,0.2008,0.1961,0.2171,8
directed_tv,0.3,rmse,0.428,0.0374,0.4136,0.3967,0.4592,8
directed_tv,0.3,snr,-0.6239,0.7015,-0.3611,-1.2104,-0.0375,8
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2448,0.0105,0.2386,0.236,0.2536,8
directed_tv,0.4,rmse,0.462,0.0316,0.4482,0.4356,0.4884,8
directed_tv,0.4,snr,-0.5233,0.5741,-0.2702,-1.0033,-0.0434,8
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3712,0.1284,0.3686,0.2639,0.4785,8
graph_time_tikhonov,0.1,rmse,0.4578,0.1161,0.4452,0.3607,0.5548,8
graph_time_tikhonov,0.1,snr,5.5776,3.9191,4.8143,2.3012,8.854,8
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3899,0.1187,0.3865,0.2907,0.4892,8
graph_time_tikhonov,0.2,rmse,0.4861,0.1012,0.4709,0.4015,0.5707,8
graph_time_tikhonov,0.2,snr,5.1798,3.6478,4.4822,2.1302,8.2295,8
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4277,0.0966,0.4232,0.3469,0.5084,8
graph_time_tikhonov,0.3,rmse,0.5389,0.0716,0.5222,0.479,0.5988,8
graph_time_tikhonov,0.3,snr,4.4361,3.0926,3.8643,1.8506,7.0216,8
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4433,0.0879,0.4379,0.3698,0.5168,8
graph_time_tikhonov,0.4,rmse,0.556,0.0631,0.5432,0.5032,0.6087,8
graph_time_tikhonov,0.4,snr,3.9775,2.731,3.4964,1.6944,6.2607,8
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0848,0.0019,0.0842,0.0833,0.0864,8
gsmooth,0.1,rmse,0.2728,0.0049,0.271,0.2687,0.2769,8
gsmooth,0.1,snr,-0.5508,0.1517,-0.4953,-0.6776,-0.4239,8
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1242,0.0003,0.124,0.1239,0.1244,8
gsmooth,0.2,rmse,0.3263,0.0007,0.326,0.3257,0.3269,8
gsmooth,0.2,snr,-0.478,0.0192,-0.4695,-0.494,-0.4619,8
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2039,0.002,0.2032,0.2022,0.2056,8
gsmooth,0.3,rmse,0.4184,0.0055,0.4163,0.4138,0.4231,8
gsmooth,0.3,snr,-0.4687,0.1097,-0.4267,-0.5603,-0.377,8
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2382,0.0007,0.2379,0.2376,0.2387,8
gsmooth,0.4,rmse,0.4487,0.0017,0.4483,0.4473,0.4501,8
gsmooth,0.4,snr,-0.2917,0.0343,-0.2842,-0.3203,-0.263,8
