method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.3,mae,0.5468,0.0229,0.5353,0.5277,0.566,8
bgsrp,0.3,rmse,0.6842,0.0354,0.674,0.6546,0.7137,8
bgsrp,0.3,snr,1.4342,0.4044,1.5883,1.0961,1.7723,8
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5616,0.0309,0.549,0.5358,0.5874,8
bgsrp,0.4,rmse,0.7292,0.0717,0.7122,0.6693,0.7892,8
bgsrp,0.4,snr,1.781,0.637,1.8966,1.2484,2.3135,8
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.3,mae,0.2037,0.0044,0.2019,0.2001,0.2074,8
directed_tv,0.3,rmse,0.4236,0.0281,0.4112,0.4001,0.447,8
directed_tv,0.3,snr,-0.1405,0.1533,-0.0967,-0.2686,-0.0123,8
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2728,0.0054,0.2716,0.2682,0.2773,8
directed_tv,0.4,rmse,0.4846,0.0216,0.4843,0.4666,0.5027,8
directed_tv,0.4,snr,-0.2125,0.205,-0.1739,-0.3839,-0.0412,8
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4303,0.0904,0.4317,0.3548,0.5059,8
graph_time_tikhonov,0.3,rmse,0.5526,0.0622,0.545,0.5005,0.6046,8
graph_time_tikhonov,0.3,snr,4.6136,3.2842,3.9034,1.8679,7.3592,8
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4586,0.0771,0.4547,0.3941,0.523,8
graph_time_tikhonov,0.4,rmse,0.5772,0.0469,0.5655,0.538,0.6164,8
graph_time_tikhonov,0.4,snr,4.0226,2.8513,3.4982,1.6389,6.4063,8
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.3,mae,0.2176,0.0029,0.2169,0.2152,0.22,8
gsmooth,0.3,rmse,0.4445,0.0044,0.444,0.4408,0.4481,8
gsmooth,0.3,snr,-0.81,0.142,-0.7887,-0.9287,-0.6912,8
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2724,0.0097,0.2707,0.2643,0.2806,8
gsmooth,0.4,rmse,0.4795,0.0165,0.4766,0.4657,0.4933,8
gsmooth,0.4,snr,-0.2609,0.2999,-0.2159,-0.5116,-0.0101,8
gsmooth,0.4,dtw,,,,,,0
gsp,0.3,mae,0.2404,0.0252,0.2305,0.2193,0.2614,8
gsp,0.3,rmse,0.4982,0.0572,0.4782,0.4504,0.546,8
gsp,0.3,snr,-1.7575,0.9295,-1.4522,-2.5346,-0.9804,8
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.3126,0.0468,0.303,0.2735,0.3518,8
gsp,0.4,rmse,0.5638,0.0844,0.55,0.4933,0.6343,8
gsp,0.4,snr,-1.5429,1.1776,-1.3787,-2.5274,-0.5584,8
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.41,0.5766,0.2074,-0.072,0.8921,8
heat_diffusion_temporal,0.3,rmse,0.7722,1.018,0.416,-0.0789,1.6233,8
heat_diffusion_temporal,0.3,snr,-2.5611,6.3823,-0.3573,-7.8969,2.7746,8
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.5472,0.7768,0.2731,-0.1022,1.1967,8
heat_diffusion_temporal,0.4,rmse,0.8912,1.1879,0.4711,-0.1019,1.8843,8
heat_diffusion_temporal,0.4,snr,-2.4491,6.4323,-0.1819,-7.8267,2.9285,8
heat_diffusion_temporal,0.4,dtw,,,,,,0
