method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4383,0.0,0.4383,,,1
bgsrp,0.1,rmse,0.5471,0.0,0.5471,,,1
bgsrp,0.1,snr,3.0351,0.0,3.0351,,,1
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4499,0.0,0.4499,,,1
bgsrp,0.2,rmse,0.5742,0.0,0.5742,,,1
bgsrp,0.2,snr,2.8469,0.0,2.8469,,,1
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4567,0.0,0.4567,,,1
bgsrp,0.3,rmse,0.611,0.0,0.611,,,1
bgsrp,0.3,snr,3.3206,0.0,3.3206,,,1
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.4956,0.0,0.4956,,,1
bgsrp,0.4,rmse,0.6547,0.0,0.6547,,,1
bgsrp,0.4,snr,2.3575,0.0,2.3575,,,1
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0757,0.0,0.0757,,,1
directed_tv,0.1,rmse,0.2588,0.0,0.2588,,,1
directed_tv,0.1,snr,0.0841,0.0,0.0841,,,1
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1214,0.0,0.1214,,,1
directed_tv,0.2,rmse,0.3292,0.0,0.3292,,,1
directed_tv,0.2,snr,-0.5374,0.0,-0.5374,,,1
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2066,0.0,0.2066,,,1
directed_tv,0.3,rmse,0.4309,0.0,0.4309,,,1
directed_tv,0.3,snr,-0.7117,0.0,-0.7117,,,1
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2512,0.0,0.2512,,,1
directed_tv,0.4,rmse,0.4775,0.0,0.4775,,,1
directed_tv,0.4,snr,-0.8233,0.0,-0.8233,,,1
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3459,0.0,0.3459,,,1
graph_time_tikhonov,0.1,rmse,0.4264,0.0,0.4264,,,1
graph_time_tikhonov,0.1,snr,5.3942,0.0,5.3942,,,1
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3667,0.0,0.3667,,,1
graph_time_tikhonov,0.2,rmse,0.4582,0.0,0.4582,,,1
graph_time_tikhonov,0.2,snr,4.9922,0.0,4.9922,,,1
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4074,0.0,0.4074,,,1
graph_time_tikhonov,0.3,rmse,0.5176,0.0,0.5176,,,1
graph_time_tikhonov,0.3,snr,4.3005,0.0,4.3005,,,1
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.427,0.0,0.427,,,1
graph_time_tikhonov,0.4,rmse,0.5431,0.0,0.5431,,,1
graph_time_tikhonov,0.4,snr,3.8671,0.0,3.8671,,,1
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.084,0.0,0.084,,,1
gsmooth,0.1,rmse,0.271,0.0,0.271,,,1
gsmooth,0.1,snr,-0.4962,0.0,-0.4962,,,1
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1238,0.0,0.1238,,,1
gsmooth,0.2,rmse,0.3261,0.0,0.3261,,,1
gsmooth,0.2,snr,-0.4717,0.0,-0.4717,,,1
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2039,0.0,0.2039,,,1
gsmooth,0.3,rmse,0.4176,0.0,0.4176,,,1
gsmooth,0.3,snr,-0.4573,0.0,-0.4573,,,1
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2387,0.0,0.2387,,,1
gsmooth,0.4,rmse,0.4507,0.0,0.4507,,,1
gsmooth,0.4,snr,-0.3334,0.0,-0.3334,,,1
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0849,0.0,0.0849,,,1
gsp,0.1,rmse,0.2849,0.0,0.2849,,,1
gsp,0.1,snr,-0.9431,0.0,-0.9431,,,1
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1268,0.0,0.1268,,,1
gsp,0.2,rmse,0.3497,0.0,0.3497,,,1
gsp,0.2,snr,-1.067,0.0,-1.067,,,1
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2189,0.0,0.2189,,,1
gsp,0.3,rmse,0.4645,0.0,0.4645,,,1
gsp,0.3,snr,-1.3977,0.0,-1.3977,,,1
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2588,0.0,0.2588,,,1
gsp,0.4,rmse,0.5084,0.0,0.5084,,,1
gsp,0.4,snr,-1.3675,0.0,-1.3675,,,1
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.08,0.0,0.08,,,1
heat_diffusion_temporal,0.1,rmse,0.2548,0.0,0.2548,,,1
heat_diffusion_temporal,0.1,snr,0.0201,0.0,0.0201,,,1
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.1198,0.0,0.1198,,,1
heat_diffusion_temporal,0.2,rmse,0.3095,0.0,0.3095,,,1
heat_diffusion_temporal,0.2,snr,-0.0221,0.0,-0.0221,,,1
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.1993,0.0,0.1993,,,1
heat_diffusion_temporal,0.3,rmse,0.3975,0.0,0.3975,,,1
heat_diffusion_temporal,0.3,snr,-0.0464,0.0,-0.0464,,,1
