method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4614,0.0269,0.4549,0.3946,0.5282,3
bgsrp,0.1,rmse,0.5645,0.0266,0.5513,0.4983,0.6307,3
bgsrp,0.1,snr,2.5358,0.5145,2.565,1.2578,3.8139,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4827,0.0357,0.4773,0.3939,0.5714,3
bgsrp,0.2,rmse,0.6041,0.0315,0.6011,0.5258,0.6823,3
bgsrp,0.2,snr,2.2787,0.5761,2.2939,0.8476,3.7097,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4945,0.0384,0.4933,0.3992,0.5898,3
bgsrp,0.3,rmse,0.633,0.035,0.6147,0.5461,0.72,3
bgsrp,0.3,snr,2.4008,0.8456,2.225,0.3002,4.5015,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5133,0.0191,0.5109,0.4659,0.5608,3
bgsrp,0.4,rmse,0.673,0.0283,0.6587,0.6028,0.7432,3
bgsrp,0.4,snr,2.2348,0.1871,2.3274,1.77,2.6995,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0814,0.017,0.0757,0.0391,0.1236,3
directed_tv,0.1,rmse,0.2826,0.0585,0.2588,0.1372,0.428,3
directed_tv,0.1,snr,-1.2979,1.9823,-0.4088,-6.2222,3.6263,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1502,0.0273,0.1535,0.0824,0.2179,3
directed_tv,0.2,rmse,0.3823,0.0559,0.3769,0.2434,0.5211,3
directed_tv,0.2,snr,-1.3905,0.9772,-1.1774,-3.818,1.0371,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2097,0.0045,0.2077,0.1985,0.221,3
directed_tv,0.3,rmse,0.4323,0.0014,0.4324,0.4288,0.4359,3
directed_tv,0.3,snr,-0.5129,0.2361,-0.5752,-1.0994,0.0735,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2671,0.0145,0.2704,0.231,0.3032,3
directed_tv,0.4,rmse,0.4825,0.0046,0.4835,0.4711,0.4938,3
directed_tv,0.4,snr,-0.4667,0.3355,-0.4193,-1.3001,0.3667,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3399,0.0052,0.3374,0.327,0.3529,3
graph_time_tikhonov,0.1,rmse,0.4144,0.0116,0.4139,0.3855,0.4434,3
graph_time_tikhonov,0.1,snr,5.5765,0.1632,5.626,5.1711,5.9819,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3719,0.006,0.3707,0.3571,0.3868,3
graph_time_tikhonov,0.2,rmse,0.4625,0.0083,0.4582,0.4419,0.4831,3
graph_time_tikhonov,0.2,snr,5.018,0.0975,4.9922,4.7757,5.2603,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4126,0.0081,0.4084,0.3924,0.4327,3
graph_time_tikhonov,0.3,rmse,0.5218,0.0186,0.5176,0.4757,0.5679,3
graph_time_tikhonov,0.3,snr,4.334,0.0858,4.3005,4.1209,4.547,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4387,0.011,0.4403,0.4114,0.4659,3
graph_time_tikhonov,0.4,rmse,0.5556,0.012,0.5569,0.5258,0.5854,3
graph_time_tikhonov,0.4,snr,3.8328,0.0881,3.8671,3.6139,4.0516,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0714,0.0109,0.0653,0.0443,0.0986,3
gsmooth,0.1,rmse,0.2431,0.0242,0.2294,0.183,0.3032,3
gsmooth,0.1,snr,-0.1199,0.3325,0.0016,-0.946,0.7061,3
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1293,0.006,0.1285,0.1145,0.1441,3
gsmooth,0.2,rmse,0.3273,0.0069,0.3261,0.3102,0.3445,3
gsmooth,0.2,snr,-0.1386,0.3456,-0.1624,-0.9972,0.72,3
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2093,0.0086,0.2047,0.1879,0.2306,3
gsmooth,0.3,rmse,0.426,0.0193,0.4176,0.3779,0.4741,3
gsmooth,0.3,snr,-0.5251,0.3447,-0.4573,-1.3813,0.3311,3
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2646,0.0232,0.2717,0.207,0.3223,3
gsmooth,0.4,rmse,0.4762,0.0245,0.4783,0.4154,0.537,3
gsmooth,0.4,snr,-0.4063,0.1982,-0.3334,-0.8986,0.086,3
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0778,0.01,0.0822,0.0529,0.1027,3
gsp,0.1,rmse,0.2724,0.0278,0.2849,0.2034,0.3413,3
gsp,0.1,snr,-1.0826,0.7854,-0.9431,-3.0336,0.8684,3
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1437,0.015,0.1489,0.1064,0.181,3
gsp,0.2,rmse,0.3756,0.0246,0.3786,0.3146,0.4366,3
gsp,0.2,snr,-1.2476,0.255,-1.1367,-1.881,-0.6143,3
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2269,0.0165,0.2189,0.1859,0.2679,3
gsp,0.3,rmse,0.4737,0.0302,0.4645,0.3986,0.5487,3
gsp,0.3,snr,-1.4261,0.5584,-1.3977,-2.8132,-0.0389,3
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2875,0.0251,0.2985,0.2252,0.3498,3
gsp,0.4,rmse,0.5329,0.0221,0.5392,0.478,0.5879,3
gsp,0.4,snr,-1.3706,0.0799,-1.3675,-1.5689,-1.1722,3
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.0729,0.0076,0.0738,0.0539,0.0918,3
heat_diffusion_temporal,0.1,rmse,0.2458,0.017,0.2548,0.2036,0.2881,3
heat_diffusion_temporal,0.1,snr,-0.2427,0.5224,0.0201,-1.5405,1.0551,3
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.1307,0.0095,0.1361,0.1071,0.1544,3
heat_diffusion_temporal,0.2,rmse,0.3249,0.0134,0.3313,0.2917,0.3581,3
heat_diffusion_temporal,0.2,snr,-0.0981,0.0743,-0.1018,-0.2828,0.0865,3
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.2023,0.0027,0.2036,0.1957,0.209,3
heat_diffusion_temporal,0.3,rmse,0.4028,0.0047,0.4046,0.3912,0.4144,3
heat_diffusion_temporal,0.3,snr,-0.1087,0.0861,-0.0728,-0.3225,0.1051,3
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.2631,0.0234,0.2738,0.2049,0.3212,3
heat_diffusion_temporal,0.4,rmse,0.462,0.0251,0.4677,0.3996,0.5245,3
heat_diffusion_temporal,0.4,snr,-0.1737,0.1944,-0.1067,-0.6565,0.3092,3
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0706,0.011,0.0661,0.0433,0.0979,3
idw,0.1,rmse,0.2425,0.0284,0.2334,0.172,0.3131,3
idw,0.1,snr,-0.0737,0.5954,-0.175,-1.5528,1.4054,3
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1296,0.0047,0.1289,0.118,0.1412,3
idw,0.2,rmse,0.329,0.0052,0.332,0.316,0.3421,3
idw,0.2,snr,-0.1695,0.4236,-0.099,-1.2217,0.8827,3
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2111,0.0073,0.209,0.193,0.2293,3
idw,0.3,rmse,0.4307,0.0169,0.4312,0.3886,0.4727,3
idw,0.3,snr,-0.61,0.3181,-0.7459,-1.4003,0.1803,3
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2667,0.02,0.2753,0.217,0.3165,3
idw,0.4,rmse,0.4837,0.0155,0.4864,0.445,0.5223,3
idw,0.4,snr,-0.5425,0.1325,-0.5988,-0.8716,-0.2133,3
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0787,0.0154,0.0784,0.0404,0.117,3
linear,0.1,rmse,0.2875,0.0401,0.2949,0.1879,0.3871,3
linear,0.1,snr,-1.4214,1.1678,-1.9947,-4.3225,1.4796,3
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1578,0.022,0.1624,0.1032,0.2124,3
linear,0.2,rmse,0.4195,0.0512,0.42,0.2922,0.5467,3
linear,0.2,snr,-2.2491,0.7922,-2.165,-4.2171,-0.2812,3
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2424,0.0129,0.2364,0.2104,0.2744,3
linear,0.3,rmse,0.5158,0.0196,0.5122,0.4672,0.5644,3
linear,0.3,snr,-2.1408,0.2418,-2.0198,-2.7413,-1.5402,3
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.3056,0.0254,0.3075,0.2426,0.3685,3
linear,0.4,rmse,0.5758,0.0282,0.5696,0.5058,0.6458,3
linear,0.4,snr,-2.0198,0.2817,-2.041,-2.7196,-1.32,3
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.07,0.0137,0.0659,0.0361,0.104,3
mean,0.1,rmse,0.2376,0.0329,0.231,0.156,0.3193,3
mean,0.1,snr,0.1013,0.77,-0.0857,-1.8116,2.0142,3
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1268,0.0069,0.1252,0.1096,0.144,3
mean,0.2,rmse,0.319,0.0157,0.3272,0.2801,0.358,3
mean,0.2,snr,0.079,0.6493,-0.0439,-1.5339,1.6919,3
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2061,0.0056,0.2039,0.1921,0.2201,3
mean,0.3,rmse,0.4202,0.0138,0.4161,0.386,0.4544,3
