method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4409,0.0,0.4409,,,1
bgsrp,0.1,rmse,0.5545,0.0,0.5545,,,1
bgsrp,0.1,snr,2.8626,0.0,2.8626,,,1
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4543,0.0,0.4543,,,1
bgsrp,0.2,rmse,0.567,0.0,0.567,,,1
bgsrp,0.2,snr,2.568,0.0,2.568,,,1
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4692,0.0,0.4692,,,1
bgsrp,0.3,rmse,0.611,0.0,0.611,,,1
bgsrp,0.3,snr,2.8189,0.0,2.8189,,,1
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.4766,0.0,0.4766,,,1
bgsrp,0.4,rmse,0.6246,0.0,0.6246,,,1
bgsrp,0.4,snr,2.5496,0.0,2.5496,,,1
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.076,0.0,0.076,,,1
directed_tv,0.1,rmse,0.2565,0.0,0.2565,,,1
directed_tv,0.1,snr,0.1434,0.0,0.1434,,,1
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1214,0.0,0.1214,,,1
directed_tv,0.2,rmse,0.3229,0.0,0.3229,,,1
directed_tv,0.2,snr,-0.3705,0.0,-0.3705,,,1
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2013,0.0,0.2013,,,1
directed_tv,0.3,rmse,0.4154,0.0,0.4154,,,1
directed_tv,0.3,snr,-0.3984,0.0,-0.3984,,,1
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2384,0.0,0.2384,,,1
directed_tv,0.4,rmse,0.4502,0.0,0.4502,,,1
directed_tv,0.4,snr,-0.3101,0.0,-0.3101,,,1
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3587,0.0,0.3587,,,1
graph_time_tikhonov,0.1,rmse,0.4361,0.0,0.4361,,,1
graph_time_tikhonov,0.1,snr,5.0771,0.0,5.0771,,,1
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3775,0.0,0.3775,,,1
graph_time_tikhonov,0.2,rmse,0.4632,0.0,0.4632,,,1
graph_time_tikhonov,0.2,snr,4.7258,0.0,4.7258,,,1
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4158,0.0,0.4158,,,1
graph_time_tikhonov,0.3,rmse,0.5169,0.0,0.5169,,,1
graph_time_tikhonov,0.3,snr,4.0736,0.0,4.0736,,,1
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4312,0.0,0.4312,,,1
graph_time_tikhonov,0.4,rmse,0.5344,0.0,0.5344,,,1
graph_time_tikhonov,0.4,snr,3.6803,0.0,3.6803,,,1
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0841,0.0,0.0841,,,1
gsmooth,0.1,rmse,0.2709,0.0,0.2709,,,1
gsmooth,0.1,snr,-0.4911,0.0,-0.4911,,,1
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.124,0.0,0.124,,,1
gsmooth,0.2,rmse,0.3257,0.0,0.3257,,,1
gsmooth,0.2,snr,-0.4632,0.0,-0.4632,,,1
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2032,0.0,0.2032,,,1
gsmooth,0.3,rmse,0.4163,0.0,0.4163,,,1
gsmooth,0.3,snr,-0.4277,0.0,-0.4277,,,1
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2379,0.0,0.2379,,,1
gsmooth,0.4,rmse,0.4483,0.0,0.4483,,,1
gsmooth,0.4,snr,-0.2846,0.0,-0.2846,,,1
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0854,0.0,0.0854,,,1
gsp,0.1,rmse,0.2845,0.0,0.2845,,,1
gsp,0.1,snr,-0.9317,0.0,-0.9317,,,1
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1264,0.0,0.1264,,,1
gsp,0.2,rmse,0.3418,0.0,0.3418,,,1
gsp,0.2,snr,-0.8696,0.0,-0.8696,,,1
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2155,0.0,0.2155,,,1
gsp,0.3,rmse,0.4519,0.0,0.4519,,,1
gsp,0.3,snr,-1.1611,0.0,-1.1611,,,1
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2477,0.0,0.2477,,,1
gsp,0.4,rmse,0.48,0.0,0.48,,,1
gsp,0.4,snr,-0.8701,0.0,-0.8701,,,1
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.0801,0.0,0.0801,,,1
heat_diffusion_temporal,0.1,rmse,0.2548,0.0,0.2548,,,1
heat_diffusion_temporal,0.1,snr,0.02,0.0,0.02,,,1
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.1199,0.0,0.1199,,,1
heat_diffusion_temporal,0.2,rmse,0.3093,0.0,0.3093,,,1
heat_diffusion_temporal,0.2,snr,-0.015,0.0,-0.015,,,1
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.1989,0.0,0.1989,,,1
heat_diffusion_temporal,0.3,rmse,0.3968,0.0,0.3968,,,1
heat_diffusion_temporal,0.3,snr,-0.0314,0.0,-0.0314,,,1
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.236,0.0,0.236,,,1
heat_diffusion_temporal,0.4,rmse,0.4335,0.0,0.4335,,,1
heat_diffusion_temporal,0.4,snr,-0.0011,0.0,-0.0011,,,1
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0831,0.0,0.0831,,,1
idw,0.1,rmse,0.2744,0.0,0.2744,,,1
idw,0.1,snr,-0.612,0.0,-0.612,,,1
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1253,0.0,0.1253,,,1
idw,0.2,rmse,0.332,0.0,0.332,,,1
idw,0.2,snr,-0.6239,0.0,-0.6239,,,1
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.209,0.0,0.209,,,1
idw,0.3,rmse,0.4312,0.0,0.4312,,,1
idw,0.3,snr,-0.7459,0.0,-0.7459,,,1
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2439,0.0,0.2439,,,1
idw,0.4,rmse,0.4669,0.0,0.4669,,,1
idw,0.4,snr,-0.6375,0.0,-0.6375,,,1
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0943,0.0,0.0943,,,1
linear,0.1,rmse,0.3234,0.0,0.3234,,,1
linear,0.1,snr,-1.9947,0.0,-1.9947,,,1
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1339,0.0,0.1339,,,1
linear,0.2,rmse,0.368,0.0,0.368,,,1
linear,0.2,snr,-1.5024,0.0,-1.5024,,,1
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2337,0.0,0.2337,,,1
linear,0.3,rmse,0.4983,0.0,0.4983,,,1
