method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4665,0.0381,0.4483,0.3718,0.5613,3
bgsrp,0.1,rmse,0.573,0.0354,0.5545,0.4852,0.6609,3
bgsrp,0.1,snr,2.4557,0.6663,2.8177,0.8005,4.1108,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4821,0.0409,0.4629,0.3804,0.5837,3
bgsrp,0.2,rmse,0.5984,0.0442,0.5792,0.4885,0.7083,3
bgsrp,0.2,snr,2.2609,0.6331,2.568,0.6883,3.8335,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4918,0.0325,0.4771,0.411,0.5726,3
bgsrp,0.3,rmse,0.6276,0.0414,0.611,0.5249,0.7304,3
bgsrp,0.3,snr,2.3717,0.5675,2.5628,0.9619,3.7814,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5135,0.0423,0.5043,0.4084,0.6187,3
bgsrp,0.4,rmse,0.6773,0.0573,0.6691,0.535,0.8196,3
bgsrp,0.4,snr,2.3062,0.3263,2.4335,1.4957,3.1167,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0812,0.0146,0.076,0.045,0.1175,3
directed_tv,0.1,rmse,0.2822,0.0517,0.2565,0.1539,0.4106,3
directed_tv,0.1,snr,-1.3063,1.8386,-0.688,-5.8736,3.261,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1464,0.0283,0.1407,0.076,0.2168,3
directed_tv,0.2,rmse,0.371,0.0653,0.3447,0.2088,0.5331,3
directed_tv,0.2,snr,-1.1107,1.2043,-0.4613,-4.1023,1.8809,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2026,0.0027,0.2013,0.1959,0.2094,3
directed_tv,0.3,rmse,0.4145,0.001,0.4147,0.4119,0.4171,3
directed_tv,0.3,snr,-0.2257,0.1751,-0.2305,-0.6608,0.2094,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2621,0.0206,0.2729,0.211,0.3132,3
directed_tv,0.4,rmse,0.4726,0.0207,0.4767,0.4213,0.5239,3
directed_tv,0.4,snr,-0.2671,0.0376,-0.2506,-0.3605,-0.1736,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3421,0.0145,0.3353,0.3061,0.378,3
graph_time_tikhonov,0.1,rmse,0.4148,0.0194,0.4103,0.3667,0.4629,3
graph_time_tikhonov,0.1,snr,5.5501,0.4115,5.7471,4.5277,6.5724,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3715,0.0073,0.3738,0.3534,0.3897,3
graph_time_tikhonov,0.2,rmse,0.4586,0.011,0.4632,0.4312,0.4859,3
graph_time_tikhonov,0.2,snr,5.021,0.2771,5.0619,4.3327,5.7094,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4101,0.0073,0.4125,0.392,0.4281,3
graph_time_tikhonov,0.3,rmse,0.5131,0.0171,0.5169,0.4708,0.5555,3
graph_time_tikhonov,0.3,snr,4.3338,0.2383,4.3866,3.7419,4.9257,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4392,0.0069,0.4424,0.422,0.4563,3
graph_time_tikhonov,0.4,rmse,0.5508,0.0142,0.5588,0.5155,0.586,3
graph_time_tikhonov,0.4,snr,3.7788,0.0967,3.7825,3.5385,4.0191,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0715,0.0109,0.0658,0.0444,0.0987,3
gsmooth,0.1,rmse,0.2432,0.0241,0.232,0.1834,0.3031,3
gsmooth,0.1,snr,-0.1207,0.3726,-0.1252,-1.0463,0.805,3
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1285,0.0044,0.1285,0.1175,0.1394,3
gsmooth,0.2,rmse,0.3245,0.0036,0.3257,0.3155,0.3334,3
gsmooth,0.2,snr,-0.0629,0.3594,0.0426,-0.9557,0.83,3
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2074,0.0083,0.2032,0.1868,0.228,3
gsmooth,0.3,rmse,0.4224,0.0192,0.4163,0.3747,0.4701,3
gsmooth,0.3,snr,-0.442,0.3405,-0.4277,-1.2878,0.4038,3
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2634,0.0228,0.2702,0.2067,0.3201,3
gsmooth,0.4,rmse,0.4736,0.0243,0.476,0.4134,0.5339,3
gsmooth,0.4,snr,-0.3554,0.1962,-0.2846,-0.8427,0.1319,3
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0783,0.0079,0.0798,0.0587,0.0979,3
gsp,0.1,rmse,0.2715,0.02,0.2815,0.2219,0.3211,3
gsp,0.1,snr,-1.0617,0.4213,-0.9317,-2.1083,-0.0152,3
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1398,0.0145,0.1377,0.1037,0.1759,3
gsp,0.2,rmse,0.3614,0.027,0.3501,0.2942,0.4286,3
gsp,0.2,snr,-0.9324,0.5222,-0.8696,-2.2298,0.3649,3
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2179,0.012,0.2155,0.1882,0.2476,3
gsp,0.3,rmse,0.4525,0.026,0.4519,0.388,0.517,3
gsp,0.3,snr,-1.0245,0.5096,-1.1611,-2.2905,0.2415,3
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2804,0.029,0.2904,0.2083,0.3524,3
gsp,0.4,rmse,0.5198,0.0359,0.5294,0.4306,0.6089,3
gsp,0.4,snr,-1.1045,0.2575,-1.0632,-1.7441,-0.4649,3
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.0725,0.0072,0.0718,0.0545,0.0905,3
heat_diffusion_temporal,0.1,rmse,0.2442,0.0134,0.2487,0.2109,0.2775,3
heat_diffusion_temporal,0.1,snr,-0.1927,0.3378,-0.0159,-1.0318,0.6464,3
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.1298,0.0088,0.1329,0.1079,0.1517,3
heat_diffusion_temporal,0.2,rmse,0.3235,0.0129,0.3269,0.2915,0.3556,3
heat_diffusion_temporal,0.2,snr,-0.0442,0.133,-0.015,-0.3745,0.2861,3
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.2026,0.0042,0.2017,0.1921,0.213,3
heat_diffusion_temporal,0.3,rmse,0.4038,0.0091,0.4004,0.3811,0.4265,3
heat_diffusion_temporal,0.3,snr,-0.1245,0.1974,-0.0314,-0.6149,0.3659,3
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.2604,0.0212,0.2719,0.2077,0.3131,3
heat_diffusion_temporal,0.4,rmse,0.4581,0.0214,0.4687,0.4051,0.5111,3
heat_diffusion_temporal,0.4,snr,-0.1049,0.0913,-0.1407,-0.3317,0.1219,3
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0706,0.011,0.0661,0.0433,0.0979,3
idw,0.1,rmse,0.2425,0.0284,0.2334,0.172,0.3131,3
idw,0.1,snr,-0.0737,0.5954,-0.175,-1.5528,1.4054,3
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1296,0.0047,0.1289,0.118,0.1412,3
idw,0.2,rmse,0.329,0.0052,0.332,0.316,0.3421,3
idw,0.2,snr,-0.1695,0.4236,-0.099,-1.2217,0.8827,3
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2111,0.0073,0.209,0.193,0.2293,3
idw,0.3,rmse,0.4307,0.0169,0.4312,0.3886,0.4727,3
