method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.495,0.0505,0.4863,0.468,0.5219,16
bgsrp,0.1,rmse,0.5924,0.0447,0.5932,0.5686,0.6162,16
bgsrp,0.1,snr,2.0155,0.7832,2.1172,1.5982,2.4329,16
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.5129,0.0475,0.5186,0.4876,0.5382,16
bgsrp,0.2,rmse,0.6248,0.0398,0.6308,0.6036,0.6461,16
bgsrp,0.2,snr,1.8594,0.7589,1.9076,1.455,2.2638,16
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5261,0.0435,0.5289,0.5029,0.5493,16
bgsrp,0.3,rmse,0.6528,0.0479,0.6501,0.6273,0.6783,16
bgsrp,0.3,snr,1.7745,0.7368,1.7269,1.3819,2.1671,16
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5455,0.0378,0.537,0.5253,0.5656,16
bgsrp,0.4,rmse,0.702,0.0609,0.6936,0.6695,0.7345,16
bgsrp,0.4,snr,1.8547,0.7025,1.9881,1.4803,2.229,16
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0841,0.0213,0.0741,0.0727,0.0954,16
directed_tv,0.1,rmse,0.2972,0.0791,0.2615,0.255,0.3393,16
directed_tv,0.1,snr,-1.9595,2.0549,-1.1005,-3.0545,-0.8645,16
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1558,0.0246,0.1471,0.1426,0.1689,16
directed_tv,0.2,rmse,0.3889,0.0676,0.3723,0.3529,0.4249,16
directed_tv,0.2,snr,-1.2103,1.375,-0.8193,-1.943,-0.4776,16
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2048,0.0063,0.2035,0.2015,0.2082,16
directed_tv,0.3,rmse,0.4203,0.0223,0.4119,0.4084,0.4322,16
directed_tv,0.3,snr,-0.1456,0.3396,-0.1428,-0.3266,0.0353,16
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2725,0.0066,0.2719,0.269,0.276,16
directed_tv,0.4,rmse,0.4799,0.018,0.478,0.4703,0.4895,16
directed_tv,0.4,snr,-0.1631,0.282,-0.1739,-0.3134,-0.0128,16
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3626,0.1286,0.3551,0.294,0.4311,16
graph_time_tikhonov,0.1,rmse,0.4411,0.1185,0.4257,0.378,0.5042,16
graph_time_tikhonov,0.1,snr,5.891,4.0961,5.1758,3.7084,8.0737,16
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3944,0.1134,0.3886,0.334,0.4549,16
graph_time_tikhonov,0.2,rmse,0.4887,0.0931,0.4741,0.4391,0.5383,16
graph_time_tikhonov,0.2,snr,5.259,3.6613,4.6177,3.308,7.2099,16
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4299,0.0967,0.4275,0.3784,0.4814,16
graph_time_tikhonov,0.3,rmse,0.5403,0.0741,0.5344,0.5009,0.5798,16
