method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4753,0.0596,0.4549,0.4255,0.5252,8
bgsrp,0.1,rmse,0.5714,0.0517,0.5518,0.5281,0.6146,8
bgsrp,0.1,snr,2.3589,0.9023,2.6288,1.6046,3.1133,8
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4895,0.0551,0.4693,0.4434,0.5356,8
bgsrp,0.2,rmse,0.601,0.0418,0.5894,0.5661,0.6359,8
bgsrp,0.2,snr,2.2243,0.8637,2.5255,1.5023,2.9464,8
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5054,0.0505,0.4883,0.4632,0.5476,8
bgsrp,0.3,rmse,0.6215,0.0376,0.6091,0.59,0.653,8
bgsrp,0.3,snr,2.1147,0.8573,2.3144,1.398,2.8314,8
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5293,0.0389,0.5173,0.4968,0.5618,8
bgsrp,0.4,rmse,0.6748,0.0336,0.6639,0.6468,0.7029,8
bgsrp,0.4,snr,1.9284,0.7997,2.1838,1.2598,2.5969,8
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0718,0.0094,0.0685,0.0639,0.0797,8
directed_tv,0.1,rmse,0.2556,0.0402,0.2418,0.222,0.2892,8
directed_tv,0.1,snr,-0.8682,1.2092,-0.4664,-1.8791,0.1427,8
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1411,0.008,0.1383,0.1344,0.1479,8
directed_tv,0.2,rmse,0.3504,0.0217,0.3423,0.3322,0.3685,8
directed_tv,0.2,snr,-0.3835,0.6212,-0.3014,-0.9029,0.1358,8
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2059,0.0079,0.2049,0.1993,0.2125,8
directed_tv,0.3,rmse,0.4171,0.016,0.4119,0.4037,0.4305,8
directed_tv,0.3,snr,-0.1508,0.4729,-0.1713,-0.5462,0.2445,8
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2722,0.0079,0.2734,0.2656,0.2789,8
directed_tv,0.4,rmse,0.4752,0.0134,0.4754,0.464,0.4864,8
directed_tv,0.4,snr,-0.1137,0.3504,-0.1174,-0.4066,0.1793,8
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3664,0.1382,0.3551,0.2509,0.482,8
graph_time_tikhonov,0.1,rmse,0.4397,0.1317,0.4204,0.3296,0.5499,8
graph_time_tikhonov,0.1,snr,5.7667,4.1466,5.1758,2.3001,9.2333,8
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3947,0.1254,0.3847,0.2898,0.4996,8
graph_time_tikhonov,0.2,rmse,0.4841,0.108,0.4666,0.3938,0.5744,8
graph_time_tikhonov,0.2,snr,5.2444,3.7954,4.7126,2.0713,8.4174,8
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4295,0.1088,0.4207,0.3385,0.5205,8
graph_time_tikhonov,0.3,rmse,0.5281,0.0868,0.5119,0.4555,0.6007,8
graph_time_tikhonov,0.3,snr,4.5041,3.2802,4.0571,1.7618,7.2465,8
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4652,0.0864,0.4589,0.3929,0.5374,8
graph_time_tikhonov,0.4,rmse,0.583,0.0598,0.5707,0.533,0.633,8
graph_time_tikhonov,0.4,snr,3.7654,2.7414,3.3971,1.4735,6.0573,8
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0657,0.0006,0.0657,0.0652,0.0663,8
gsmooth,0.1,rmse,0.2317,0.002,0.2319,0.23,0.2333,8
gsmooth,0.1,snr,-0.1103,0.0766,-0.122,-0.1744,-0.0463,8
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1338,0.005,0.1347,0.1296,0.138,8
gsmooth,0.2,rmse,0.3312,0.0083,0.3316,0.3243,0.3382,8
