method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4491,0.0277,0.4413,0.3802,0.5179,3
bgsrp,0.1,rmse,0.5593,0.0277,0.545,0.4905,0.6281,3
bgsrp,0.1,snr,2.8107,0.5407,2.8306,1.4675,4.1539,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4746,0.0369,0.4604,0.3829,0.5662,3
bgsrp,0.2,rmse,0.6117,0.0255,0.6001,0.5485,0.6749,3
bgsrp,0.2,snr,2.4628,0.5054,2.6061,1.2073,3.7183,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5046,0.0558,0.4822,0.366,0.6433,3
bgsrp,0.3,rmse,0.6799,0.0597,0.6753,0.5315,0.8282,3
bgsrp,0.3,snr,2.6826,1.5157,2.5785,-1.0827,6.4478,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5199,0.0266,0.5294,0.4537,0.586,3
bgsrp,0.4,rmse,0.7429,0.0186,0.7426,0.6967,0.7891,3
bgsrp,0.4,snr,3.2008,1.1792,2.5562,0.2715,6.13,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0918,0.0209,0.0866,0.0399,0.1436,3
directed_tv,0.1,rmse,0.3283,0.0701,0.3135,0.1542,0.5024,3
directed_tv,0.1,snr,-2.5799,1.966,-1.5741,-7.4637,2.3039,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1603,0.033,0.1538,0.0784,0.2422,3
directed_tv,0.2,rmse,0.4166,0.0753,0.3811,0.2296,0.6036,3
directed_tv,0.2,snr,-2.0683,1.1846,-1.4404,-5.0111,0.8744,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.219,0.0126,0.2189,0.1876,0.2503,3
directed_tv,0.3,rmse,0.4656,0.0269,0.455,0.3989,0.5324,3
directed_tv,0.3,snr,-0.9621,0.8885,-0.8329,-3.1691,1.245,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2725,0.008,0.2705,0.2527,0.2922,3
directed_tv,0.4,rmse,0.5044,0.0129,0.4991,0.4724,0.5365,3
directed_tv,0.4,snr,-0.7838,0.6974,-0.6092,-2.5163,0.9486,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.2408,0.0025,0.2415,0.2346,0.2471,3
graph_time_tikhonov,0.1,rmse,0.3358,0.0145,0.3392,0.2997,0.3719,3
graph_time_tikhonov,0.1,snr,9.2808,0.2741,9.1884,8.5999,9.9617,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.2832,0.0146,0.2873,0.247,0.3195,3
graph_time_tikhonov,0.2,rmse,0.4065,0.0137,0.4003,0.3726,0.4404,3
graph_time_tikhonov,0.2,snr,8.4322,0.4978,8.2174,7.1956,9.6689,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.3396,0.0121,0.3356,0.3095,0.3697,3
graph_time_tikhonov,0.3,rmse,0.487,0.024,0.4897,0.4273,0.5467,3
graph_time_tikhonov,0.3,snr,7.3173,0.3867,7.1619,6.3567,8.2779,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.3789,0.0192,0.3879,0.3311,0.4267,3
graph_time_tikhonov,0.4,rmse,0.532,0.0139,0.5391,0.4974,0.5666,3
graph_time_tikhonov,0.4,snr,6.3279,0.442,6.1709,5.2298,7.426,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0711,0.0108,0.0651,0.0444,0.0979,3
