method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.6041,0.0159,0.6052,0.5646,0.6436,3
bgsrp,0.1,rmse,0.6864,0.0146,0.6908,0.6501,0.7227,3
bgsrp,0.1,snr,0.3657,0.2145,0.2808,-0.1672,0.8987,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.6072,0.0155,0.6071,0.5686,0.6458,3
bgsrp,0.2,rmse,0.6891,0.0147,0.6941,0.6525,0.7257,3
bgsrp,0.2,snr,0.325,0.1991,0.2408,-0.1695,0.8194,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.6089,0.0179,0.6059,0.5645,0.6533,3
bgsrp,0.3,rmse,0.6969,0.0099,0.6965,0.6724,0.7214,3
bgsrp,0.3,snr,0.2806,0.2221,0.214,-0.2711,0.8324,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.6109,0.01,0.6055,0.5859,0.6358,3
bgsrp,0.4,rmse,0.6986,0.0129,0.695,0.6667,0.7306,3
bgsrp,0.4,snr,0.2197,0.155,0.2226,-0.1653,0.6047,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0711,0.0089,0.066,0.0489,0.0933,3
directed_tv,0.1,rmse,0.2377,0.0172,0.2285,0.195,0.2805,3
directed_tv,0.1,snr,0.035,0.1242,0.0079,-0.2734,0.3435,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1292,0.0076,0.1323,0.1103,0.148,3
directed_tv,0.2,rmse,0.3199,0.0081,0.3226,0.2997,0.3401,3
directed_tv,0.2,snr,0.0257,0.0902,0.0121,-0.1983,0.2497,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2,0.0026,0.2005,0.1936,0.2065,3
directed_tv,0.3,rmse,0.3987,0.0023,0.3988,0.3929,0.4044,3
directed_tv,0.3,snr,-0.0237,0.0212,-0.0156,-0.0764,0.029,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2585,0.0193,0.2671,0.2105,0.3065,3
directed_tv,0.4,rmse,0.4519,0.0167,0.4594,0.4104,0.4934,3
directed_tv,0.4,snr,0.0031,0.0314,0.0152,-0.0748,0.081,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.6053,0.0161,0.6067,0.5653,0.6453,3
graph_time_tikhonov,0.1,rmse,0.6868,0.0147,0.6909,0.6502,0.7233,3
graph_time_tikhonov,0.1,snr,0.3528,0.2057,0.277,-0.1582,0.8638,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.6078,0.016,0.6084,0.568,0.6477,3
graph_time_tikhonov,0.2,rmse,0.689,0.0153,0.694,0.6508,0.7271,3
graph_time_tikhonov,0.2,snr,0.3222,0.2003,0.2409,-0.1754,0.8198,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.6097,0.0177,0.6077,0.5657,0.6537,3
graph_time_tikhonov,0.3,rmse,0.6965,0.0099,0.6958,0.6719,0.7211,3
graph_time_tikhonov,0.3,snr,0.2787,0.2145,0.2184,-0.2541,0.8115,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.6114,0.0099,0.6074,0.5867,0.6361,3
graph_time_tikhonov,0.4,rmse,0.6974,0.0125,0.6941,0.6664,0.7285,3
graph_time_tikhonov,0.4,snr,0.2269,0.1492,0.2296,-0.1438,0.5975,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0756,0.012,0.0704,0.0457,0.1055,3
