method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4722,0.0388,0.4602,0.3757,0.5687,3
bgsrp,0.1,rmse,0.5658,0.0352,0.5523,0.4783,0.6533,3
bgsrp,0.1,snr,2.3304,0.6128,2.5092,0.8082,3.8527,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4907,0.0419,0.4725,0.3867,0.5947,3
bgsrp,0.2,rmse,0.5945,0.0382,0.5731,0.4995,0.6895,3
bgsrp,0.2,snr,2.1476,0.6491,2.4448,0.5351,3.7601,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5057,0.0253,0.4955,0.4428,0.5686,3
bgsrp,0.3,rmse,0.6226,0.0302,0.6069,0.5476,0.6976,3
bgsrp,0.3,snr,2.0186,0.4423,2.1734,0.9198,3.1174,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.511,0.0299,0.509,0.4367,0.5853,3
bgsrp,0.4,rmse,0.6466,0.0353,0.6456,0.5589,0.7342,3
bgsrp,0.4,snr,2.0941,0.2713,2.0959,1.4201,2.7681,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0761,0.0083,0.0759,0.0554,0.0968,3
directed_tv,0.1,rmse,0.2596,0.03,0.2472,0.1852,0.3341,3
directed_tv,0.1,snr,-0.6785,1.2418,-0.3216,-3.7633,2.4064,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1378,0.018,0.1377,0.0931,0.1824,3
directed_tv,0.2,rmse,0.3461,0.036,0.3369,0.2566,0.4356,3
directed_tv,0.2,snr,-0.5766,0.627,-0.2642,-2.1342,0.9809,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2023,0.0036,0.2029,0.1933,0.2113,3
directed_tv,0.3,rmse,0.4066,0.0046,0.4077,0.3952,0.4179,3
directed_tv,0.3,snr,-0.1557,0.0428,-0.1473,-0.2621,-0.0494,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2604,0.0188,0.2697,0.2136,0.3071,3
directed_tv,0.4,rmse,0.4563,0.0163,0.4619,0.4158,0.4967,3
directed_tv,0.4,snr,-0.0769,0.0765,-0.0844,-0.2669,0.1132,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4025,0.008,0.4031,0.3825,0.4224,3
graph_time_tikhonov,0.1,rmse,0.47,0.0117,0.4676,0.441,0.499,3
graph_time_tikhonov,0.1,snr,3.9904,0.1753,3.9935,3.5549,4.4259,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4255,0.003,0.4265,0.4182,0.4329,3
graph_time_tikhonov,0.2,rmse,0.5017,0.0049,0.5029,0.4896,0.5138,3
graph_time_tikhonov,0.2,snr,3.5937,0.0708,3.6292,3.418,3.7695,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4556,0.0035,0.4568,0.4469,0.4642,3
graph_time_tikhonov,0.3,rmse,0.546,0.0062,0.5443,0.5305,0.5615,3
graph_time_tikhonov,0.3,snr,3.1353,0.1288,3.1032,2.8155,3.4552,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4765,0.0095,0.4751,0.4529,0.5,3
graph_time_tikhonov,0.4,rmse,0.5722,0.0135,0.572,0.5387,0.6056,3
graph_time_tikhonov,0.4,snr,2.7397,0.1218,2.749,2.4372,3.0423,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0726,0.0103,0.0674,0.0471,0.098,3
gsmooth,0.1,rmse,0.2468,0.0209,0.2367,0.1948,0.2989,3
gsmooth,0.1,snr,-0.2483,0.2105,-0.158,-0.7711,0.2746,3
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1286,0.0071,0.1246,0.1108,0.1463,3
gsmooth,0.2,rmse,0.3253,0.0136,0.3269,0.2916,0.359,3
gsmooth,0.2,snr,-0.0766,0.5167,-0.2363,-1.3602,1.2071,3
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2075,0.0066,0.205,0.1912,0.2238,3
gsmooth,0.3,rmse,0.4224,0.0154,0.4153,0.3842,0.4606,3
gsmooth,0.3,snr,-0.4308,0.2323,-0.4041,-1.0078,0.1462,3
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2622,0.023,0.267,0.2052,0.3193,3
gsmooth,0.4,rmse,0.4715,0.0251,0.4707,0.4092,0.5338,3
gsmooth,0.4,snr,-0.311,0.2531,-0.2525,-0.9396,0.3177,3
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0747,0.0073,0.0715,0.0564,0.0929,3
gsp,0.1,rmse,0.258,0.0145,0.2521,0.2221,0.2939,3
gsp,0.1,snr,-0.6351,0.0398,-0.6152,-0.7341,-0.5362,3
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1361,0.0093,0.1381,0.1131,0.1591,3
gsp,0.2,rmse,0.3507,0.0111,0.3501,0.323,0.3783,3
gsp,0.2,snr,-0.6773,0.2132,-0.7826,-1.2069,-0.1477,3
gsp,0.2,dtw,,,,,,0
