dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
physionet_eegmmidb,gaussian__sigma1,linear,0.3,0,9.20596590909091e-06,2.347456395960177e-05,3.9536080364563855,,{},
physionet_eegmmidb,gaussian__sigma1,nearest,0.3,0,8.520170454545455e-06,2.007735749771142e-05,4.961794189675232,,{},
physionet_eegmmidb,gaussian__sigma1,mean,0.3,0,9.480151515151514e-06,2.249306338079643e-05,2.927450232333128,,{},
physionet_eegmmidb,gaussian__sigma1,idw,0.3,0,8.733274028882618e-06,2.048440926567045e-05,4.308634385161265,,{'power': 2.0},
physionet_eegmmidb,gaussian__sigma1,spherical_spline,0.3,0,1.1154533255271536e-05,2.6585379903551428e-05,1.9327880915832003,,{},
physionet_eegmmidb,gaussian__sigma1,rbfi_tps,0.3,0,8.781018459245725e-06,2.2075343091685407e-05,3.778995963864842,,{},
physionet_eegmmidb,gaussian__sigma1,rbfi_mq,0.3,0,1.029218418874243e-05,2.417227368915249e-05,2.2412850246486187,,{},
physionet_eegmmidb,gaussian__sigma1,spline_surface,0.3,0,1.4196034516882632e-05,3.607148485111072e-05,0.3417139918126847,,{},
physionet_eegmmidb,gaussian__sigma1,gsp,0.3,0,9.47641058680152e-06,2.247941563467612e-05,2.934676177244432,,{},
physionet_eegmmidb,gaussian__sigma1,tikhonov,0.3,0,2.0061966921553648e-05,3.038713774631328e-05,6.731286818055303,,{'alpha': 0.05},
physionet_eegmmidb,gaussian__sigma1,bgsrp,0.3,0,2.797948514930941e-05,4.242418965987458e-05,3.7522579629641135,,{'bandwidth': 8},
physionet_eegmmidb,gaussian__sigma1,gsmooth,0.3,0,9.47755890463195e-06,2.248344489938299e-05,2.93251802830614,,"{'lam': 0.7, 'n_iter': 30}",
physionet_eegmmidb,gaussian__sigma1,puy,0.3,0,2.935650597942098e-05,4.448858531156074e-05,2.997167591471705,,{'alpha': 0.1},
physionet_eegmmidb,gaussian__sigma1,sobolev,0.3,0,3.092527118936997e-05,4.764404243331131e-05,2.610481774442302,,"{'alpha': 0.5, 'order': 2}",
physionet_eegmmidb,gaussian__sigma1,graph_time_tikhonov,0.3,0,2.7815404099609413e-05,4.127889059833716e-05,3.3951974908485485,,"{'alpha': 0.3, 'beta': 0.1}",
physionet_eegmmidb,gaussian__sigma1,trss,0.3,0,9.4764102696188e-06,2.2479415715430795e-05,2.93467658308866,,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",
physionet_eegmmidb,gaussian__sigma1,tv,0.3,0,9.48014509796731e-06,2.2493042529769785e-05,2.927461220295942,,"{'lam': 0.1, 'n_iter': 20}",
physionet_eegmmidb,gaussian__sigma1,temporal_laplacian,0.3,0,3.5657838970761774e-05,5.238603067101791e-05,0.7984689391635207,,"{'alpha': 0.3, 'beta': 0.3}",
physionet_eegmmidb,gaussian__sigma1,heat_diffusion_temporal,0.3,0,9.487338628927436e-06,2.2899808561128024e-05,2.887050265944126,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",
physionet_eegmmidb,gaussian__sigma1,spline_temporal,0.3,0,,,,,{'alpha': 0.3},mae_null
physionet_eegmmidb,gaussian__sigma1,wavelet_temporal,0.3,0,1.2179419018625198e-05,3.063836728544598e-05,18.213506202333093,,"{'alpha': 0.7, 'wavelet_level': 2}",
physionet_eegmmidb,gaussian__sigma1,directed_tv,0.3,0,1.118518892134284e-05,2.876602514954461e-05,0.6354243707063203,,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",
physionet_eegmmidb,gaussian__sigma1,linear,0.4,0,1.5221946022727273e-05,3.3469060143664816e-05,1.8477977522991595,,{},
physionet_eegmmidb,gaussian__sigma1,nearest,0.4,0,1.485497159090909e-05,3.692583745280409e-05,2.5506048178340777,,{},
physionet_eegmmidb,gaussian__sigma1,mean,0.4,0,1.2742657342657345e-05,2.644009049827082e-05,2.6768869163948708,,{},
