method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.3,mae,2.5e-05,5e-06,2.5e-05,-1.7e-05,6.7e-05,2
bgsrp,0.3,rmse,3.6e-05,9e-06,3.6e-05,-4.2e-05,0.000115,2
bgsrp,0.3,snr,4.5998,1.1987,4.5998,-6.1697,15.3694,2
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,2.7e-05,4e-06,2.7e-05,-1.3e-05,6.6e-05,2
bgsrp,0.4,rmse,3.8e-05,7e-06,3.8e-05,-2.9e-05,0.000105,2
bgsrp,0.4,snr,3.9511,1.0508,3.9511,-5.4898,13.3919,2
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.3,mae,1.1e-05,0.0,1.1e-05,1.1e-05,1.1e-05,2
directed_tv,0.3,rmse,2.9e-05,0.0,2.9e-05,2.9e-05,2.9e-05,2
directed_tv,0.3,snr,0.6347,0.001,0.6347,0.6253,0.644,2
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,1.5e-05,0.0,1.5e-05,1.5e-05,1.5e-05,2
directed_tv,0.4,rmse,3.3e-05,0.0,3.3e-05,3.3e-05,3.3e-05,2
directed_tv,0.4,snr,0.6189,0.001,0.6189,0.6095,0.6283,2
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,2.6e-05,3e-06,2.6e-05,3e-06,4.9e-05,2
graph_time_tikhonov,0.3,rmse,3.8e-05,4e-06,3.8e-05,2e-06,7.5e-05,2
graph_time_tikhonov,0.3,snr,4.0163,0.8784,4.0163,-3.8758,11.9084,2
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,2.8e-05,2e-06,2.8e-05,8e-06,4.8e-05,2
graph_time_tikhonov,0.4,rmse,4e-05,4e-06,4e-05,8e-06,7.1e-05,2
graph_time_tikhonov,0.4,snr,3.6532,0.7462,3.6532,-3.0513,10.3577,2
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.3,mae,9e-06,0.0,9e-06,9e-06,9e-06,2
gsmooth,0.3,rmse,2.2e-05,0.0,2.2e-05,2.2e-05,2.3e-05,2
gsmooth,0.3,snr,2.93,0.0036,2.93,2.8978,2.9621,2
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,1.3e-05,0.0,1.3e-05,1.3e-05,1.3e-05,2
gsmooth,0.4,rmse,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2
gsmooth,0.4,snr,2.6782,0.0018,2.6782,2.6619,2.6945,2
gsmooth,0.4,dtw,,,,,,0
gsp,0.3,mae,9e-06,0.0,9e-06,9e-06,1e-05,2
gsp,0.3,rmse,2.2e-05,0.0,2.2e-05,2.2e-05,2.3e-05,2
gsp,0.3,snr,2.9311,0.0051,2.9311,2.8852,2.9769,2
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,1.3e-05,0.0,1.3e-05,1.3e-05,1.3e-05,2
gsp,0.4,rmse,2.6e-05,0.0,2.6e-05,2.6e-05,2.6e-05,2
gsp,0.4,snr,2.6786,0.0024,2.6786,2.6569,2.7003,2
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,1e-05,0.0,1e-05,7e-06,1.2e-05,2
heat_diffusion_temporal,0.3,rmse,2.4e-05,1e-06,2.4e-05,1.2e-05,3.6e-05,2
heat_diffusion_temporal,0.3,snr,2.5044,0.5412,2.5044,-2.3578,7.3666,2
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,1.3e-05,0.0,1.3e-05,9e-06,1.7e-05,2
heat_diffusion_temporal,0.4,rmse,2.8e-05,2e-06,2.8e-05,1.3e-05,4.3e-05,2
heat_diffusion_temporal,0.4,snr,2.5142,0.4449,2.5142,-1.483,6.5114,2
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.3,mae,9e-06,0.0,9e-06,,,2
idw,0.3,rmse,2e-05,0.0,2e-05,,,2
idw,0.3,snr,4.3086,0.0,4.3086,,,2
idw,0.3,dtw,,,,,,0
idw,0.4,mae,1.4e-05,0.0,1.4e-05,,,2
idw,0.4,rmse,2.8e-05,0.0,2.8e-05,,,2
idw,0.4,snr,2.5329,0.0,2.5329,,,2
idw,0.4,dtw,,,,,,0
linear,0.3,mae,9e-06,0.0,9e-06,,,2
linear,0.3,rmse,2.3e-05,0.0,2.3e-05,,,2
linear,0.3,snr,3.9536,0.0,3.9536,,,2
linear,0.3,dtw,,,,,,0
linear,0.4,mae,1.5e-05,0.0,1.5e-05,,,2
linear,0.4,rmse,3.3e-05,0.0,3.3e-05,,,2
linear,0.4,snr,1.8478,0.0,1.8478,,,2
linear,0.4,dtw,,,,,,0
mean,0.3,mae,9e-06,0.0,9e-06,,,2
mean,0.3,rmse,2.2e-05,0.0,2.2e-05,,,2
mean,0.3,snr,2.9275,0.0,2.9275,,,2
mean,0.3,dtw,,,,,,0
mean,0.4,mae,1.3e-05,0.0,1.3e-05,,,2
mean,0.4,rmse,2.6e-05,0.0,2.6e-05,,,2
mean,0.4,snr,2.6769,0.0,2.6769,,,2
mean,0.4,dtw,,,,,,0
nearest,0.3,mae,9e-06,0.0,9e-06,,,2
nearest,0.3,rmse,2e-05,0.0,2e-05,,,2
nearest,0.3,snr,4.9618,0.0,4.9618,,,2
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,1.5e-05,0.0,1.5e-05,,,2
nearest,0.4,rmse,3.7e-05,0.0,3.7e-05,,,2
nearest,0.4,snr,2.5506,0.0,2.5506,,,2
nearest,0.4,dtw,,,,,,0
puy,0.3,mae,2.8e-05,2e-06,2.8e-05,7e-06,4.8e-05,2
puy,0.3,rmse,4.2e-05,4e-06,4.2e-05,9e-06,7.5e-05,2
puy,0.3,snr,3.516,0.7338,3.516,-3.0766,10.1086,2
puy,0.3,dtw,,,,,,0
puy,0.4,mae,2.9e-05,2e-06,2.9e-05,1.1e-05,4.7e-05,2
puy,0.4,rmse,4.3e-05,3e-06,4.3e-05,1.4e-05,7.2e-05,2
puy,0.4,snr,3.3098,0.636,3.3098,-2.4046,9.0241,2
puy,0.4,dtw,,,,,,0
rbfi_mq,0.3,mae,1e-05,0.0,1e-05,,,2
rbfi_mq,0.3,rmse,2.4e-05,0.0,2.4e-05,,,2
rbfi_mq,0.3,snr,2.2413,0.0,2.2413,,,2
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,2.3e-05,0.0,2.3e-05,,,2
rbfi_mq,0.4,rmse,5e-05,0.0,5e-05,,,2
rbfi_mq,0.4,snr,-1.7792,0.0,-1.7792,,,2
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.3,mae,9e-06,0.0,9e-06,,,2
rbfi_tps,0.3,rmse,2.2e-05,0.0,2.2e-05,,,2
rbfi_tps,0.3,snr,3.779,0.0,3.779,,,2
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,2e-05,0.0,2e-05,,,2
rbfi_tps,0.4,rmse,4.4e-05,0.0,4.4e-05,,,2
rbfi_tps,0.4,snr,-0.7179,0.0,-0.7179,,,2
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.3,mae,3.1e-05,0.0,3.1e-05,2.7e-05,3.4e-05,2
sobolev,0.3,rmse,4.7e-05,1e-06,4.7e-05,4.2e-05,5.3e-05,2
sobolev,0.3,snr,2.681,0.0997,2.681,1.7854,3.5765,2
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,3.2e-05,0.0,3.2e-05,2.9e-05,3.4e-05,2
sobolev,0.4,rmse,4.8e-05,1e-06,4.8e-05,4.3e-05,5.3e-05,2
sobolev,0.4,snr,2.4154,0.0825,2.4154,1.6739,3.157,2
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.3,mae,1.1e-05,0.0,1.1e-05,,,2
spherical_spline,0.3,rmse,2.7e-05,0.0,2.7e-05,,,2
spherical_spline,0.3,snr,1.9328,0.0,1.9328,,,2
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,3.3e-05,0.0,3.3e-05,,,2
spherical_spline,0.4,rmse,7.8e-05,0.0,7.8e-05,,,2
