method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4531,0.3023,0.5964,-0.028,0.9341,4
bgsrp,0.1,rmse,0.5148,0.3434,0.6805,-0.0316,1.0612,4
bgsrp,0.1,snr,1.832,2.9377,0.4453,-2.8426,6.5066,4
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.4554,0.3039,0.5994,-0.0281,0.9389,4
bgsrp,0.2,rmse,0.5168,0.3448,0.6833,-0.0317,1.0654,4
bgsrp,0.2,snr,1.7863,2.9271,0.3965,-2.8714,6.4439,4
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.4567,0.3048,0.5993,-0.0283,0.9416,4
bgsrp,0.3,rmse,0.5227,0.3485,0.6919,-0.0319,1.0773,4
bgsrp,0.3,snr,1.5723,2.5897,0.3712,-2.5485,5.6932,4
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.4582,0.3055,0.6051,-0.028,0.9443,4
bgsrp,0.4,rmse,0.524,0.3495,0.6915,-0.0321,1.0801,4
bgsrp,0.4,snr,1.3383,2.2408,0.2979,-2.2273,4.9038,4
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0533,0.0363,0.066,-0.0044,0.1111,4
directed_tv,0.1,rmse,0.1783,0.1197,0.2278,-0.0121,0.3688,4
directed_tv,0.1,snr,0.191,0.328,0.0892,-0.3309,0.7128,4
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.0969,0.0649,0.1264,-0.0064,0.2001,4
directed_tv,0.2,rmse,0.2399,0.1601,0.3167,-0.0148,0.4946,4
directed_tv,0.2,snr,0.2527,0.4599,0.067,-0.4791,0.9844,4
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.15,0.1,0.1989,-0.0091,0.3092,4
directed_tv,0.3,rmse,0.299,0.1993,0.3975,-0.0182,0.6162,4
directed_tv,0.3,snr,0.1407,0.3293,-0.0117,-0.3833,0.6647,4
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.1939,0.1302,0.2517,-0.0133,0.4011,4
directed_tv,0.4,rmse,0.3389,0.2263,0.4461,-0.0212,0.6991,4
directed_tv,0.4,snr,0.1569,0.3086,0.0209,-0.3342,0.6479,4
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.454,0.3029,0.5976,-0.028,0.936,4
graph_time_tikhonov,0.1,rmse,0.5151,0.3436,0.6807,-0.0316,1.0618,4
graph_time_tikhonov,0.1,snr,1.6106,2.5212,0.4313,-2.4012,5.6223,4
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4559,0.3042,0.6,-0.0282,0.9399,4
graph_time_tikhonov,0.2,rmse,0.5167,0.3447,0.6829,-0.0318,1.0652,4
graph_time_tikhonov,0.2,snr,1.4984,2.3581,0.3956,-2.2539,5.2508,4
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4573,0.3052,0.6004,-0.0283,0.9429,4
graph_time_tikhonov,0.3,rmse,0.5224,0.3483,0.6914,-0.0319,1.0767,4
graph_time_tikhonov,0.3,snr,1.3684,2.1864,0.3676,-2.1107,4.8474,4
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4586,0.3058,0.6058,-0.028,0.9452,4
graph_time_tikhonov,0.4,rmse,0.5231,0.3489,0.6905,-0.032,1.0782,4
graph_time_tikhonov,0.4,snr,1.2154,1.9807,0.3021,-1.9364,4.3671,4
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0567,0.0391,0.0687,-0.0054,0.1189,4
gsmooth,0.1,rmse,0.1917,0.1296,0.241,-0.0144,0.3979,4
gsmooth,0.1,snr,-0.423,0.3779,-0.3608,-1.0244,0.1784,4
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1009,0.0677,0.1318,-0.0068,0.2087,4
gsmooth,0.2,rmse,0.2539,0.1695,0.3352,-0.0158,0.5237,4
gsmooth,0.2,snr,0.6356,2.1605,-0.4234,-2.8023,4.0735,4
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.1605,0.1072,0.2095,-0.01,0.331,4
gsmooth,0.3,rmse,0.3264,0.2179,0.4275,-0.0203,0.673,4
gsmooth,0.3,snr,0.1734,1.8527,-0.5883,-2.7747,3.1216,4
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2042,0.1382,0.2608,-0.0157,0.4241,4
gsmooth,0.4,rmse,0.3658,0.2455,0.4726,-0.0249,0.7565,4
gsmooth,0.4,snr,0.214,1.6629,-0.4373,-2.432,2.86,4
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0693,0.0485,0.0842,-0.0079,0.1465,4
gsp,0.1,rmse,0.2385,0.1683,0.2816,-0.0294,0.5063,4
gsp,0.1,snr,-1.7203,1.8459,-1.2548,-4.6575,1.2169,4
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1236,0.0894,0.1418,-0.0186,0.2658,4
gsp,0.2,rmse,0.3214,0.2284,0.3751,-0.042,0.6847,4
gsp,0.2,snr,-0.7623,3.3719,-1.3843,-6.1277,4.6031,4
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.1887,0.1302,0.2283,-0.0185,0.3959,4
gsp,0.3,rmse,0.3956,0.2737,0.4762,-0.0399,0.8312,4
gsp,0.3,snr,-0.9766,2.8315,-1.4932,-5.4822,3.5289,4
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2386,0.1763,0.2651,-0.042,0.5191,4
gsp,0.4,rmse,0.4334,0.3167,0.4864,-0.0705,0.9373,4
gsp,0.4,snr,-0.7346,2.8214,-0.6937,-5.2241,3.7549,4
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.4867,0.3301,0.607,-0.0386,1.0119,4
heat_diffusion_temporal,0.1,rmse,1.4636,0.9813,1.8837,-0.0978,3.025,4
heat_diffusion_temporal,0.1,snr,-13.58,9.3144,-18.1647,-28.4013,1.2412,4
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.8818,0.5926,1.1459,-0.0611,1.8247,4
heat_diffusion_temporal,0.2,rmse,1.9707,1.3174,2.5865,-0.1255,4.0669,4
heat_diffusion_temporal,0.2,snr,-12.8212,10.8619,-18.209,-30.105,4.4625,4
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,1.3698,0.9134,1.8198,-0.0835,2.8232,4
heat_diffusion_temporal,0.3,rmse,2.4595,1.6398,3.2701,-0.1498,5.0687,4
heat_diffusion_temporal,0.3,snr,-13.2125,10.2228,-18.3095,-29.4793,3.0543,4
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,1.7521,1.1766,2.2693,-0.1201,3.6243,4
heat_diffusion_temporal,0.4,rmse,2.7695,1.8507,3.6234,-0.1754,5.7143,4
heat_diffusion_temporal,0.4,snr,-13.1109,10.2076,-18.139,-29.3535,3.1316,4
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.053,0.0364,0.0643,-0.005,0.1109,4
idw,0.1,rmse,0.1819,0.1235,0.2266,-0.0145,0.3783,4
idw,0.1,snr,0.3333,0.9481,0.1955,-1.1753,1.8419,4
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.0972,0.0649,0.1271,-0.0061,0.2005,4
idw,0.2,rmse,0.2468,0.1646,0.3275,-0.0151,0.5086,4
idw,0.2,snr,0.7539,1.8789,0.0577,-2.2358,3.7436,4
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.1584,0.1057,0.2071,-0.0099,0.3266,4
idw,0.3,rmse,0.323,0.2158,0.4223,-0.0203,0.6663,4
idw,0.3,snr,0.6197,2.473,-0.4962,-3.3154,4.5547,4
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2001,0.1344,0.2596,-0.0137,0.4139,4
idw,0.4,rmse,0.3628,0.2422,0.4767,-0.0226,0.7481,4
idw,0.4,snr,0.2264,1.5415,-0.4949,-2.2265,2.6792,4
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.059,0.0413,0.0709,-0.0067,0.1248,4
linear,0.1,rmse,0.2156,0.1474,0.2696,-0.019,0.4502,4
linear,0.1,snr,-0.9946,1.2798,-1.0362,-3.0311,1.0419,4
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1183,0.0809,0.1481,-0.0104,0.2471,4
linear,0.2,rmse,0.3146,0.2138,0.394,-0.0257,0.6549,4
linear,0.2,snr,0.0119,4.568,-1.8337,-7.2569,7.2806,4
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.1818,0.1217,0.235,-0.0118,0.3754,4
linear,0.3,rmse,0.3868,0.2584,0.5052,-0.0243,0.798,4
linear,0.3,snr,-0.6172,3.0536,-2.0016,-5.4761,4.2417,4
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.2292,0.1542,0.2934,-0.0161,0.4745,4
linear,0.4,rmse,0.4319,0.2888,0.5604,-0.0277,0.8914,4
linear,0.4,snr,-1.0529,1.9474,-1.8845,-4.1517,2.0459,4
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.0525,0.0368,0.0624,-0.006,0.111,4
mean,0.1,rmse,0.1782,0.1218,0.2198,-0.0156,0.372,4
mean,0.1,snr,0.0648,0.633,-0.0652,-0.9424,1.072,4
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.0951,0.0637,0.123,-0.0062,0.1964,4
mean,0.2,rmse,0.2393,0.16,0.3141,-0.0154,0.4939,4
mean,0.2,snr,1.0283,1.9712,0.3685,-2.1083,4.1648,4
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.1546,0.1031,0.2029,-0.0096,0.3187,4
mean,0.3,rmse,0.3152,0.2104,0.4125,-0.0196,0.65,4
mean,0.3,snr,0.4522,1.6577,-0.2855,-2.1856,3.09,4
mean,0.3,dtw,,,,,,0
mean,0.4,mae,0.1955,0.1315,0.2498,-0.0138,0.4048,4
mean,0.4,rmse,0.3505,0.2346,0.453,-0.0228,0.7238,4
mean,0.4,snr,0.498,1.4825,-0.0561,-1.8609,2.857,4
mean,0.4,dtw,,,,,,0
nearest,0.1,mae,0.0631,0.0449,0.0751,-0.0083,0.1346,4
nearest,0.1,rmse,0.2323,0.1603,0.2901,-0.0228,0.4875,4
nearest,0.1,snr,-2.2107,1.3042,-2.7183,-4.286,-0.1354,4
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1273,0.0855,0.1646,-0.0087,0.2634,4
nearest,0.2,rmse,0.3438,0.23,0.4478,-0.0222,0.7098,4
nearest,0.2,snr,-1.4286,3.2871,-2.9587,-6.659,3.8019,4
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.202,0.1355,0.2598,-0.0135,0.4176,4
nearest,0.3,rmse,0.4382,0.2932,0.5681,-0.0284,0.9047,4
nearest,0.3,snr,-1.2236,4.1357,-3.0782,-7.8044,5.3571,4
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,0.2473,0.1667,0.315,-0.018,0.5126,4
nearest,0.4,rmse,0.4751,0.318,0.6144,-0.031,0.9811,4
nearest,0.4,snr,-1.4804,2.7075,-2.6188,-5.7886,2.8278,4
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.4556,0.3039,0.6003,-0.028,0.9392,4
puy,0.1,rmse,0.5176,0.3452,0.6846,-0.0317,1.0668,4
puy,0.1,snr,1.345,2.0695,0.3824,-1.9481,4.638,4
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.4572,0.305,0.6022,-0.0281,0.9426,4
puy,0.2,rmse,0.5188,0.346,0.6863,-0.0318,1.0695,4
puy,0.2,snr,1.2723,1.9746,0.3525,-1.8697,4.4142,4
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.4585,0.3059,0.6023,-0.0283,0.9453,4
puy,0.3,rmse,0.5247,0.3498,0.6951,-0.032,1.0813,4
puy,0.3,snr,1.1897,1.9032,0.3213,-1.8387,4.2182,4
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.4596,0.3065,0.6071,-0.0281,0.9473,4
puy,0.4,rmse,0.5255,0.3505,0.6937,-0.0322,1.0833,4
puy,0.4,snr,1.0812,1.7894,0.2636,-1.7661,3.9286,4
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0688,0.0475,0.0838,-0.0067,0.1444,4
rbfi_mq,0.1,rmse,0.2513,0.1703,0.316,-0.0197,0.5222,4
rbfi_mq,0.1,snr,-1.7185,2.1058,-2.4752,-5.0692,1.6323,4
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1368,0.0919,0.1767,-0.0094,0.283,4
rbfi_mq,0.2,rmse,0.3641,0.2431,0.4763,-0.0227,0.7509,4
rbfi_mq,0.2,snr,-2.4631,2.2064,-3.5014,-5.974,1.0478,4
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2033,0.136,0.2644,-0.0131,0.4197,4
rbfi_mq,0.3,rmse,0.4436,0.2972,0.5737,-0.0293,0.9164,4
rbfi_mq,0.3,snr,-1.8622,2.7618,-3.0885,-6.2569,2.5325,4
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.2769,0.1854,0.3588,-0.0181,0.5718,4
