dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
physionet_eegmmidb,knn__k3,linear,0.4,1,1.5221946022727273e-05,3.3469060143664816e-05,1.8477977522991595,,{},
physionet_eegmmidb,knn__k3,nearest,0.4,1,1.485497159090909e-05,3.692583745280409e-05,2.5506048178340777,,{},
physionet_eegmmidb,knn__k3,mean,0.4,1,1.2742657342657345e-05,2.644009049827082e-05,2.6768869163948708,,{},
physionet_eegmmidb,knn__k3,idw,0.4,1,1.3589006536916712e-05,2.7826947377945587e-05,2.5328524225019766,,{'power': 3.0},
physionet_eegmmidb,knn__k3,spherical_spline,0.4,1,3.307308273938962e-05,7.761362088441654e-05,-4.597354602934112,,{},
physionet_eegmmidb,knn__k3,rbfi_tps,0.4,1,2.0342657889928884e-05,4.376103567833557e-05,-0.7179384446418758,,{},
physionet_eegmmidb,knn__k3,rbfi_mq,0.4,1,2.2723739944871125e-05,5.0170097917723655e-05,-1.7792493312710738,,{},
physionet_eegmmidb,knn__k3,spline_surface,0.4,1,2.7407203105943783e-05,6.421940039561059e-05,-2.4727308057848365,,{},
physionet_eegmmidb,knn__k3,gsp,0.4,1,1.773727909164699e-05,3.633573650159914e-05,0.3861296550240355,,{},
physionet_eegmmidb,knn__k3,tikhonov,0.4,1,1.9645205707880403e-05,3.5204144408560695e-05,12.314061568382648,,{'alpha': 0.05},
physionet_eegmmidb,knn__k3,bgsrp,0.4,1,3.226101820856031e-05,5.070954806934984e-05,3.720761432861747,,{'bandwidth': 8},
physionet_eegmmidb,knn__k3,gsmooth,0.4,1,1.4881228086135205e-05,2.953160994336961e-05,1.9359090794523464,,"{'lam': 0.7, 'n_iter': 30}",
physionet_eegmmidb,knn__k3,puy,0.4,1,2.7421618246840723e-05,4.255351025536755e-05,5.570423338468074,,{'alpha': 0.1},
physionet_eegmmidb,knn__k3,sobolev,0.4,1,3.0054275940941453e-05,4.421266421460064e-05,3.0181359859806025,,"{'alpha': 0.5, 'order': 2}",
physionet_eegmmidb,knn__k3,graph_time_tikhonov,0.4,1,2.5165454957284578e-05,3.5884153826283536e-05,5.349993292546674,,"{'alpha': 0.3, 'beta': 0.1}",
physionet_eegmmidb,knn__k3,trss,0.4,1,1.598854004330062e-05,3.188984739780225e-05,1.37927572732301,,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",
