method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.4,mae,3.4e-05,4e-06,3.2e-05,2.3e-05,4.4e-05,3
bgsrp,0.4,rmse,5.5e-05,1.5e-05,5.1e-05,1.9e-05,9.1e-05,3
bgsrp,0.4,snr,3.5523,0.2982,3.7208,2.8116,4.293,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.4,mae,1.5e-05,0.0,1.5e-05,1.5e-05,1.5e-05,3
directed_tv,0.4,rmse,3.3e-05,0.0,3.3e-05,3.3e-05,3.3e-05,3
directed_tv,0.4,snr,0.6143,0.0069,0.6168,0.5971,0.6315,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,2.6e-05,3e-06,2.5e-05,1.8e-05,3.4e-05,3
graph_time_tikhonov,0.4,rmse,3.8e-05,3e-06,3.7e-05,3e-05,4.7e-05,3
graph_time_tikhonov,0.4,snr,5.2281,2.0443,5.35,0.1497,10.3064,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.4,mae,1.4e-05,1e-06,1.5e-05,1.1e-05,1.7e-05,3
gsmooth,0.4,rmse,2.9e-05,2e-06,3e-05,2.4e-05,3.4e-05,3
gsmooth,0.4,snr,2.1733,0.4387,1.9359,1.0836,3.2629,3
gsmooth,0.4,dtw,,,,,,0
gsp,0.4,mae,1.6e-05,3e-06,1.8e-05,9e-06,2.4e-05,3
gsp,0.4,rmse,3.4e-05,7e-06,3.6e-05,1.7e-05,5e-05,3
gsp,0.4,snr,1.0395,1.4308,0.3861,-2.5148,4.5938,3
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,1.4e-05,1e-06,1.4e-05,1.1e-05,1.7e-05,3
heat_diffusion_temporal,0.4,rmse,3e-05,3e-06,3.1e-05,2.2e-05,3.8e-05,3
heat_diffusion_temporal,0.4,snr,1.6107,1.1432,1.4421,-1.2291,4.4505,3
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.4,mae,1.4e-05,0.0,1.4e-05,,,3
idw,0.4,rmse,2.8e-05,0.0,2.8e-05,,,3
idw,0.4,snr,2.5329,0.0,2.5329,,,3
idw,0.4,dtw,,,,,,0
linear,0.4,mae,1.5e-05,0.0,1.5e-05,,,3
linear,0.4,rmse,3.3e-05,0.0,3.3e-05,,,3
linear,0.4,snr,1.8478,0.0,1.8478,,,3
linear,0.4,dtw,,,,,,0
mean,0.4,mae,1.3e-05,0.0,1.3e-05,,,3
mean,0.4,rmse,2.6e-05,0.0,2.6e-05,,,3
mean,0.4,snr,2.6769,0.0,2.6769,,,3
mean,0.4,dtw,,,,,,0
nearest,0.4,mae,1.5e-05,0.0,1.5e-05,,,3
nearest,0.4,rmse,3.7e-05,0.0,3.7e-05,,,3
nearest,0.4,snr,2.5506,0.0,2.5506,,,3
nearest,0.4,dtw,,,,,,0
puy,0.4,mae,2.8e-05,2e-06,2.7e-05,2.3e-05,3.3e-05,3
puy,0.4,rmse,4.8e-05,7e-06,4.5e-05,3.1e-05,6.5e-05,3
puy,0.4,snr,6.8288,4.7254,5.5704,-4.9096,18.5673,3
puy,0.4,dtw,,,,,,0
rbfi_mq,0.4,mae,2.3e-05,0.0,2.3e-05,,,3
rbfi_mq,0.4,rmse,5e-05,0.0,5e-05,5e-05,5e-05,3
rbfi_mq,0.4,snr,-1.7792,0.0,-1.7792,,,3
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.4,mae,2e-05,0.0,2e-05,,,3
rbfi_tps,0.4,rmse,4.4e-05,0.0,4.4e-05,,,3
rbfi_tps,0.4,snr,-0.7179,0.0,-0.7179,,,3
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.4,mae,3e-05,2e-06,3e-05,2.4e-05,3.5e-05,3
sobolev,0.4,rmse,4.4e-05,4e-06,4.4e-05,3.4e-05,5.4e-05,3
sobolev,0.4,snr,3.1139,0.8089,3.0181,1.1044,5.1234,3
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.4,mae,3.3e-05,0.0,3.3e-05,,,3
spherical_spline,0.4,rmse,7.8e-05,0.0,7.8e-05,,,3
spherical_spline,0.4,snr,-4.5974,0.0,-4.5974,,,3
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.4,mae,2.7e-05,0.0,2.7e-05,,,3
spline_surface,0.4,rmse,6.4e-05,0.0,6.4e-05,,,3
spline_surface,0.4,snr,-2.4727,0.0,-2.4727,,,3
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.4,mae,3e-05,6e-06,2.9e-05,1.5e-05,4.5e-05,3
