method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.1,mae,2.356848429967873e-05,2.284154581839795e-05,2.5599958208830824e-06,2.1895953696701784e-05,2.524101490265568e-05,9,instant
bgsrp,0.1,rmse,3.54075238781487e-05,3.4315426002586755e-05,3.84594579792788e-06,3.2894839290169156e-05,3.792020846612825e-05,9,instant
bgsrp,0.1,snr,5.596514032656946,5.490338240804986,0.845482901357352,5.044131870436809,6.148896194877082,9,instant
bgsrp,0.2,mae,2.5230788438127842e-05,2.4848955923492235e-05,2.1439971509444373e-06,2.3830043632844144e-05,2.663153324341154e-05,9,instant
bgsrp,0.2,rmse,3.6382329837042016e-05,3.583173441969918e-05,3.091604200424537e-06,3.436248175943132e-05,3.840217791465271e-05,9,instant
bgsrp,0.2,snr,4.756172887121874,4.409434612618986,1.2735664608784434,3.9241094660146243,5.588236308229124,9,instant
bgsrp,0.3,mae,2.6120569664291607e-05,2.557126246019342e-05,2.138172386601268e-06,2.472363037171211e-05,2.75175089568711e-05,9,instant
bgsrp,0.3,rmse,3.839948432769261e-05,3.759195548563629e-05,3.1432973363304023e-06,3.6345863401290084e-05,4.045310525409514e-05,9,instant
bgsrp,0.3,snr,5.155019222759855,4.882453803013591,1.1113896485025567,4.428911319071518,5.881127126448193,9,instant
bgsrp,0.4,mae,3.2242790526478744e-05,3.15956107982848e-05,2.1921110963109998e-06,3.081061127688889e-05,3.3674969776068595e-05,9,instant
bgsrp,0.4,rmse,5.0680896849641504e-05,4.966362605787054e-05,3.4456743520339893e-06,4.8429722939645966e-05,5.293207075963704e-05,9,instant
bgsrp,0.4,snr,4.095149687664254,4.623671009054947,1.1285502922880302,3.357830163369407,4.8324692119591,9,instant
directed_tv,0.1,mae,2.0774811910273516e-06,2.0302012868741065e-06,1.6731979778758357e-07,1.9681655898061302e-06,2.186796792248573e-06,9,tv_time
directed_tv,0.1,rmse,9.398689192040711e-06,9.184791166833526e-06,7.569679965684438e-07,8.904136767615994e-06,9.893241616465428e-06,9,tv_time
directed_tv,0.1,snr,0.2303475918107686,-0.24324545592383195,1.310414426494276,-0.6257898334988251,1.0864850171203624,9,tv_time
directed_tv,0.2,mae,6.1153452287688635e-06,6.209517771101397e-06,5.47706609241079e-07,5.757510244064692e-06,6.473180213473035e-06,9,tv_time
directed_tv,0.2,rmse,1.9872026683631516e-05,2.017804363019633e-05,1.779791646502226e-06,1.8709229474583395e-05,2.1034823892679638e-05,9,tv_time
directed_tv,0.2,snr,1.0904968232808345,1.1613472084933143,1.164796987009499,0.3294961251012952,1.8514975214603737,9,tv_time
directed_tv,0.3,mae,1.0846671238054103e-05,1.050408176665501e-05,9.409500393210621e-07,1.0231917212364342e-05,1.1461425263743864e-05,9,tv_time
directed_tv,0.3,rmse,2.7881619797211553e-05,2.7000985621210582e-05,2.4187338833022197e-06,2.6301380326787436e-05,2.946185926763567e-05,9,tv_time
directed_tv,0.3,snr,0.06127018221452682,0.08672192380683674,0.9294849794221018,-0.5459933376745797,0.6685337021036334,9,tv_time
directed_tv,0.4,mae,1.494692601853921e-05,1.5120591745293363e-05,1.1875783094426722e-06,1.4171041523036664e-05,1.5722810514041756e-05,9,tv_time
directed_tv,0.4,rmse,3.3248791008965466e-05,3.363510291330666e-05,2.6417166291225755e-06,3.152286947793872e-05,3.497471253999221e-05,9,tv_time
directed_tv,0.4,snr,1.049687664251167,1.0473854392870638,1.3076087658854267,0.1953832705393549,1.903992057962979,9,tv_time
graph_time_tikhonov,0.1,mae,1.7357195351873865e-05,1.7640440025812744e-05,9.832048196272133e-07,1.671483486971742e-05,1.799955583403031e-05,9,tv_time
graph_time_tikhonov,0.1,rmse,2.533344297690036e-05,2.5746848636644038e-05,1.4350223482361492e-06,2.439589504271941e-05,2.627099091108131e-05,9,tv_time
graph_time_tikhonov,0.1,snr,8.067021766271102,8.047456671697546,0.9523211473088313,7.444838616695999,8.689204915846204,9,tv_time
graph_time_tikhonov,0.2,mae,1.9343880719391616e-05,2.0322116381468403e-05,1.8074694378062153e-06,1.8163000686691554e-05,2.0524760752091678e-05,9,tv_time
graph_time_tikhonov,0.2,rmse,2.793064402063549e-05,2.9343119233965725e-05,2.6098064901183547e-06,2.62255704470915e-05,2.9635717594179482e-05,9,tv_time
graph_time_tikhonov,0.2,snr,8.072916480239472,8.169346571616641,1.098029860614166,7.355536971304884,8.79029598917406,9,tv_time
graph_time_tikhonov,0.3,mae,2.1440767634735208e-05,2.1431771139001916e-05,1.9286485290636175e-06,2.0180717262413644e-05,2.270081800705677e-05,9,tv_time
graph_time_tikhonov,0.3,rmse,3.053854648356391e-05,3.0525732581197124e-05,2.7470155807224114e-06,2.8743829637491935e-05,3.2333263329635885e-05,9,tv_time
graph_time_tikhonov,0.3,snr,6.166508354337802,6.206044551458832,0.7989172399034946,5.644549090934186,6.688467617741418,9,tv_time
graph_time_tikhonov,0.4,mae,2.6385225517494018e-05,2.778642914202358e-05,2.3581921028701816e-06,2.48445400102855e-05,2.7925911024702537e-05,9,tv_time
graph_time_tikhonov,0.4,rmse,3.7623460128896494e-05,3.9621477112492105e-05,3.362614676148561e-06,3.5426551873812765e-05,3.982036838398022e-05,9,tv_time
graph_time_tikhonov,0.4,snr,4.860960522752389,4.90068400543478,0.9713764576906315,4.226327903727843,5.4955931417769355,9,tv_time
gsmooth,0.1,mae,1.8316173114228672e-06,1.7783575930032473e-06,1.668908123353816e-07,1.7225819806970845e-06,1.94065264214865e-06,9,instant
gsmooth,0.1,rmse,8.115416607397666e-06,7.879436743769856e-06,7.394494808506175e-07,7.63230961324193e-06,8.598523601553403e-06,9,instant
gsmooth,0.1,snr,2.7189706907636353,2.755162097019314,0.962596173908723,2.0900745238099363,3.3478668577173343,9,instant
gsmooth,0.2,mae,4.6632941178428745e-06,4.635250127084262e-06,2.434679127895679e-07,4.5042284148203564e-06,4.8223598208653925e-06,9,instant
gsmooth,0.2,rmse,1.4119398344342897e-05,1.4034487492340046e-05,7.371656940076948e-07,1.363778342425787e-05,1.4601013264427923e-05,9,instant
gsmooth,0.2,snr,3.3671345769602863,3.13936774464102,0.8763221221184829,2.7946041238428774,3.939665030077695,9,instant
gsmooth,0.3,mae,9.913879303262423e-06,9.78649122559042e-06,7.450337520788991e-07,9.427123918570876e-06,1.040063468795397e-05,9,instant
gsmooth,0.3,rmse,2.2503713634870403e-05,2.2214552880262058e-05,1.6911670691390477e-06,2.1398817816366223e-05,2.3608609453374582e-05,9,instant
gsmooth,0.3,snr,3.5875056646390657,2.741443948804992,1.453139452685404,2.638121222217935,4.536890107060197,9,instant
gsmooth,0.4,mae,1.4985666881343368e-05,1.5464048772388834e-05,1.221650226413801e-06,1.418752206675302e-05,1.5783811695933718e-05,9,instant
gsmooth,0.4,rmse,2.9738867418706374e-05,3.0688210263836786e-05,2.4243495069667446e-06,2.815495907415477e-05,3.132277576325798e-05,9,instant
gsmooth,0.4,snr,1.366893675890489,1.1748108614218775,0.8785310576300465,0.792920051572192,1.9408673002087862,9,instant
gsp,0.1,mae,1.658105090067516e-06,1.649284031364388e-06,1.4542108119468684e-07,1.5630966503536539e-06,1.7531135297813782e-06,9,instant
gsp,0.1,rmse,7.643665400076216e-06,7.603001378474066e-06,6.703737256630945e-07,7.205687899309661e-06,8.08164290084277e-06,9,instant
gsp,0.1,snr,2.6185777240230004,3.0083025225192856,1.1638198158644084,1.8582154443249204,3.3789400037210804,9,instant
