dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,linear,{},instant,0.1,2,"1,20",320,1.8938371573800503e-06,8.958095459037172e-06,1.2185676125002876,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,nearest,{},instant,0.1,2,"1,20",320,2.9657333287730345e-06,1.4716310393191424e-05,-3.5358313513132416,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,mean,{},instant,0.1,2,"1,20",320,2.3868876305534223e-06,1.0387823052093809e-05,1.2416277043591695,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,idw,{'power': 2.0},instant,0.1,2,"1,20",320,1.6366078711883928e-06,7.169427354626653e-06,2.2353578395973415,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,spherical_spline,{},instant,0.1,2,"1,20",320,2.7229114152446106e-06,1.1831666891563844e-05,-0.42914631835102135,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,rbfi_tps,{},instant,0.1,2,"1,20",320,1.6830719380357212e-06,7.20221475469056e-06,1.2988553720074192,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,rbfi_mq,{},instant,0.1,2,"1,20",320,2.4467351698600114e-06,1.006649597786607e-05,-0.1563322840174486,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,spline_surface,{},instant,0.1,2,"1,20",320,5.437296408831977e-06,2.4269928849803632e-05,-5.07279026337344,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,gsp,{},instant,0.1,2,"1,20",320,1.4616085420869697e-06,6.737839904436396e-06,1.8902974218635595,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.1,2,"1,20",320,6.03840029195327e-06,1.0469182026503319e-05,18.714332406384184,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.1,2,"1,20",320,2.080570648479129e-05,3.1256933615032804e-05,4.2446010278202415,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,gsmooth,"{'lam': 0.7, 'n_iter': 30}",instant,0.1,2,"1,20",320,1.8163411558577009e-06,8.047731962904744e-06,2.2030442232153433,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,puy,{'alpha': 0.1},instant,0.1,2,"1,20",320,1.8182598410604482e-05,2.7713234220906048e-05,8.448816733885625,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.1,2,"1,20",320,2.1821429860808112e-05,3.350130128973887e-05,5.822265043657772,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.1,2,"1,20",320,1.7737568677511063e-05,2.58886113528744e-05,7.756095003582043,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.1,2,"1,20",320,1.6430711256500533e-06,7.492433809075123e-06,3.244703403984718,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,tv,"{'lam': 0.1, 'n_iter': 20}",tv_time,0.1,2,"1,20",320,2.1880647294808624e-06,9.474880934325722e-06,-0.16762018126505662,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.1,2,"1,20",320,2.112535369699969e-05,3.071461165241065e-05,5.728526971794125,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,2.1207146523049108e-06,9.387036271229667e-06,-0.5159695692361672,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.1,2,"1,20",320,,,,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.1,2,"1,20",320,2.910530458925231e-06,1.1904723134518193e-05,31.65728246539861,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,directed_tv,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,2.4695067535571733e-06,1.1172243837669368e-05,0.962007617118096,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,linear,{},instant,0.2,4,"1,5,10,15",320,3.0076736329979358e-06,1.0311237219229882e-05,5.734706957397819,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,nearest,{},instant,0.2,4,"1,5,10,15",320,5.593409674159028e-06,1.932502469050787e-05,2.770235248579219,1
physionet_eegmmidb,physionet_subj01_run12,knn__k3,knn,mean,{},instant,0.2,4,"1,5,10,15",320,4.001513690308349e-06,1.1874761049645985e-05,5.359253367704486,1
