method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.1,mae,2.5529715858293886e-05,2.581364104552254e-05,2.511374486128454e-06,2.3888951194023295e-05,2.7170480522564477e-05,9,instant
bgsrp,0.1,rmse,3.9520388785048956e-05,3.9959909297044746e-05,3.8876459349392e-06,3.698046010755534e-05,4.206031746254257e-05,9,instant
bgsrp,0.1,snr,4.561318372446852,4.680943019978503,0.7960346322636698,4.041242412701254,5.08139433219245,9,instant
bgsrp,0.2,mae,2.6042014627924756e-05,2.5664851195114447e-05,2.4948525147913112e-06,2.44120443182611e-05,2.767198493758841e-05,9,instant
bgsrp,0.2,rmse,4.0125288694215926e-05,3.954415886065123e-05,3.844045049346834e-06,3.761384592864266e-05,4.263673145978919e-05,9,instant
bgsrp,0.2,snr,4.431417647141247,4.95978043814978,1.0587893195667288,3.7396752916909843,5.12316000259151,9,instant
bgsrp,0.3,mae,2.8857923432643226e-05,2.829066114479711e-05,1.9935946530692956e-06,2.7555441592637954e-05,3.01604052726485e-05,9,instant
bgsrp,0.3,rmse,4.375613097822898e-05,4.289601354725931e-05,3.0228089335950913e-06,4.178122914161352e-05,4.573103281484444e-05,9,instant
bgsrp,0.3,snr,4.272985580776539,4.247947761661221,1.0812579771926991,3.566563702343976,4.979407459209103,9,instant
bgsrp,0.4,mae,2.9085077461955934e-05,2.8371784009709418e-05,3.1759333201242675e-06,2.7010134359474746e-05,3.116002056443712e-05,9,instant
bgsrp,0.4,rmse,4.199360442516185e-05,4.096373737007565e-05,4.585474723264516e-06,3.89977609392957e-05,4.4989447911027996e-05,9,instant
bgsrp,0.4,snr,3.200354320046127,3.381042712808075,0.864499240222698,2.6355481497672977,3.765160490324956,9,instant
directed_tv,0.1,mae,2.186494970807349e-06,2.1202801023722353e-06,1.9891115168500083e-07,2.056539685039815e-06,2.3164502565748827e-06,9,tv_time
directed_tv,0.1,rmse,9.894898697537313e-06,9.595245863122476e-06,9.001647486098791e-07,9.306791061778859e-06,1.0483006333295766e-05,9,tv_time
directed_tv,0.1,snr,0.8741013686315156,0.6128149208064196,1.2355999193514098,0.06684275465526124,1.6813599826077699,9,tv_time
directed_tv,0.2,mae,6.04360944907241e-06,6.058651510103139e-06,5.980568430944861e-07,5.65287897825068e-06,6.434339919894141e-06,9,tv_time
directed_tv,0.2,rmse,1.9628137778559512e-05,1.9676990645190387e-05,1.9423396257795275e-06,1.8359142556383556e-05,2.089713300073547e-05,9,tv_time
directed_tv,0.2,snr,0.7864050671389148,0.9530526962946062,1.2785549962266554,-0.04891753039583335,1.621727664673663,9,tv_time
directed_tv,0.3,mae,1.1068603762633586e-05,1.0708809826342905e-05,1.1471682475696478e-06,1.031912050755475e-05,1.1818087017712422e-05,9,tv_time
directed_tv,0.3,rmse,2.8466191894060224e-05,2.7540875254996356e-05,2.950282815284424e-06,2.65386737880744e-05,3.039371000004605e-05,9,tv_time
directed_tv,0.3,snr,1.3047784895370684,1.8872345175986562,1.1812612637473376,0.5330211305554745,2.0765358485186622,9,tv_time
directed_tv,0.4,mae,1.4916455252722214e-05,1.4733820592821649e-05,1.46252145809505e-06,1.3960941233433448e-05,1.587196927201098e-05,9,tv_time
directed_tv,0.4,rmse,3.3186418231779176e-05,3.278008910703804e-05,3.2538460350649445e-06,3.1060572155536746e-05,3.5312264308021606e-05,9,tv_time
