dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,linear,{},instant,0.1,2,"1,20",320,1.991155436999731e-06,9.418423547619197e-06,-1.5987441184713571,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,nearest,{},instant,0.1,2,"1,20",320,3.278150121146143e-06,1.626655850349944e-05,-1.264687891248855,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,mean,{},instant,0.1,2,"1,20",320,2.5139535345536468e-06,1.0940818555448372e-05,0.7635492639826431,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,idw,{'power': 2.0},instant,0.1,2,"1,20",320,1.661366341110609e-06,7.277885864843976e-06,1.7746321209745424,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spherical_spline,{},instant,0.1,2,"1,20",320,2.3043782278610643e-06,1.0013045386485708e-05,-0.4495396386168595,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_tps,{},instant,0.1,2,"1,20",320,2.0227813773243997e-06,8.65590207527415e-06,2.013202701891376,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_mq,{},instant,0.1,2,"1,20",320,2.5709769956846505e-06,1.0577658712334806e-05,2.0369057006355433,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spline_surface,{},instant,0.1,2,"1,20",320,6.500553339571278e-06,2.9015884949637962e-05,-3.832515769072839,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsp,{},instant,0.1,2,"1,20",320,1.4859353721828213e-06,6.849983670601194e-06,1.3766151650261884,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.1,2,"1,20",320,5.789877763916231e-06,1.0038301750617382e-05,20.2029411042963,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.1,2,"1,20",320,2.630123164404225e-05,3.9512998613739474e-05,6.5311711164081725,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsmooth,"{'lam': 0.7, 'n_iter': 30}",instant,0.1,2,"1,20",320,2.078535148575229e-06,9.209444876180697e-06,2.1196487875074315,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,puy,{'alpha': 0.1},instant,0.1,2,"1,20",320,1.4721887528844326e-05,2.2438548553255704e-05,8.200598373140075,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.1,2,"1,20",320,2.469658850187447e-05,3.7915382149910016e-05,5.385208631380564,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.1,2,"1,20",320,1.891564035367567e-05,2.7608048798025673e-05,7.684406915417547,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.1,2,"1,20",320,1.677482193615266e-06,7.649348896318799e-06,1.4344846155530147,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,tv,"{'lam': 0.1, 'n_iter': 20}",tv_time,0.1,2,"1,20",320,2.5542668373867046e-06,1.1060629894837588e-05,-1.591667934125836,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.1,2,"1,20",320,1.9878652989396982e-05,2.8902006352162305e-05,5.173514349708441,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,1.7311617758157528e-06,7.662736881308814e-06,0.9598756323297755,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.1,2,"1,20",320,,,,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.1,2,"1,20",320,2.436679388770383e-06,9.966565854669042e-06,29.193485905158354,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,directed_tv,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,2.252066321804404e-06,1.0188526129584227e-05,1.959442860689979,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,linear,{},instant,0.2,4,"1,5,10,15",320,3.03550741577753e-06,1.0406660051614405e-05,7.845156485901635,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,nearest,{},instant,0.2,4,"1,5,10,15",320,5.549897791714859e-06,1.9174692737093342e-05,4.035411191730904,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,mean,{},instant,0.2,4,"1,5,10,15",320,4.937327009250242e-06,1.4651850023857346e-05,5.749270790197751,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,idw,{'power': 3.0},instant,0.2,4,"1,5,10,15",320,5.246724050625676e-06,1.706327942695589e-05,1.9775204853865378,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spherical_spline,{},instant,0.2,4,"1,5,10,15",320,8.454678235016866e-06,2.7305223371798587e-05,-0.40272017162152984,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_tps,{},instant,0.2,4,"1,5,10,15",320,6.649785083373195e-06,2.0494774304119083e-05,1.8032186749940113,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_mq,{},instant,0.2,4,"1,5,10,15",320,7.681521569968745e-06,2.3582207444706228e-05,1.6644135599936236,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spline_surface,{},instant,0.2,4,"1,5,10,15",320,1.067319674429418e-05,3.664440607223121e-05,-2.5095804948636538,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsp,{},instant,0.2,4,"1,5,10,15",320,6.198883302968757e-06,1.915945416358591e-05,2.5529784019175863,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.2,4,"1,5,10,15",320,9.779332869847626e-06,1.8824759287768735e-05,14.942799233574037,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.2,4,"1,5,10,15",320,2.5203287654693128e-05,3.6342674216443693e-05,4.431029517099012,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsmooth,"{'lam': 0.7, 'n_iter': 30}",instant,0.2,4,"1,5,10,15",320,5.147707779532522e-06,1.5586093191375565e-05,4.924984773984549,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,puy,{'alpha': 0.1},instant,0.2,4,"1,5,10,15",320,1.803744977897992e-05,2.7011845856788054e-05,9.415154539720296,1
