method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
directed_tv,0.1,mae,2.1118178784427442e-06,2.0294447997034223e-06,1.6941615559296438e-07,2.001132656788674e-06,2.2225031000968143e-06,9,tv_time
directed_tv,0.1,rmse,9.55403108119733e-06,9.181368759051575e-06,7.664520850565512e-07,9.053282385627051e-06,1.005477977676761e-05,9,tv_time
directed_tv,0.1,snr,0.2790976251857159,0.6596926523149365,0.9398654844706368,-0.3349478246684334,0.8931430750398652,9,tv_time
directed_tv,0.2,mae,5.83685070537918e-06,5.808804284441377e-06,5.748932426761708e-07,5.461253786830749e-06,6.212447623927612e-06,9,tv_time
directed_tv,0.2,rmse,1.8967049058818148e-05,1.8875911240034924e-05,1.8681355559382297e-06,1.7746533828938505e-05,2.018756428869779e-05,9,tv_time
directed_tv,0.2,snr,1.4118260876177045,1.6888340507881696,1.2602771769300676,0.5884449986900603,2.2352071765453485,9,tv_time
directed_tv,0.3,mae,1.1041504254977268e-05,1.0754591031826332e-05,1.02575393863488e-06,1.0371345015069146e-05,1.171166349488539e-05,9,tv_time
directed_tv,0.3,rmse,2.8382442582614783e-05,2.7644925493074777e-05,2.6367242718827694e-06,2.6659782724984708e-05,3.010510244024486e-05,9,tv_time
directed_tv,0.3,snr,0.9271382509428923,0.7658280692941127,1.1693664336643876,0.16315218094882566,1.6911243209369589,9,tv_time
directed_tv,0.4,mae,1.4268892431984024e-05,1.4355822462459007e-05,1.2204679691766002e-06,1.3471520025455313e-05,1.5066264838512736e-05,9,tv_time
directed_tv,0.4,rmse,3.174053459634452e-05,3.193390669252541e-05,2.7148782559007522e-06,2.9966814135822693e-05,3.3514255056866345e-05,9,tv_time
directed_tv,0.4,snr,0.7203897295808908,0.7423286898222031,0.9836921811755017,0.07771083787956301,1.3630686212822185,9,tv_time
graph_time_tikhonov,0.1,mae,1.6305791561309884e-05,1.5844078285460006e-05,1.4739094376971657e-06,1.5342837395347735e-05,1.7268745727272032e-05,9,tv_time
graph_time_tikhonov,0.1,rmse,2.3798881808809693e-05,2.312499488708659e-05,2.1512231634234217e-06,2.239341600870639e-05,2.5204347608912996e-05,9,tv_time
graph_time_tikhonov,0.1,snr,7.493830373278472,7.0954103771996255,1.171469142462816,6.728470533536099,8.259190213020846,9,tv_time
graph_time_tikhonov,0.2,mae,1.8324854521395358e-05,1.8329148299701766e-05,1.439365594673054e-06,1.7384468999542295e-05,1.926524004324842e-05,9,tv_time
graph_time_tikhonov,0.2,rmse,2.6459271321598786e-05,2.6465471111347265e-05,2.078301072238404e-06,2.510144795440303e-05,2.7817094688794543e-05,9,tv_time
graph_time_tikhonov,0.2,snr,7.265664251834955,7.3072958087116815,1.4142700111887339,6.341674511191648,8.189653992478261,9,tv_time
graph_time_tikhonov,0.3,mae,2.0893524526528123e-05,2.1770294477781908e-05,2.0512465009648396e-06,1.9553376812564428e-05,2.2233672240491817e-05,9,tv_time
graph_time_tikhonov,0.3,rmse,2.9759096354608738e-05,3.100789865347692e-05,2.9216345089006496e-06,2.7850295142126978e-05,3.16678975670905e-05,9,tv_time
graph_time_tikhonov,0.3,snr,6.784893889003428,5.956781702307287,1.2276835146102876,5.982807326124706,7.586980451882149,9,tv_time
graph_time_tikhonov,0.4,mae,2.435257484498022e-05,2.4509737188158376e-05,2.1769441343001047e-06,2.2930304677237486e-05,2.5774845012722956e-05,9,tv_time
graph_time_tikhonov,0.4,rmse,3.4725044442337645e-05,3.4949146796452707e-05,3.10416792857695e-06,3.269698806233404e-05,3.675310082234125e-05,9,tv_time
graph_time_tikhonov,0.4,snr,4.651817281373802,4.487940561596032,1.0090758735361385,3.9925543773301913,5.311080185417413,9,tv_time
heat_diffusion_temporal,0.1,mae,2.0509403288206215e-06,2.051907138911552e-06,1.5501485891763053e-07,1.9496639543277696e-06,2.1522167033134734e-06,9,tv_time
heat_diffusion_temporal,0.1,rmse,9.078190333547446e-06,9.082469778394535e-06,6.861508226285088e-07,8.629905129430153e-06,9.526475537664739e-06,9,tv_time
heat_diffusion_temporal,0.1,snr,0.4858034565795282,0.21859665236944892,1.449051316716155,-0.460910070341693,1.4325169835007494,9,tv_time
heat_diffusion_temporal,0.2,mae,5.2112713877704155e-06,5.192339904926095e-06,2.6641098527263877e-07,5.037216210725625e-06,5.385326564815206e-06,9,tv_time
heat_diffusion_temporal,0.2,rmse,1.663647249411115e-05,1.6576035592983457e-05,8.504909260758243e-07,1.6080818422408276e-05,1.7192126565814023e-05,9,tv_time
heat_diffusion_temporal,0.2,snr,1.8820652505406943,2.0189787693118753,1.1089255451351085,1.15756722771909,2.6065632733622985,9,tv_time
heat_diffusion_temporal,0.3,mae,1.0622417826340969e-05,1.0677651667684002e-05,6.453473754218257e-07,1.020079087439871e-05,1.1044044778283228e-05,9,tv_time
heat_diffusion_temporal,0.3,rmse,2.6145108263919207e-05,2.6281056104171237e-05,1.588402685158898e-06,2.5107351842948726e-05,2.7182864684889687e-05,9,tv_time
heat_diffusion_temporal,0.3,snr,1.9225041899375148,2.1324573204093,1.118817968300465,1.1915431173145443,2.653465262560485,9,tv_time
heat_diffusion_temporal,0.4,mae,1.4227061404901876e-05,1.4054819258271984e-05,1.387005050032834e-06,1.3320884772213757e-05,1.5133238037589994e-05,9,tv_time
heat_diffusion_temporal,0.4,rmse,3.028165147946169e-05,2.991504192420078e-05,2.9521770047942847e-06,2.8352895836329423e-05,3.221040712259396e-05,9,tv_time
heat_diffusion_temporal,0.4,snr,1.7217717988617427,2.154764818104916,1.2248890863364783,0.9215109291219102,2.5220326686015753,9,tv_time
idw,0.1,mae,1.9485039284556892e-06,1.9139425957430677e-06,1.824262515033234e-07,1.829318777473518e-06,2.0676890794378606e-06,9,instant
idw,0.1,rmse,8.535738835915473e-06,8.384337288529356e-06,7.991479087658465e-07,8.01362886885512e-06,9.057848802975826e-06,9,instant
idw,0.1,snr,1.0964325998997653,1.0480962904781959,0.9494778002401543,0.47610710374286447,1.7167580960566662,9,instant
idw,0.2,mae,5.18856083228649e-06,5.339903242458365e-06,3.46379596233295e-07,4.962259496080738e-06,5.414862168492243e-06,9,instant
idw,0.2,rmse,1.6874122300086557e-05,1.736631472511103e-05,1.1264880297297236e-06,1.6138150120663137e-05,1.7610094479509976e-05,9,instant
idw,0.2,snr,3.9381844497954126,3.844546818014654,0.7581164286166568,3.44288171643253,4.433487183158295,9,instant
idw,0.3,mae,8.438518791527947e-06,8.578966415180378e-06,6.308789606915141e-07,8.026344537209491e-06,8.850693045846403e-06,9,instant
idw,0.3,rmse,1.9793043473734407e-05,2.0122471657686094e-05,1.479763807383845e-06,1.8826264452910293e-05,2.075982249455852e-05,9,instant
idw,0.3,snr,5.034890635826255,4.791676764477752,1.064356897559521,4.339510796087367,5.730270475565142,9,instant
idw,0.4,mae,1.3816821281191164e-05,1.3726852409684106e-05,1.174388308079076e-06,1.3049554253246168e-05,1.458408830913616e-05,9,instant
idw,0.4,rmse,2.8293456013703715e-05,2.8109221864851206e-05,2.4048587776752863e-06,2.6722281612289195e-05,2.9864630415118234e-05,9,instant
idw,0.4,snr,2.809282948006703,3.1882155163302923,0.9431681679308805,2.1930797449585278,3.425486151054878,9,instant
linear,0.1,mae,2.2250426167689334e-06,2.252006158642371e-06,1.7786043812195494e-07,2.1088404638625895e-06,2.3412447696752773e-06,9,instant
linear,0.1,rmse,1.0524740252227523e-05,1.0652281303513133e-05,8.413029477607347e-07,9.975088993023844e-06,1.1074391511431203e-05,9,instant
linear,0.1,snr,0.7755799609811524,1.1078299174820985,1.1942804102501332,-0.0046832403822678614,1.5558431623445728,9,instant
linear,0.2,mae,3.307917517926463e-06,3.248927593906738e-06,3.726618999068468e-07,3.0644450766539898e-06,3.5513899591989364e-06,9,instant
linear,0.2,rmse,1.1340566295082882e-05,1.1138330555992588e-05,1.2776004717899645e-06,1.0505867320180104e-05,1.217526526998566e-05,9,instant
linear,0.2,snr,7.313211027285648,7.5878365754555555,1.183409396792972,6.540050221380906,8.08637183319039,9,instant
linear,0.3,mae,8.810727012284147e-06,8.80506064966296e-06,7.592229190760453e-07,8.314701371821131e-06,9.306752652747163e-06,9,instant
linear,0.3,rmse,2.2466732640864136e-05,2.2452283815712825e-05,1.9359649111720596e-06,2.1201902232231724e-05,2.3731563049496547e-05,9,instant
linear,0.3,snr,3.7093664511455327,3.8401871267507115,0.9096033471395379,3.1150922643477013,4.3036406379433645,9,instant
linear,0.4,mae,1.557524224596921e-05,1.5697634824227873e-05,1.3416123038552088e-06,1.4698722207450475e-05,1.645176228448795e-05,9,instant
linear,0.4,rmse,3.4245865719414424e-05,3.451497484361978e-05,2.949852983328714e-06,3.2318628436973e-05,3.617310300185585e-05,9,instant
linear,0.4,snr,1.4562386576127502,1.0060554534616888,1.4672882779822405,0.49761031599768635,2.4148669992278142,9,instant
mean,0.1,mae,2.4114574555941767e-06,2.4764880210636024e-06,2.2924192490083764e-07,2.261686064658963e-06,2.5612288465293905e-06,9,instant
mean,0.1,rmse,1.049475183737772e-05,1.0777767258140264e-05,9.9766931694189e-07,9.842941216975684e-06,1.1146562457779755e-05,9,instant
mean,0.1,snr,0.828203464343465,1.1041607967982086,0.9342548197420965,0.2178236487786287,1.4385832799083014,9,instant
mean,0.2,mae,4.668272252168343e-06,4.746170885830869e-06,3.8283408738889093e-07,4.418153981740935e-06,4.918390522595752e-06,9,instant
mean,0.2,rmse,1.3853411933452638e-05,1.4084581368928223e-05,1.1360859067939506e-06,1.3111169141013922e-05,1.4595654725891353e-05,9,instant
mean,0.2,snr,4.625215385416769,4.494537081374926,1.1503306577022907,3.8736660223846053,5.376764748448932,9,instant
