dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2572064301478571,0.5368773174858041,-2.4191202943732533,1
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2885465132091039,0.6165820969922422,-3.6998971834787695,1
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2125037819008306,0.4355594603472861,-0.5475475552035312,1
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,0.3,6,"1,4,7,13,14,17",64,0.2193035472107985,0.4472709119235417,-0.8376391123001864,1
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,0.3,6,"1,4,7,13,14,17",64,0.3392384056544167,0.7606027960808052,-4.927944414651416,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2752352041464,0.5908578542954833,-3.138416806443352,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,0.3,6,"1,4,7,13,14,17",64,0.28449673069033,0.6267924824521991,-3.483217109346568,1
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,0.3,6,"1,4,7,13,14,17",64,0.3288038895279771,0.7116487828618274,-4.127967744547699,1
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2458571365386579,0.507372419633385,-1.9981240040056845,1
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.3,6,"1,4,7,13,14,17",64,0.2986494807003794,0.5033421781244793,11.268213637687005,1
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.3,6,"1,4,7,13,14,17",64,0.5334241385074393,0.6733792582273133,1.656944039837913,1
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,0.3,6,"1,4,7,13,14,17",64,0.2191739394150917,0.4481427883790264,-0.8986292162389121,1
