dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,0.1,2,"12,18",64,0.0634270409346891,0.244209901265437,-0.0777226940065491,1
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,0.1,2,"12,18",64,0.0642770299551405,0.2523142036825606,-0.2761905701468088,1
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,0.1,2,"12,18",64,0.0589478976695532,0.2085273501920232,0.9476396031020364,1
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,0.1,2,"12,18",64,0.0625841043918718,0.2198587343426586,0.5658803059686505,1
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,0.1,2,"12,18",64,0.1109596651986618,0.4071882526204173,-4.5856010357981205,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,0.1,2,"12,18",64,0.088427217921455,0.3314997645390123,-2.570316269427729,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,0.1,2,"12,18",64,0.0895496117788872,0.3334451921211877,-2.776695396371658,1
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,0.1,2,"12,18",64,0.363683314967057,1.7420712241529503,-12.999275934669356,1
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,0.1,2,"12,18",64,0.0822079231535946,0.2916704128883218,-1.9283352141086585,1
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.1,2,"12,18",64,0.1591433756090172,0.3004579812261948,14.867157932756408,1
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.1,2,"12,18",64,0.4908906755512606,0.595185106484896,2.0073950672896586,1
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,0.1,2,"12,18",64,0.0652929243435412,0.2294132438070028,0.134684363878,1
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,0.1,2,"12,18",64,0.3572444732768113,0.4544403865643254,5.119704106447948,1
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.1,2,"12,18",64,0.5397752126969099,0.6104957151261354,1.3605913953827815,1
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.1,2,"12,18",64,0.3364728535512873,0.4138655388256524,5.709156988005283,1
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.1,2,"12,18",64,0.0814344471122789,0.2883082730230945,-1.823615743876108,1
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.2, 'n_iter': 30}",tv_time,0.1,2,"12,18",64,0.0662602564319172,0.2326701616608735,0.0968502943935819,1
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.1,2,"12,18",64,0.3897465473899423,0.4490691027574665,4.348884006100569,1
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.1,2,"12,18",64,0.073764903622347,0.2564202065885604,-0.8444033522402712,1
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.1,2,"12,18",64,,,,1
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.7, 'wavelet_level': 2}",tv_time,0.1,2,"12,18",64,0.0820090537154269,0.2385739897041278,20.725527146378926,1
