dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
synthetic_alpha,synthetic,knn__k3,knn,linear,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3298767998545232,0.6065903668026632,-2.290266788000535,1
synthetic_alpha,synthetic,knn__k3,knn,nearest,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3315668339659925,0.6286301530250877,-2.427773593777242,1
synthetic_alpha,synthetic,knn__k3,knn,mean,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2610509096263227,0.4587113167545196,0.1506455701467817,1
synthetic_alpha,synthetic,knn__k3,knn,idw,{'power': 1.5},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2752672503876464,0.4863914779261031,-0.3911157865214539,1
synthetic_alpha,synthetic,knn__k3,knn,spherical_spline,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4750781212681642,0.931806016032614,-5.235491412145549,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_tps,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3818542909667008,0.7252726262620611,-3.68571940032052,1
synthetic_alpha,synthetic,knn__k3,knn,rbfi_mq,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3898963338453581,0.7399231383843519,-3.839789259596472,1
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4659992072144946,0.8721669325779527,-5.0571724105034335,1
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.305193128904593,0.5512695538817246,-1.4519131363994324,1
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.342826285391105,0.5414406284405778,10.020887634757678,1
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.5335357807966542,0.7055491019720639,2.019448683189202,1
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2717086742533543,0.4783276012671265,-0.2549510674061556,1
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4555899193255536,0.6077526234599872,3.843208803889438,1
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.5711876303738378,0.6455455658280025,0.9208481351045672,1
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.4402963029175754,0.5568907037319342,3.898540479280596,1
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2983087215276618,0.5331948157665538,-1.1761411283404424,1
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2607223385117705,0.4596234181018697,0.1496546087323502,1
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.4769401236256179,0.5603203765184188,2.8079033794207686,1
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2792083775917881,0.4838524086249922,-0.3927064735823903,1
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,,,,1
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2759863264048898,0.4605806262818872,15.272154873503183,1
synthetic_alpha,synthetic,knn__k3,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2703740954421968,0.483496598363246,-0.1574238940429885,1
synthetic_alpha,synthetic,knn__k5,knn,linear,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3298767998545232,0.6065903668026632,-2.290266788000535,1
synthetic_alpha,synthetic,knn__k5,knn,nearest,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3315668339659925,0.6286301530250877,-2.427773593777242,1
synthetic_alpha,synthetic,knn__k5,knn,mean,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2610509096263227,0.4587113167545196,0.1506455701467817,1
synthetic_alpha,synthetic,knn__k5,knn,idw,{'power': 1.5},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2752672503876464,0.4863914779261031,-0.3911157865214539,1
synthetic_alpha,synthetic,knn__k5,knn,spherical_spline,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4750781212681642,0.931806016032614,-5.235491412145549,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_tps,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3818542909667008,0.7252726262620611,-3.68571940032052,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_mq,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3898963338453581,0.7399231383843519,-3.839789259596472,1
