method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.4,mae,0.5315800119541167,0.525698102472296,0.043701504945809044,0.5140957685629887,0.5490642553452448,24,instant
bgsrp,0.4,rmse,0.6857055675356927,0.6796769260082729,0.06087809663302115,0.6613492562361104,0.7100618788352749,24,instant
bgsrp,0.4,snr,2.0092910572634772,2.0576531597498784,0.8969800380905134,1.6504243014754276,2.3681578130515266,24,instant
directed_tv,0.4,mae,0.26326690733823516,0.27013493189262366,0.015499525826248734,0.25706580551509994,0.26946800916137037,24,tv_time
directed_tv,0.4,rmse,0.4739349464929905,0.4754351377502058,0.024284225995641617,0.4642192326199909,0.48365066036599014,24,tv_time
directed_tv,0.4,snr,-0.28317739887525417,-0.1942400321081963,0.42690921030796425,-0.45397665506092827,-0.11237814268958007,24,tv_time
graph_time_tikhonov,0.4,mae,0.45566730397222593,0.4466567698558976,0.08073726118661777,0.42336567209317827,0.4879689358512736,24,tv_time
graph_time_tikhonov,0.4,rmse,0.5720430177817802,0.559013287563731,0.05576574210086023,0.5497320742802378,0.5943539612833226,24,tv_time
graph_time_tikhonov,0.4,snr,3.9218417079889867,3.496359046033513,2.6541794955046694,2.8599487511974475,4.983734664780526,24,tv_time
gsmooth,0.4,mae,0.2640792617120146,0.2707018563079818,0.019895982564550444,0.25611921086031963,0.2720393125637096,24,instant
gsmooth,0.4,rmse,0.474905020228317,0.4766455871585521,0.022236248449627082,0.4660086680207448,0.48380137243588917,24,instant
gsmooth,0.4,snr,-0.37088041692336465,-0.29464551324614907,0.221928784597643,-0.4596704229017411,-0.2820904109449882,24,instant
gsp,0.4,mae,0.28355995781887544,0.2860787927638741,0.03769045321625171,0.26848063598837935,0.29863927964937154,24,instant
gsp,0.4,rmse,0.522824526627394,0.5238975672842989,0.05971351228058221,0.49893414610737624,0.5467149071474118,24,instant
gsp,0.4,snr,-1.118623558877415,-1.037788489750116,0.7834547206735583,-1.4320707282408218,-0.8051763895140079,24,instant
heat_diffusion_temporal,0.4,mae,0.5200759316915088,0.2728569591033073,0.7032253270727602,0.23872720485493037,0.8014246585280872,24,tv_time
heat_diffusion_temporal,0.4,rmse,0.8625155301176202,0.4678099724116338,1.0937936301932152,0.4249069380639101,1.3001241221713302,24,tv_time
heat_diffusion_temporal,0.4,snr,-2.3675544354219995,-0.10827917926159089,6.119757699104307,-4.815967441760149,0.08085857091614956,24,tv_time
idw,0.4,mae,0.26674216345321283,0.2752672503876464,0.01671244204484051,0.26005579407681595,0.2734285328296097,24,instant
idw,0.4,rmse,0.4836651953425036,0.4863914779261031,0.01296649866615689,0.4784775154470183,0.48885287523798887,24,instant
idw,0.4,snr,-0.5424770733977421,-0.5987695500705863,0.11051997382854997,-0.5866942719678062,-0.49825987482767803,24,instant
linear,0.4,mae,0.30555475025059214,0.3075095938728858,0.021148408332717278,0.2970936247336859,0.3140158757674984,24,instant
