method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.1,mae,0.46310047444061186,0.44085949530469637,0.058405558805435395,0.4226274870841051,0.5035734617971186,8,instant
bgsrp,0.1,rmse,0.5708037260593104,0.552402464945706,0.05012162956543401,0.5360712087924686,0.6055362433261522,8,instant
bgsrp,0.1,snr,2.5567232009522316,2.8482834285416727,0.9524000623493644,1.8967436293123,3.2167027725921633,8,instant
bgsrp,0.2,mae,0.47265314071795683,0.4526288973883148,0.05466184008985416,0.4347744180742797,0.510531863361634,8,instant
bgsrp,0.2,rmse,0.5884650125745498,0.5736108905688742,0.04396084164645064,0.558001703524374,0.6189283216247256,8,instant
bgsrp,0.2,snr,2.383002117246779,2.635050339062249,0.8735878768869303,1.7776366037718538,2.9883676307217035,8,instant
directed_tv,0.1,mae,0.08329250991578083,0.07720338603481691,0.013824719770080122,0.07371246788030199,0.09287255195125967,8,tv_time
directed_tv,0.1,rmse,0.2812111554215646,0.2570591600038864,0.05706687275801208,0.24166583016743043,0.3207564806756988,8,tv_time
directed_tv,0.1,snr,-0.5729898211202817,0.11374473180597466,1.4922008235944872,-1.6070322359509785,0.46105259371041507,8,tv_time
directed_tv,0.2,mae,0.12467655875300585,0.1210765460399241,0.008848791723875657,0.11854465893241116,0.13080845857360052,8,tv_time
directed_tv,0.2,rmse,0.33534428692366547,0.3215132627075792,0.03557861567140493,0.3106895641253147,0.35999900972201626,8,tv_time
directed_tv,0.2,snr,-0.660975392044187,-0.33236764221171666,0.8606209610353811,-1.2573552912720003,-0.06459549281637356,8,tv_time
graph_time_tikhonov,0.1,mae,0.3712017877219784,0.36856193507526447,0.12838261260923048,0.2822371760787946,0.46016639936516224,8,tv_time
graph_time_tikhonov,0.1,rmse,0.45776692058590196,0.44517903992918134,0.11608798614373887,0.3773220504137048,0.5382117907580991,8,tv_time
graph_time_tikhonov,0.1,snr,5.577622489026033,4.814313764794374,3.919073084359943,2.8618433981877707,8.293401579864295,8,tv_time
graph_time_tikhonov,0.2,mae,0.3899259763547991,0.3864763979876112,0.11873398143934204,0.3076475249904234,0.47220442771917476,8,tv_time
