method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.3,mae,0.49129874923276373,0.4802834839596934,0.047644761392257984,0.4582826140416527,0.5243148844238747,8,instant
bgsrp,0.3,rmse,0.635560611688492,0.6124485438084541,0.041447373466160856,0.6068390472250041,0.6642821761519798,8,instant
bgsrp,0.3,snr,2.6120490705798245,2.6187703232071966,1.1744910631374497,1.798168287296086,3.425929853863563,8,instant
bgsrp,0.4,mae,0.50383706727231,0.492691412967523,0.04354504325050193,0.47366189181020846,0.5340122427344116,8,instant
bgsrp,0.4,rmse,0.6530685897050347,0.6396520050403874,0.048904183652905546,0.6191797194134601,0.6869574599966093,8,instant
bgsrp,0.4,snr,2.318537088234769,2.360986920670275,1.1924893817450894,1.4921841064763608,3.1448900699931768,8,instant
directed_tv,0.3,mae,0.20660146588480305,0.20075668732021762,0.012594627790141165,0.19787383410221226,0.21532909766739383,8,tv_time
directed_tv,0.3,rmse,0.42795734842251876,0.41360678600289236,0.03735739511421073,0.40206999435804963,0.4538447024869879,8,tv_time
directed_tv,0.3,snr,-0.6239481301106575,-0.36114549300879273,0.7015074696596921,-1.1100680051830545,-0.13782825503826068,8,tv_time
directed_tv,0.4,mae,0.24478732697131975,0.238617837103911,0.010534386667840588,0.23748736944781793,0.25208728449482154,8,tv_time
directed_tv,0.4,rmse,0.46197114777733406,0.44816605700529094,0.03159906551403331,0.44007411254328577,0.48386818301138235,8,tv_time
directed_tv,0.4,snr,-0.5233158613854227,-0.2702332952560884,0.5740825904798129,-0.9211348002210498,-0.12549692254979566,8,tv_time
graph_time_tikhonov,0.3,mae,0.4276525376331111,0.42324291907126044,0.09661713320195339,0.36070028016852407,0.49460479509769817,8,tv_time
graph_time_tikhonov,0.3,rmse,0.5389040789535166,0.5221727669070906,0.07164515298519523,0.489256520908837,0.5885516369981961,8,tv_time
graph_time_tikhonov,0.3,snr,4.436099250195694,3.8642615305482355,3.0926017656169624,2.293035563817995,6.579162936573393,8,tv_time
graph_time_tikhonov,0.4,mae,0.4432835224140187,0.4378996308076959,0.08789013151458389,0.38237876858054576,0.5041882762474916,8,tv_time
