method,mae_mean,mae_std,mae_median
bgsrp,2.2133014162310845e-07,4.457805142132417e-08,2.2285708372092491e-07
directed_tv,1.5555527604372102e-07,3.398811940244638e-08,1.545843559143128e-07
graph_time_tikhonov,1.7200655693483036e-07,2.8488972349495593e-08,1.7267813276520558e-07
gsmooth,2.3087917838278763e-07,3.945680731650138e-08,2.269777302446783e-07
heat_diffusion_temporal,1.5243863692732975e-07,3.03694600245633e-08,1.4636575066361177e-07
idw,2.3728909108499236e-07,6.220714720875917e-08,2.3294925570609021e-07
linear,2.260409191350377e-07,6.36177709498507e-08,2.1904708154534394e-07
mean,2.1879045386225404e-07,4.549298203915301e-08,2.2112888888816551e-07
nearest,2.600653588876169e-07,5.041895100150434e-08,2.444645596156318e-07
puy,2.4884428870112823e-07,3.353060810147472e-08,2.4747578903802735e-07
rbfi_mq,2.2832948142075293e-07,3.542006532844008e-08,2.2865604402325966e-07
rbfi_tps,2.2615782094925237e-07,3.009783274310552e-08,2.2136975209400713e-07
sobolev,2.2620155810536295e-07,3.896514599644307e-08,2.2450959378583545e-07
spherical_spline,2.416509053228438e-07,3.949774116535836e-08,2.563444360461049e-07
spline_surface,2.3531138138375435e-07,3.376532923848193e-08,2.4487740978548174e-07
temporal_laplacian,1.4908190072235813e-07,1.5448597559408764e-08,1.4533180245685838e-07
tikhonov,2.5007378559541994e-07,5.301233566157253e-08,2.6108544475611784e-07
trss,1.6464499740340017e-07,3.449874047489771e-08,1.632636571926555e-07
tv,1.594229608108664e-07,3.737506596319934e-08,1.5665930253832727e-07
wavelet_temporal,1.617815901950644e-07,1.8841477256212957e-08,1.633418665953744e-07
