method,mae_mean,mae_std,mae_median
bgsrp,2.3746922092798375e-07,4.0415324705278846e-08,2.2488814112532885e-07
directed_tv,1.7094233287014428e-07,2.7087475311417283e-08,1.6144436381736127e-07
graph_time_tikhonov,1.7861638832512303e-07,2.5728003733910395e-08,1.6392739923311646e-07
gsmooth,2.3909595927573265e-07,3.973902860393321e-08,2.391304215976773e-07
heat_diffusion_temporal,1.6415615114042128e-07,2.4538179706189495e-08,1.6253508897859757e-07
idw,2.5584758021443477e-07,5.1478238474461623e-08,2.510652227649339e-07
linear,2.5301336704093874e-07,3.6596544618624816e-08,2.505142883572306e-07
mean,2.5345482108523153e-07,3.620751598691551e-08,2.6530193777137656e-07
nearest,2.7153139573158657e-07,4.201190088244874e-08,2.677479668259457e-07
puy,2.603627271277409e-07,2.8431757124201544e-08,2.5514197688726655e-07
rbfi_mq,2.723263883114194e-07,4.4668420385952893e-08,2.651417437210029e-07
rbfi_tps,2.462220778598275e-07,3.8290946379541644e-08,2.500959181972218e-07
sobolev,2.55114627580414e-07,3.093635146169967e-08,2.4390666861910194e-07
spherical_spline,2.4802717955973485e-07,4.680363354626845e-08,2.3147451863497724e-07
spline_surface,2.6036375414053367e-07,3.964441968848019e-08,2.5432321201973425e-07
temporal_laplacian,1.6467240404199154e-07,3.042762083437116e-08,1.547338146810882e-07
tikhonov,2.6460898092203125e-07,3.7061599833861716e-08,2.5668434728629167e-07
trss,1.6050023028586756e-07,2.0609265455876836e-08,1.6254607031058837e-07
tv,1.6570930900424263e-07,1.4787842700852128e-08,1.6292892488005633e-07
wavelet_temporal,1.9182893491479978e-07,2.5671406181549898e-08,1.7662207274275102e-07
