method,mae_mean,mae_std,mae_median
bgsrp,3.081217429584459e-07,7.317001250380297e-08,3.081217429584459e-07
directed_tv,2.3955679947230387e-07,1.8851300176989014e-08,2.3955679947230387e-07
graph_time_tikhonov,2.2126471423275852e-07,1.292101678384839e-09,2.2126471423275852e-07
gsmooth,2.8906287526276256e-07,9.448464022603013e-09,2.8906287526276256e-07
heat_diffusion_temporal,2.1213813239133345e-07,1.0036101820579143e-08,2.1213813239133345e-07
idw,3.038377124415254e-07,5.829476129938027e-10,3.038377124415254e-07
linear,3.180035599765652e-07,7.677463184419517e-08,3.180035599765652e-07
mean,2.916327132985162e-07,1.6722799527946073e-08,2.916327132985162e-07
nearest,3.216505624499486e-07,3.9708267793896926e-08,3.216505624499486e-07
puy,2.872038513339556e-07,1.146856152036583e-09,2.872038513339556e-07
rbfi_mq,3.0114210333534856e-07,2.309256714285806e-08,3.0114210333534856e-07
rbfi_tps,3.3367334772706514e-07,5.464664634181174e-08,3.3367334772706514e-07
sobolev,3.5251051730815423e-07,4.2665696956690245e-08,3.5251051730815423e-07
spherical_spline,3.4155150421934785e-07,4.086233832720349e-09,3.4155150421934785e-07
spline_surface,3.1417302774871337e-07,8.644577278510544e-09,3.1417302774871337e-07
temporal_laplacian,2.0068098099413552e-07,3.433293879940469e-09,2.0068098099413552e-07
tikhonov,3.016602186256336e-07,5.793441422291989e-08,3.016602186256336e-07
trss,2.005584053287657e-07,6.532875078055275e-09,2.005584053287657e-07
tv,2.0601426557782273e-07,4.889771299398142e-08,2.0601426557782273e-07
wavelet_temporal,2.2003486744759722e-07,2.450632037089061e-08,2.2003486744759722e-07
