dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
bci_competition_iv_2a_proxy,knn__k3,directed_tv,0.1,1,3.1931614249475704e-07,8.966416237433611e-07,13.988745404237024,,{},
bci_competition_iv_2a_proxy,knn__k3,tv,0.1,1,3.477046153875477e-07,1.362604155337047e-06,13.618849591476819,,{},
bci_competition_iv_2a_proxy,knn__k3,trss,0.1,1,3.5694214149478313e-07,9.29438982176518e-07,13.504975897746633,,{},
bci_competition_iv_2a_proxy,knn__k3,heat_diffusion_temporal,0.1,1,3.7353076693664936e-07,1.5898718063222624e-06,13.307690351692488,,{},
bci_competition_iv_2a_proxy,knn__k3,graph_time_tikhonov,0.1,1,3.9917291978250973e-07,1.4894558740563007e-06,13.01934344046959,,{},
bci_competition_iv_2a_proxy,knn__k3,temporal_laplacian,0.1,1,3.149619827767973e-07,9.580043026423817e-07,14.048372787357412,,{},
bci_competition_iv_2a_proxy,knn__k3,wavelet_temporal,0.1,1,3.295194540033464e-07,1.0235298935111238e-06,13.852143552391409,,{},
bci_competition_iv_2a_proxy,knn__k3,linear,0.1,1,5.087953407713902e-07,2.05209960492235e-06,11.965522892940758,,{},
bci_competition_iv_2a_proxy,knn__k3,nearest,0.1,1,5.79001887638315e-07,1.9062339941707266e-06,11.404154354400884,,{},
bci_competition_iv_2a_proxy,knn__k3,mean,0.1,1,4.153579070326598e-07,1.0415254990702965e-06,12.846729324005617,,{},
bci_competition_iv_2a_proxy,knn__k3,idw,0.1,1,5.62633969619569e-07,2.254731942277638e-06,11.528694654131577,,{},
bci_competition_iv_2a_proxy,knn__k3,gsmooth,0.1,1,4.754160483924238e-07,2.0813215719238778e-06,12.260215769972703,,{},
bci_competition_iv_2a_proxy,knn__k3,tikhonov,0.1,1,5.328519419153725e-07,1.5657302462004763e-06,11.764888621360932,,{},
bci_competition_iv_2a_proxy,knn__k3,spherical_spline,0.1,1,4.784840188937024e-07,1.6226694554869546e-06,12.232279777575899,,{},
