method,mae_mean,mae_std,mae_median
bgsrp,6.629757581129271e-07,1.1705738765039968e-07,6.606230370419598e-07
directed_tv,4.5324172320411906e-07,9.341167162368976e-08,4.5938227714323674e-07
graph_time_tikhonov,4.773461327201148e-07,8.695247512064876e-08,4.738008871067421e-07
gsmooth,6.553118722728062e-07,1.3510794761210522e-07,6.327151405029874e-07
heat_diffusion_temporal,4.6714732492092014e-07,9.565167725453063e-08,4.5583318053752935e-07
idw,6.709913383310612e-07,1.2734478937282508e-07,6.550949922028203e-07
linear,6.622769532409933e-07,1.275766496016855e-07,6.590237049426882e-07
mean,6.588571309212562e-07,1.2365449256821544e-07,6.508925470595379e-07
nearest,6.882534726747317e-07,1.3299617060316876e-07,6.945766229887986e-07
puy,6.579912039857883e-07,1.3246182046593577e-07,6.488264100590185e-07
rbfi_mq,7.276342561257491e-07,1.2662191505797492e-07,7.09564894849853e-07
rbfi_tps,6.747563428311214e-07,1.3320847464259946e-07,6.741402470715684e-07
sobolev,6.716446358245049e-07,1.2804401510945855e-07,6.742163848290183e-07
spherical_spline,6.725209396119966e-07,1.1662457720374883e-07,6.467973644171523e-07
spline_surface,6.632575416226654e-07,1.2997566426844433e-07,6.492086962160691e-07
temporal_laplacian,4.516882706091726e-07,8.794413058118054e-08,4.652255646472943e-07
tikhonov,6.860583093542861e-07,1.2614940049974475e-07,6.774960119450449e-07
trss,4.508536436894812e-07,9.427590940439058e-08,4.45930877575189e-07
tv,4.499216239232944e-07,7.889577581264909e-08,4.4994619368684365e-07
wavelet_temporal,4.716276391882361e-07,9.477961156470027e-08,4.652105453617764e-07
