method,mae_mean,mae_std,mae_median
bgsrp,6.793585601777612e-07,1.356940186663048e-07,6.756566403872061e-07
directed_tv,4.505689205498623e-07,9.192651968926975e-08,4.333838705254827e-07
graph_time_tikhonov,4.923894445058418e-07,1.0784145969856243e-07,5.063833978307205e-07
gsmooth,6.55391239337466e-07,1.3874031239707338e-07,6.270377720919851e-07
heat_diffusion_temporal,4.7616703995919505e-07,9.978039206294404e-08,4.836330517076605e-07
idw,6.732241496001432e-07,1.233054052009746e-07,6.598599623324351e-07
linear,6.736992704236508e-07,1.228967758276347e-07,6.538646443506783e-07
mean,6.714680926071547e-07,1.2738871782534357e-07,6.534446665811821e-07
nearest,6.955114643433783e-07,1.4027221513731274e-07,6.73165634120381e-07
puy,6.866963403185267e-07,1.5245336870798508e-07,6.897711894813766e-07
rbfi_mq,6.860345182461032e-07,1.2674312943485295e-07,6.910757044811981e-07
rbfi_tps,6.792725601570736e-07,1.4147324933250261e-07,6.612007541576419e-07
sobolev,6.657286468831769e-07,1.1266849427141299e-07,6.76875431072805e-07
spherical_spline,6.569723797830773e-07,1.419843844111382e-07,6.440429141219705e-07
spline_surface,6.7223435959053e-07,1.2901722370253787e-07,6.613758244875943e-07
temporal_laplacian,4.6908780065251383e-07,8.172264878284989e-08,4.576756672763194e-07
tikhonov,6.770278840019592e-07,1.4132706841035373e-07,6.804260950585569e-07
trss,4.602176131269865e-07,9.031727877751292e-08,4.5959953807362445e-07
tv,4.656623619152661e-07,9.310001902407486e-08,4.63328910239151e-07
wavelet_temporal,4.935124094599888e-07,8.97860975042626e-08,4.886338896889303e-07
