method,mae_mean,mae_std,mae_median
bgsrp,0.004276656212262953,0.003657004967361216,0.006195126579670297
directed_tv,0.002751957323034419,0.002392498924501649,0.003562985784143969
graph_time_tikhonov,0.003254964985618356,0.002771128916616443,0.004778839787673636
gsmooth,0.004120952261076783,0.0034903250434616525,0.0060504840780645
heat_diffusion_temporal,0.003074658031497673,0.002676176197964628,0.004138985744964158
idw,0.0041288289468470775,0.0035710929683935243,0.005565875107893211
linear,0.004413080279482066,0.0039324056247224785,0.005923533755457258
mean,0.004369593280233418,0.003858620297893661,0.005399541281821526
nearest,0.004538208325730448,0.003969032789106204,0.00638116763099624
puy,0.0043672558599568735,0.003888341921704893,0.0058908370819268745
rbfi_mq,0.004908327200531892,0.0043273686880253735,0.006405550056454157
rbfi_tps,0.004404568587972205,0.0038842241690000725,0.005959581901643404
sobolev,0.004136530491553214,0.0036566510823897993,0.005516197369046689
spherical_spline,0.004304001804934889,0.003716338644364166,0.005961156675651406
spline_surface,0.004574429159717592,0.0041274264951332,0.00561073499604881
temporal_laplacian,0.003009576919184252,0.0025531855072316485,0.004521406560103214
tikhonov,0.004424815470887324,0.0037755382977629442,0.006451808611216608
trss,0.0028050939918756335,0.002394277429740665,0.004085420372433242
tv,0.0029117827161722278,0.0025563048588844233,0.004017052877090361
wavelet_temporal,0.0031060421060008893,0.002703395005926772,0.004313089427827818
