dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,mean,1ch,0,0.38237282176807025,0.47205961632926047,3.6547580444965613,0.38237282176807025,{},,1
synthetic_16ch,knn__k3,nearest,1ch,0,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,linear,1ch,0,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,tikhonov,1ch,0,0.42948981213880716,0.5262839388604237,2.71063592194224,0.42948981213880716,{},,1
synthetic_16ch,knn__k3,gsp,1ch,0,0.518054071776389,0.6410554209014427,0.9966870400578837,0.518054071776389,{},,1
synthetic_16ch,knn__k3,temporal_laplacian,1ch,0,0.6009691008468507,0.6830614101183067,0.4473672950881822,0.6009691008468507,{},,1
synthetic_16ch,knn__k3,graph_time_tikhonov,1ch,0,0.4293337370660232,0.5261796778451023,2.712358702589071,0.4293337370660232,{},,1
synthetic_16ch,knn__k3,tv,1ch,0,0.4156029543703941,0.5098505388187484,2.987243449870851,0.4156029543703941,{},,1
synthetic_16ch,knn__k3,mean,1ch,1,0.38237282176807025,0.47205961632926047,3.6547580444965613,0.38237282176807025,{},,1
synthetic_16ch,knn__k3,nearest,1ch,1,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,linear,1ch,1,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,tikhonov,1ch,1,0.42948981213880716,0.5262839388604237,2.71063592194224,0.42948981213880716,{},,1
synthetic_16ch,knn__k3,gsp,1ch,1,0.518054071776389,0.6410554209014427,0.9966870400578837,0.518054071776389,{},,1
synthetic_16ch,knn__k3,temporal_laplacian,1ch,1,0.6009691008468507,0.6830614101183067,0.4473672950881822,0.6009691008468507,{},,1
synthetic_16ch,knn__k3,graph_time_tikhonov,1ch,1,0.4293337370660232,0.5261796778451023,2.712358702589071,0.4293337370660232,{},,1
synthetic_16ch,knn__k3,tv,1ch,1,0.4156029543703941,0.5098505388187484,2.987243449870851,0.4156029543703941,{},,1
synthetic_16ch,knn__k3,mean,1ch,2,0.38237282176807025,0.47205961632926047,3.6547580444965613,0.38237282176807025,{},,1
synthetic_16ch,knn__k3,nearest,1ch,2,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,linear,1ch,2,0.7312386022300236,0.9234790103299728,-2.153331705087813,0.7312386022300236,{},,1
synthetic_16ch,knn__k3,tikhonov,1ch,2,0.42948981213880716,0.5262839388604237,2.71063592194224,0.42948981213880716,{},,1
synthetic_16ch,knn__k3,gsp,1ch,2,0.518054071776389,0.6410554209014427,0.9966870400578837,0.518054071776389,{},,1
synthetic_16ch,knn__k3,temporal_laplacian,1ch,2,0.6009691008468507,0.6830614101183067,0.4473672950881822,0.6009691008468507,{},,1
synthetic_16ch,knn__k3,graph_time_tikhonov,1ch,2,0.4293337370660232,0.5261796778451023,2.712358702589071,0.4293337370660232,{},,1
synthetic_16ch,knn__k3,tv,1ch,2,0.4156029543703941,0.5098505388187484,2.987243449870851,0.4156029543703941,{},,1
