dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
mne_sample_proxy,knn__k3,mean,1ch,0,1.5631517733911469e-06,1.7375153760510411e-06,-2.924732248449169,1.5631517733911469e-06,{},,1
mne_sample_proxy,knn__k3,tikhonov,1ch,0,1.4417037413922466e-06,1.6552799056013613e-06,-2.6201610748810005,1.4417037413922466e-06,{},,1
mne_sample_proxy,knn__k3,temporal_laplacian,1ch,0,1.246731384423514e-06,1.3991595574598724e-06,-1.5869364279753773,1.246731384423514e-06,{},,1
mne_sample_proxy,knn__k3,tv,1ch,0,1.5923011782945689e-06,1.7719055722243672e-06,-3.053869150476425,1.5923011782945689e-06,{},,1
mne_sample_proxy,knn__k3,mean,2ch,0,1.8635010527247388e-06,2.1069289288475763e-06,-1.5998716365944385,1.8635010527247388e-06,{},,2
mne_sample_proxy,knn__k3,tikhonov,2ch,0,1.7503310312820635e-06,1.9823240065571195e-06,-1.1750632031146289,1.7503310312820635e-06,{},,2
mne_sample_proxy,knn__k3,temporal_laplacian,2ch,0,1.701107941128651e-06,1.9663573975884815e-06,-1.1186052051126751,1.701107941128651e-06,{},,2
mne_sample_proxy,knn__k3,tv,2ch,0,1.8513479670233294e-06,2.089668328033425e-06,-1.5406988784075548,1.8513479670233294e-06,{},,2
mne_sample_proxy,gaussian,mean,1ch,0,1.5631517733911469e-06,1.7375153760510411e-06,-2.924732248449169,1.5631517733911469e-06,{},,1
mne_sample_proxy,gaussian,tikhonov,1ch,0,1.5655529949001036e-06,1.740081581306294e-06,-2.934389436000826,1.5655529949001036e-06,{},,1
mne_sample_proxy,gaussian,temporal_laplacian,1ch,0,1.2949874538692544e-06,1.4347901266340287e-06,-1.733347515210947,1.2949874538692544e-06,{},,1
mne_sample_proxy,gaussian,tv,1ch,0,1.563191384810172e-06,1.737557371847965e-06,-2.924890334063944,1.563191384810172e-06,{},,1
mne_sample_proxy,gaussian,mean,2ch,0,1.8635010527247388e-06,2.1069289288475763e-06,-1.5998716365944385,1.8635010527247388e-06,{},,2
mne_sample_proxy,gaussian,tikhonov,2ch,0,1.8635765151473343e-06,2.1067691428645597e-06,-1.5992955717401336,1.8635765151473343e-06,{},,2
mne_sample_proxy,gaussian,temporal_laplacian,2ch,0,1.6990408765620144e-06,1.9421595151902656e-06,-1.033170277120379,1.6990408765620144e-06,{},,2
mne_sample_proxy,gaussian,tv,2ch,0,1.8635019346697892e-06,2.10692563701406e-06,-1.599859906881017,1.8635019346697892e-06,{},,2
mne_sample_proxy,knng__k3,mean,1ch,0,1.5631517733911469e-06,1.7375153760510411e-06,-2.924732248449169,1.5631517733911469e-06,{},,1
mne_sample_proxy,knng__k3,tikhonov,1ch,0,1.441680815705395e-06,1.6552599474222376e-06,-2.6200847130434015,1.441680815705395e-06,{},,1
mne_sample_proxy,knng__k3,temporal_laplacian,1ch,0,1.2467224063781151e-06,1.3991520054384932e-06,-1.5869052634134297,1.2467224063781151e-06,{},,1
mne_sample_proxy,knng__k3,tv,1ch,0,1.5923057117485184e-06,1.771910950925727e-06,-3.0538892662663617,1.5923057117485184e-06,{},,1
mne_sample_proxy,knng__k3,mean,2ch,0,1.8635010527247388e-06,2.1069289288475763e-06,-1.5998716365944385,1.8635010527247388e-06,{},,2
mne_sample_proxy,knng__k3,tikhonov,2ch,0,1.7503176392107885e-06,1.982311787055128e-06,-1.1750208068383254,1.7503176392107885e-06,{},,2
mne_sample_proxy,knng__k3,temporal_laplacian,2ch,0,1.7011071182081136e-06,1.966360345959889e-06,-1.1186155769526327,1.7011071182081136e-06,{},,2
mne_sample_proxy,knng__k3,tv,2ch,0,1.8513489758732868e-06,2.0896692503088703e-06,-1.540701983246945,1.8513489758732868e-06,{},,2
