dataset,graph,method,missing_ratio,seed,mode,mae,rmse,snr,dtw
synthetic_16ch,knn__k3,mean,0.1,0,instantaneous,0.3012971489521833,0.3012971489521833,-inf,0.3012971489521833
synthetic_16ch,knn__k3,tikhonov,0.1,0,instantaneous,0.26037418422128017,0.26037418422128017,-inf,0.26037418422128017
synthetic_16ch,knn__k3,temporal_laplacian,0.1,0,instantaneous,0.2514540834351474,0.2514540834351474,-inf,0.2514540834351474
synthetic_16ch,knn__k3,tv,0.1,0,instantaneous,0.04470067607954753,0.04470067607954753,-inf,0.04470067607954753
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,0,instantaneous,0.26037418422128017,0.26037418422128017,-inf,0.26037418422128017
synthetic_16ch,knn__k3,mean,0.1,1,instantaneous,0.2511351229633819,0.2511351229633819,-inf,0.2511351229633819
synthetic_16ch,knn__k3,tikhonov,0.1,1,instantaneous,0.3853671087691274,0.3853671087691274,-inf,0.3853671087691274
synthetic_16ch,knn__k3,temporal_laplacian,0.1,1,instantaneous,0.41016478817501495,0.41016478817501495,-inf,0.41016478817501495
synthetic_16ch,knn__k3,tv,0.1,1,instantaneous,0.4936465989303637,0.4936465989303637,-inf,0.4936465989303637
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,1,instantaneous,0.3853671087691274,0.3853671087691274,-inf,0.3853671087691274
synthetic_16ch,knn__k3,mean,0.2,0,instantaneous,0.6748363348614325,0.738963262624118,-8.30864545183107e-12,0.6748363348614325
synthetic_16ch,knn__k3,tikhonov,0.2,0,instantaneous,0.7177668197440085,0.7695133616907922,-0.15909237115746866,0.7177668197440085
synthetic_16ch,knn__k3,temporal_laplacian,0.2,0,instantaneous,0.730333577616508,0.778320654819856,-0.23528879083447915,0.730333577616508
synthetic_16ch,knn__k3,tv,0.2,0,instantaneous,0.7523132852534496,0.802076648779988,-0.06025759992201809,0.7523132852534496
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,0,instantaneous,0.7177668197440085,0.7695133616907922,-0.15909237115746866,0.7177668197440085
synthetic_16ch,knn__k3,mean,0.2,1,instantaneous,0.4778623086133498,0.4800316289863086,-2.288445510883635e-11,0.4778623086133498
synthetic_16ch,knn__k3,tikhonov,0.2,1,instantaneous,0.47420040458818136,0.4786576688110493,0.16593796672156377,0.47420040458818136
synthetic_16ch,knn__k3,temporal_laplacian,0.2,1,instantaneous,0.471765507290501,0.47748206813453375,0.253253226770935,0.471765507290501
synthetic_16ch,knn__k3,tv,0.2,1,instantaneous,0.3690898021761619,0.39271751164087915,2.0836770668414935,0.3690898021761619
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,1,instantaneous,0.47420040458818136,0.4786576688110493,0.16593796672156377,0.47420040458818136
