dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,gaussian,mean,0.1,0,0.5252093525063436,0.670760263455023,2.7966754894553065,0.5364497647994991,{},,
synthetic_16ch,gaussian,nearest,0.1,0,0.6676702446918708,0.8110759390516469,1.7543797804784431,0.6690393157886061,{},,
synthetic_16ch,gaussian,tikhonov,0.1,0,0.5972914274668971,0.7252218579559432,2.238137183520491,0.6041942272198666,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.1,0,0.5207508892476402,0.6318546763494645,2.8336997976629865,0.5221277945694796,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.1,0,0.49146786945149984,0.6299841255551708,3.0850486964386405,0.5038093339390952,{},,
synthetic_16ch,gaussian,tv,0.1,0,0.500538779967338,0.5817585898142674,3.0056226928593253,0.515259229414919,{},,
synthetic_16ch,gaussian,trss,0.1,0,0.47387396161177514,0.5813344466492648,3.2433715422224534,0.48583713548378016,{},,
synthetic_16ch,gaussian,mean,0.1,1,0.5241087628307529,0.6582026868484318,2.8057857905401473,0.5368552975529455,{},,
synthetic_16ch,gaussian,nearest,0.1,1,0.6584767982894175,0.8274271578850244,1.8145952298308268,0.6815047446626715,{},,
synthetic_16ch,gaussian,tikhonov,0.1,1,0.5833133992039182,0.6846108621467762,2.3409804734176345,0.5981631273009507,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.1,1,0.5276843731408802,0.6605945496536579,2.7762576684000733,0.552632859792178,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.1,1,0.49027320183744094,0.5758787044968098,3.0956184448940602,0.5138302390514248,{},,
synthetic_16ch,gaussian,tv,0.1,1,0.4998454335400283,0.6066586603990726,3.0116427113997295,0.5172048148220197,{},,
synthetic_16ch,gaussian,trss,0.1,1,0.4950563496645314,0.5867674439551612,3.0534536479175447,0.5061330779311676,{},,
synthetic_16ch,gaussian,mean,0.1,2,0.5236199379811278,0.6418213466372772,2.809838250877412,0.5447931303398704,{},,
synthetic_16ch,gaussian,nearest,0.1,2,0.6733924020811874,0.7863869623761568,1.717317880851375,0.676875281224665,{},,
synthetic_16ch,gaussian,tikhonov,0.1,2,0.5876783486405318,0.7056542928094919,2.3086030935148703,0.6022580702045631,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.1,2,0.5280341972670127,0.6617355204930752,2.7733795018614753,0.5410953569957461,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.1,2,0.4986182102667484,0.5987626744965305,3.022318644716795,0.5176920970346017,{},,
synthetic_16ch,gaussian,tv,0.1,2,0.4966296087321235,0.6079318286475379,3.039673916560334,0.5076924871599275,{},,
synthetic_16ch,gaussian,trss,0.1,2,0.4711940861298131,0.5600410737307241,3.268001689358784,0.4741354886783673,{},,
synthetic_16ch,gaussian,mean,0.2,0,0.5561777222731217,0.6775110061307204,2.547864108101978,0.5788659412775128,{},,
synthetic_16ch,gaussian,nearest,0.2,0,0.6796909313867441,0.8204964375558962,1.6768852450842102,0.7018475590171092,{},,
synthetic_16ch,gaussian,tikhonov,0.2,0,0.6142394519841842,0.7333926471801819,2.116622926972301,0.6299106420037753,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,0,0.5380246220715678,0.6478192195543161,2.691978488957598,0.5391737537176767,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,0,0.5406659702160133,0.6564914494250977,2.670709642731989,0.5802774061161061,{},,
synthetic_16ch,gaussian,tv,0.2,0,0.48130121716653984,0.5840081890296447,3.1758304002952356,0.5043667274594181,{},,
synthetic_16ch,gaussian,trss,0.2,0,0.5050561532994929,0.6107551135217162,2.9666033334116158,0.5174619107372135,{},,
synthetic_16ch,gaussian,mean,0.2,1,0.5622189729616421,0.6697570699194513,2.500945025315915,0.5859099502292878,{},,
synthetic_16ch,gaussian,nearest,0.2,1,0.7153452216468992,0.8890744060880997,1.4548431949441891,0.7587188621942124,{},,
synthetic_16ch,gaussian,tikhonov,0.2,1,0.6171952212564388,0.7426756326592513,2.095774451972874,0.6357951101666324,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,1,0.5584211686748387,0.6749594105107528,2.5303812680170963,0.5659752758014666,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,1,0.5165617608425905,0.6190109510447507,2.868777461868703,0.539805965480346,{},,
synthetic_16ch,gaussian,tv,0.2,1,0.5205488346951542,0.6549623646260021,2.835385213999351,0.5433996751913632,{},,
synthetic_16ch,gaussian,trss,0.2,1,0.5000600402001899,0.610931485328756,3.009778485387042,0.5304192070654261,{},,
synthetic_16ch,gaussian,mean,0.2,2,0.5544861792308986,0.6798027006080986,2.561092743265903,0.5753273810829791,{},,
synthetic_16ch,gaussian,nearest,0.2,2,0.6989669806180693,0.8812494402877914,1.5554333995338099,0.7231727784654339,{},,
synthetic_16ch,gaussian,tikhonov,0.2,2,0.6354267300029318,0.7719524525335466,1.9693451999511868,0.6391594812241806,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,2,0.5551937702713056,0.6572766611750887,2.5555541566476596,0.5615756319991183,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,2,0.5307370313009456,0.6173496407603918,2.751206091314681,0.5619562659457671,{},,
synthetic_16ch,gaussian,tv,0.2,2,0.5145778977199157,0.6098428742662397,2.885488716507169,0.5305148090883027,{},,
synthetic_16ch,gaussian,trss,0.2,2,0.5075659831675633,0.6145506266120161,2.9450749181221125,0.533394967810123,{},,
synthetic_16ch,gaussian,mean,0.3,0,0.5917658025392453,0.7446457255853338,2.278501358249153,0.6057066771979982,{},,
synthetic_16ch,gaussian,nearest,0.3,0,0.7375214750221657,0.9335913536056577,1.3222532945383356,0.7567997486481758,{},,
synthetic_16ch,gaussian,tikhonov,0.3,0,0.6444987438332792,0.7736015973205596,1.9077792477508173,0.6587849217930015,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.3,0,0.5753289946476602,0.6914534615187153,2.400837384399799,0.6036861289258604,{},,
