dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,mean,0.2,0,0.5288929790167395,0.6479138346699622,2.7663219814284554,0.5448009082112575,{},,
synthetic_16ch,knn__k3,nearest,0.2,0,0.6581721486689003,0.7613663592641843,1.8166049933561945,0.7026070912925209,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,0,0.5912395363952548,0.7454035832083382,2.2823653221705618,0.6145720591858856,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,0,0.5120384920751568,0.627354164836404,2.906973900633946,0.5353423632712624,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,0,0.4875473439608582,0.5940390076915139,3.1198320514894973,0.49462438144166715,{},,
synthetic_16ch,knn__k3,tv,0.2,0,0.46655660971615903,0.5532883713459883,3.310956535333567,0.47682535119857283,{},,
synthetic_16ch,knn__k3,trss,0.2,0,0.4616891583461717,0.5502880536933253,3.356503236842523,0.4670113739862444,{},,
synthetic_16ch,knn__k3,mean,0.2,1,0.5293349567777738,0.667056240922814,2.762694246657728,0.5508209236725042,{},,
synthetic_16ch,knn__k3,nearest,0.2,1,0.6661667429140654,0.8049466663937557,1.7641705241487187,0.6708885842157793,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,1,0.5976595337160748,0.7437382551719242,2.2354614834621334,0.5976611633813814,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,1,0.507054283737736,0.6161652463747667,2.9494554388914302,0.5418987110937072,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,1,0.48662156460094247,0.5909685219557705,3.128086492479629,0.4896023725532562,{},,
synthetic_16ch,knn__k3,tv,0.2,1,0.4638407656255725,0.5717701050739743,3.3363108513171054,0.4911185352496395,{},,
synthetic_16ch,knn__k3,trss,0.2,1,0.4764133979369294,0.5706690632191425,3.22016033568997,0.4975324865066963,{},,
synthetic_16ch,knn__k3,mean,0.2,2,0.5283029488469265,0.6611801536060127,2.7711696518887314,0.5455617167916728,{},,
synthetic_16ch,knn__k3,nearest,0.2,2,0.6746486402835014,0.8117974344435227,1.7092235059769099,0.6996913227965709,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,2,0.6086424776975453,0.71307846548541,2.1563774112290264,0.6441118592097285,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,2,0.5182668586487126,0.6195122422518793,2.8544656188348094,0.5308218539049521,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,2,0.4684025457976063,0.5780930025355274,3.2938075317422157,0.48114589550964304,{},,
synthetic_16ch,knn__k3,tv,0.2,2,0.4830440612856691,0.5890749544247369,3.160132528905057,0.49514790186909746,{},,
synthetic_16ch,knn__k3,trss,0.2,2,0.48071297064770674,0.6117907800859246,3.1811415953317312,0.4951609455593866,{},,
synthetic_16ch,knn__k3,mean,0.3,0,0.5530871995953862,0.6753659491253072,2.5720639253243323,0.5677194132365119,{},,
synthetic_16ch,knn__k3,nearest,0.3,0,0.6991743529429645,0.8883511163967895,1.5541451083589488,0.7050469880210266,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,0,0.6180035515334643,0.7798704471296393,2.0900902910634893,0.6570691826050555,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,0,0.5415689126812245,0.6432274345136858,2.6634627312286696,0.5460475404428123,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,0,0.5166390108274158,0.6530660847124137,2.868128038385502,0.5391469605633468,{},,
synthetic_16ch,knn__k3,tv,0.3,0,0.4971515279848385,0.6113479008600194,3.035112214513114,0.5297545081934901,{},,
synthetic_16ch,knn__k3,trss,0.3,0,0.48078081165360964,0.6151760229230006,3.1805287369835735,0.4978128679865893,{},,
synthetic_16ch,knn__k3,mean,0.3,1,0.5675001376165504,0.7108843472111253,2.4603402881935867,0.5704365680276071,{},,
synthetic_16ch,knn__k3,nearest,0.3,1,0.7008204685551683,0.8650928562704787,1.5439322240621278,0.7318856725165019,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,1,0.6011790573038848,0.7418527130979613,2.209961569197019,0.6077913031661951,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,1,0.5424596524594367,0.6604294198290305,2.6563255861387427,0.5620340334087447,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,1,0.5176433954751976,0.6481333626277486,2.8596932270671207,0.5355436913272467,{},,
synthetic_16ch,knn__k3,tv,0.3,1,0.4832875097417662,0.5849159533161828,3.157944287797814,0.5036266290930392,{},,
synthetic_16ch,knn__k3,trss,0.3,1,0.5010573599746351,0.6111889334522059,3.001125541827342,0.5010674127316391,{},,
synthetic_16ch,knn__k3,mean,0.3,2,0.5505952180656635,0.7007484666221796,2.5916756478482306,0.572806971687915,{},,
synthetic_16ch,knn__k3,nearest,0.3,2,0.6954912459703047,0.8298332189903761,1.5770833202748213,0.7119756588168016,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,2,0.6231694669977937,0.7774937872455829,2.053938336390666,0.6478451155499213,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,2,0.5498611909743998,0.6442259998170143,2.5974693160019418,0.5660043075944388,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,2,0.4860397454441028,0.5889190966889961,3.1332821526093846,0.5103222573560623,{},,
synthetic_16ch,knn__k3,tv,0.3,2,0.48513551710327457,0.619616139237974,3.1413692921283,0.49639902970752897,{},,
synthetic_16ch,knn__k3,trss,0.3,2,0.4902793853127313,0.5796224165154344,3.095563670693619,0.5122371884766774,{},,
synthetic_16ch,gaussian,mean,0.2,0,0.5628082850753618,0.6767393278727274,2.4963951795999666,0.5916193903227035,{},,
synthetic_16ch,gaussian,nearest,0.2,0,0.6908725392815205,0.8418407938057386,1.606020692571756,0.7157794962889378,{},,
synthetic_16ch,gaussian,tikhonov,0.2,0,0.6069458204395495,0.7624465927671368,2.1685007487841306,0.6095625795330002,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,0,0.5373139571511159,0.6631892011408479,2.697718781444644,0.5680088559464792,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,0,0.4880190894780112,0.5926516031710108,3.1156318969145107,0.49449076858181695,{},,
synthetic_16ch,gaussian,tv,0.2,0,0.5102812330341717,0.6371326726925426,2.9219040372173954,0.5256906381692491,{},,
synthetic_16ch,gaussian,trss,0.2,0,0.5187833675228782,0.6281974270204032,2.850139560813881,0.5259794681011457,{},,
synthetic_16ch,gaussian,mean,0.2,1,0.5529258030545107,0.6916877943797131,2.573331426292765,0.5672304727555637,{},,
synthetic_16ch,gaussian,nearest,0.2,1,0.6851679576676216,0.8720305710346515,1.6420295529947935,0.711446725872381,{},,
synthetic_16ch,gaussian,tikhonov,0.2,1,0.6241564411727154,0.768776157532182,2.0470654329321656,0.6400204729815581,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,1,0.5300404603816002,0.6458932985619544,2.7569097747427227,0.5541703762597028,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,1,0.4798059346880351,0.6025213098036951,3.189343845741911,0.48836125843944383,{},,
synthetic_16ch,gaussian,tv,0.2,1,0.48846008502944,0.604833122695068,3.1117091927227607,0.4982852650572182,{},,
synthetic_16ch,gaussian,trss,0.2,1,0.48913668746566363,0.5874102703759863,3.105697619041678,0.5109815319640422,{},,
synthetic_16ch,gaussian,mean,0.2,2,0.5579323857739068,0.6727561734041098,2.5341842877583183,0.589701779462192,{},,
synthetic_16ch,gaussian,nearest,0.2,2,0.6913454076481266,0.824766802249542,1.603049176672236,0.7267885951219445,{},,
synthetic_16ch,gaussian,tikhonov,0.2,2,0.6281673100192002,0.7686530285128481,2.0192466814006713,0.6300064305456492,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.2,2,0.5393159141503913,0.6795798752601115,2.681567643471778,0.5696627056823933,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.2,2,0.5017701598481503,0.6138740012842067,2.9949516964195855,0.5113315016322293,{},,
synthetic_16ch,gaussian,tv,0.2,2,0.5130211180781205,0.6392660130909661,2.8986475715629285,0.5252865018375723,{},,
synthetic_16ch,gaussian,trss,0.2,2,0.4964109999690643,0.6182254934496746,3.041586035363812,0.519224354259912,{},,
synthetic_16ch,gaussian,mean,0.3,0,0.5792365706310232,0.7044641742613115,2.3714402636494762,0.6054456866443838,{},,
synthetic_16ch,gaussian,nearest,0.3,0,0.7405132540418917,0.8978155684949907,1.3046716387312072,0.7616396866563487,{},,
synthetic_16ch,gaussian,tikhonov,0.3,0,0.6610259111232476,0.8125919859333293,1.79781516554107,0.7006796960562944,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.3,0,0.5803567633339395,0.6895520565727609,2.3630495003253666,0.6007046710168623,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.3,0,0.5334515112956345,0.6340702020261563,2.7290505015392603,0.548419911644739,{},,
synthetic_16ch,gaussian,tv,0.3,0,0.5389089596782867,0.6727409430325656,2.68484595942057,0.5416978075719026,{},,
synthetic_16ch,gaussian,trss,0.3,0,0.5215866684421866,0.6350728764947906,2.8267351753601244,0.5297106848725054,{},,
synthetic_16ch,gaussian,mean,0.3,1,0.6001405332142291,0.7344441007143976,2.217470401940214,0.6034335796644975,{},,
synthetic_16ch,gaussian,nearest,0.3,1,0.7321896803245801,0.9323168669059194,1.3537639647229593,0.764175436782852,{},,
synthetic_16ch,gaussian,tikhonov,0.3,1,0.6419612182475763,0.7843380690421357,1.9249120745977109,0.6523217782714683,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.3,1,0.5595382074203781,0.6793452536616611,2.521702528251162,0.5833455384938978,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.3,1,0.5237414631991129,0.632798170895322,2.808830428138092,0.5444225168791459,{},,
synthetic_16ch,gaussian,tv,0.3,1,0.5217106825723257,0.6249727742684755,2.8257027055163424,0.5575387218561021,{},,
synthetic_16ch,gaussian,trss,0.3,1,0.508359684408551,0.6111024062421704,2.9382889858364654,0.5157298574679549,{},,
synthetic_16ch,gaussian,mean,0.3,2,0.6038038200335096,0.7438837030527533,2.1910414369009863,0.6327503551043472,{},,
synthetic_16ch,gaussian,nearest,0.3,2,0.7209764590231605,0.8661109034936383,1.4207891542316986,0.7565475071097634,{},,
synthetic_16ch,gaussian,tikhonov,0.3,2,0.6544198310811278,0.8269956195329172,1.8414354858024982,0.6664773531388517,{},,
synthetic_16ch,gaussian,temporal_laplacian,0.3,2,0.559134399218439,0.6673422771022095,2.5248378813549266,0.5754244170538015,{},,
synthetic_16ch,gaussian,graph_time_tikhonov,0.3,2,0.527973878246193,0.6528842196215456,2.773875638558376,0.5461519566848368,{},,
synthetic_16ch,gaussian,tv,0.3,2,0.5078748240481977,0.6151607346243849,2.9424331512475077,0.5127894636720075,{},,
synthetic_16ch,gaussian,trss,0.3,2,0.5083212493052082,0.6121269216493254,2.938617351457331,0.5285543881283715,{},,
synthetic_16ch,kalofolias,mean,0.2,0,0.5755280031590486,0.6769754580627647,2.3993354028439016,0.5885478757509993,{},,
synthetic_16ch,kalofolias,nearest,0.2,0,0.7284369903464154,0.9034522241694871,1.376080086543376,0.7680717346624015,{},,
synthetic_16ch,kalofolias,tikhonov,0.2,0,0.6407492068211413,0.7960085223303895,1.9331192275273967,0.6509440876155627,{},,
synthetic_16ch,kalofolias,temporal_laplacian,0.2,0,0.5581407172042788,0.6983926659974792,2.5325629389160813,0.568091066281334,{},,
synthetic_16ch,kalofolias,graph_time_tikhonov,0.2,0,0.5150679397766725,0.6122491232359066,2.8813548178505983,0.5249562844531769,{},,
synthetic_16ch,kalofolias,tv,0.2,0,0.5032018959956734,0.6166932400186775,2.9825773119684613,0.5315915714737159,{},,
synthetic_16ch,kalofolias,trss,0.2,0,0.5137063400688511,0.6148843447647532,2.892850742593891,0.5217938306252171,{},,
synthetic_16ch,kalofolias,mean,0.2,1,0.5564576647487526,0.6715369284538495,2.5456787115848414,0.5711045450984604,{},,
synthetic_16ch,kalofolias,nearest,0.2,1,0.7256996680453275,0.934211887008357,1.3924307557586615,0.7586354963297225,{},,
synthetic_16ch,kalofolias,tikhonov,0.2,1,0.6283300252073024,0.7773244885670754,2.0181218670977934,0.6496776560041506,{},,
synthetic_16ch,kalofolias,temporal_laplacian,0.2,1,0.5606577003349097,0.6451284613592252,2.5130220866640434,0.5634632725752932,{},,
synthetic_16ch,kalofolias,graph_time_tikhonov,0.2,1,0.5143285869039795,0.6411307579812808,2.88759336479886,0.5167497108776251,{},,
synthetic_16ch,kalofolias,tv,0.2,1,0.5095213919213685,0.6296999838666597,2.9283757770502556,0.5175679680041153,{},,
synthetic_16ch,kalofolias,trss,0.2,1,0.5126387990766355,0.6150744220310936,2.90188527321402,0.5132449122061458,{},,
synthetic_16ch,kalofolias,mean,0.2,2,0.5704647455987595,0.691231557750307,2.4377118957105433,0.5901653911297458,{},,
synthetic_16ch,kalofolias,nearest,0.2,2,0.7249925691429727,0.8823012484657576,1.3966644473425736,0.7404485175040119,{},,
synthetic_16ch,kalofolias,tikhonov,0.2,2,0.6356009429762707,0.7820742951769563,1.9681546714508378,0.6630954718621068,{},,
synthetic_16ch,kalofolias,temporal_laplacian,0.2,2,0.5489440652161502,0.6523550101522193,2.6047190583246564,0.5841340789697813,{},,
synthetic_16ch,kalofolias,graph_time_tikhonov,0.2,2,0.5020898027628841,0.6141314191104088,2.9921859887729036,0.5180663985010434,{},,
synthetic_16ch,kalofolias,tv,0.2,2,0.5054734835859156,0.619610537928372,2.9630162194030314,0.5353664148129587,{},,
synthetic_16ch,kalofolias,trss,0.2,2,0.4867358093049332,0.5799182271998992,3.1270670140005485,0.5017414270942908,{},,
synthetic_16ch,kalofolias,mean,0.3,0,0.6152859332233251,0.7603862065188164,2.109230137156234,0.6430720154151098,{},,
synthetic_16ch,kalofolias,nearest,0.3,0,0.7396234276860358,0.9169271336933196,1.3098934094977366,0.7695235165355114,{},,
synthetic_16ch,kalofolias,tikhonov,0.3,0,0.6465688762268694,0.7801420998199798,1.8938520477830902,0.6616006235534999,{},,
synthetic_16ch,kalofolias,temporal_laplacian,0.3,0,0.5976134162067067,0.7515254908485817,2.2357966132724227,0.6244375181339629,{},,
synthetic_16ch,kalofolias,graph_time_tikhonov,0.3,0,0.5450095378802191,0.6913671928995816,2.635958973326478,0.5603474184575377,{},,
