missing_ratio,seed,method,params,mae,rmse,snr
0.1,1,gsp,{},0.01679115085936311,0.07042361384822167,16.224198196639406
0.1,1,tikhonov,{'alpha': 0.5},0.17600089700449972,0.22563562376600352,5.909757494393107
0.1,1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.020424388074024562,0.08575482498012665,14.519441773522633
0.1,7,gsp,{},0.016400252869148077,0.0684163374057203,16.32338031183533
0.1,7,tikhonov,{'alpha': 0.5},0.17588132221698985,0.2253378554089886,5.9129686075769445
0.1,7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.020252509003383344,0.08408765672578769,14.565733829572412
0.1,13,gsp,{},0.016862447313510005,0.07040092496644099,16.16609688075691
0.1,13,tikhonov,{'alpha': 0.5},0.17596965306895612,0.22568775806343058,5.909247927365295
0.1,13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.020758309574751995,0.08634368544555908,14.410948566587653
0.1,21,gsp,{},0.017233256887106103,0.07171898505017703,15.990174548429206
0.1,21,tikhonov,{'alpha': 0.5},0.17609890094986816,0.22596662098002682,5.897819834106414
0.1,21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.020904179420882085,0.08710546275370143,14.310710269650931
0.1,42,gsp,{},0.016772148415172883,0.06920091192596219,16.146137392004785
0.1,42,tikhonov,{'alpha': 0.5},0.17602310905102964,0.22568731980971324,5.906931170720458
0.1,42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.020557569602891203,0.08561385050763337,14.414562091017583
0.2,1,gsp,{},0.035129329283882606,0.10335208366971688,12.618968290683924
0.2,1,tikhonov,{'alpha': 0.5},0.18336861471833932,0.2361298801552322,5.504450379844577
0.2,1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.042405514247828964,0.12485513904908838,11.086263478469412
0.2,7,gsp,{},0.034491862098106625,0.10155791675059818,12.769488009089205
0.2,7,tikhonov,{'alpha': 0.5},0.1827686550256945,0.23523740010991281,5.540218629549072
0.2,7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.041224545245882205,0.12178996609038018,11.273973713507502
0.2,13,gsp,{},0.034492127370633216,0.10184673639344617,12.719128629886345
0.2,13,tikhonov,{'alpha': 0.5},0.18318255721568996,0.2356972176040417,5.51129373870541
0.2,13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04165921831509813,0.12293666533850867,11.136947169107573
0.2,21,gsp,{},0.03470809464496324,0.10179159827223326,12.778065921684291
0.2,21,tikhonov,{'alpha': 0.5},0.18298284926403877,0.23515762337357002,5.545363194696435
0.2,21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.041519898132511945,0.12201418549095305,11.260209967045178
0.2,42,gsp,{},0.03540853404190812,0.10419372298273769,12.553095577174414
0.2,42,tikhonov,{'alpha': 0.5},0.18329346191763934,0.2360126534322454,5.5019542558416346
0.2,42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.04239321998328674,0.1252553314291651,11.005626394524654
0.3,1,gsp,{},0.057915619592931164,0.13618309427785596,10.267358518068853
0.3,1,tikhonov,{'alpha': 0.5},0.19225390525463162,0.24849017781472885,5.059605314491603
0.3,1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.06858220153925479,0.1606803640703108,8.927691302310434
0.3,7,gsp,{},0.056404622310493834,0.13224357620096108,10.458536504510075
0.3,7,tikhonov,{'alpha': 0.5},0.19186259075169412,0.24715314620102236,5.089736903123739
0.3,7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.06707895225343949,0.15710504091250724,9.025785571200135
0.3,13,gsp,{},0.057471375679701064,0.1349823028379732,10.356674929962779
0.3,13,tikhonov,{'alpha': 0.5},0.1922979355471698,0.24839537805699372,5.075868243983342
0.3,13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.06790797197740632,0.16043435069092865,8.963384559170137
0.3,21,gsp,{},0.05696649169813643,0.13356548823561235,10.378509761711294
0.3,21,tikhonov,{'alpha': 0.5},0.19174714656972053,0.24744212051561257,5.095984464361329
0.3,21,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.06776420440293893,0.15852843092692828,8.991250622975032
0.3,42,gsp,{},0.05745283100567726,0.1348375810824891,10.29331668565769
0.3,42,tikhonov,{'alpha': 0.5},0.19228185891008853,0.24848349608556047,5.045628968818161
0.3,42,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.06826571312037918,0.16052743114482732,8.867987152375406
0.4,1,gsp,{},0.07842018845068402,0.15999175774331648,8.754242309290877
0.4,1,tikhonov,{'alpha': 0.5},0.2004106471311391,0.25885674553853427,4.667566251907976
0.4,1,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.09114582777742013,0.18623600831089884,7.515290543622246
0.4,7,gsp,{},0.07758575410791073,0.15888123047852087,8.827885095145668
0.4,7,tikhonov,{'alpha': 0.5},0.20009478965141145,0.2586420936965044,4.671894155022437
0.4,7,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.09123199535247443,0.18666400902835723,7.487286019819092
0.4,13,gsp,{},0.07924752113051041,0.1621141878403661,8.69703998478862
0.4,13,tikhonov,{'alpha': 0.5},0.20122456751757217,0.26019146523983494,4.635468094399493
0.4,13,gsmooth,"{'lam': 0.5, 'n_iter': 50}",0.09267088691536819,0.1888004713267481,7.421332256008695
0.4,21,gsp,{},0.07794632242220512,0.15909795468561833,8.792480162345143
0.4,21,tikhonov,{'alpha': 0.5},0.1999846508731861,0.2586044279558027,4.667411606051684
