dataset,graph,method,mae,rmse,snr
synthetic,aew,trss,0.07032212197235709,0.20667642963151864,11.565988759672296
synthetic,aew,gsp,0.09052932542771584,0.2691839740444217,9.449076073091783
synthetic,aew,gsmooth,0.0916603367556849,0.2634622131918125,9.22408285713014
synthetic,aew,tv,0.09234800418012705,0.2684112101037511,9.169344076297692
synthetic,nnk,trss,0.0934725091927617,0.272651069436224,9.138172720153962
synthetic,gaussian,trss,0.09468792874349209,0.2693336011391148,8.810277531240509
synthetic,gaussian,tv,0.0948046914923915,0.2690925762118744,8.809091978791422
synthetic,knn,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,nnk,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,aew,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,vknng,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,knng,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,gaussian,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,kalofolias,spherical_spline,0.09502650854362589,0.2696299241546042,8.78661791703323
synthetic,kalofolias,tv,0.0950266907224956,0.26963007478650874,8.786597350462337
synthetic,gaussian,gsmooth,0.09625809554325473,0.2734109368359202,8.670115597161454
synthetic,vknng,tv,0.0963022040020241,0.2747865523638872,8.677896409159679
synthetic,knng,tv,0.09649145070682445,0.2747575330119963,8.654031643804272
synthetic,knn,tv,0.09750471707107801,0.27867478780266586,8.56787156978013
synthetic,gaussian,gsp,0.09766696179472274,0.27802801878501665,8.535870802699199
synthetic,knn,trss,0.09852434756876008,0.28623224377462947,8.356535721534412
synthetic,vknng,gsmooth,0.09939021811506564,0.28330808273153546,8.380846318838973
synthetic,knng,trss,0.0993956390275861,0.28510752837842673,8.34550747046926
synthetic,knn,gsmooth,0.09951817453248854,0.28387976558298306,8.370781931975545
synthetic,knng,gsmooth,0.09954321837764613,0.283236991876059,8.366100120222084
synthetic,vknng,trss,0.0999743597604548,0.28787899420346574,8.284237466975279
synthetic,nnk,gsmooth,0.10404228774597282,0.2998640572877816,8.110585719059445
synthetic,kalofolias,gsmooth,0.10494796984284899,0.30434573362996087,7.713714797540503
synthetic,knng,gsp,0.1055748069007764,0.30330998796985725,7.811824330801727
synthetic,vknng,gsp,0.10573703568500298,0.30498360078442716,7.777352223242156
synthetic,knng,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,knn,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,vknng,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,kalofolias,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,nnk,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,aew,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,gaussian,nni,0.10620562533199455,0.30641808663637576,7.815298927452748
synthetic,knn,gsp,0.10626160195073105,0.3092622960186189,7.681471915865338
synthetic,nnk,tv,0.10656081131945856,0.3109567773090524,7.823687039692867
synthetic,gaussian,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,knn,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,knng,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,vknng,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,nnk,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,kalofolias,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,aew,idw,0.10845737293632038,0.3143446528905324,7.675758115953252
synthetic,nnk,gsp,0.12095112987931855,0.3531053736151222,6.851271479093665
synthetic,kalofolias,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,knng,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,nnk,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,aew,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,gaussian,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,knn,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,vknng,linear,0.12231386324476771,0.35935618750670895,6.748043958105091
synthetic,kalofolias,trss,0.12911630546847347,0.3834866960734146,5.807615625320907
synthetic,kalofolias,gsp,0.12936269045443932,0.3842751089456061,5.790841273852526
synthetic,gaussian,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,vknng,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,knn,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,knng,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,nnk,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,aew,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,kalofolias,rbfi_tps,0.14324322720552582,0.4153839953298729,5.416336747495043
synthetic,gaussian,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,kalofolias,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,vknng,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,knn,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,knng,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,nnk,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,aew,spline_surface,0.1706176039503936,0.5251507232253181,3.4544895906312645
synthetic,kalofolias,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,vknng,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,gaussian,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,nnk,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,knng,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,aew,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
synthetic,knn,rbfi_mq,0.18103277990287575,0.5305986970863354,3.1637824880506056
