dataset,graph,method,mae,rmse,snr
synthetic,knn,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,knn,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,knn,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,knn,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,knn,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,knn,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,knn,gsp,0.1171694063028827,0.3311402241369268,6.852303298774126
synthetic,knn,tikhonov,0.4643089911615868,0.5528357012445708,2.2765240869062384
synthetic,knn,bgsrp,0.527689089641959,0.6383265484818311,1.0409646386353315
synthetic,knn,gsmooth,0.10952820171410181,0.3040334030363271,7.576757626827263
synthetic,knn,graph_time_tikhonov,0.46450441068861076,0.5505825563491943,2.311431624594764
synthetic,knn,trss,0.0931308985686936,0.2644023848932457,8.819850234460723
synthetic,knn,tv,0.10863754159779315,0.3009757779392497,7.664612481447462
synthetic,knn,puy,0.4961056758802454,0.5939445697588173,1.6632673714058752
synthetic,knn,sobolev,0.5721174466481768,0.6467101312778681,0.86301023724235
synthetic,knng,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,knng,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,knng,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,knng,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,knng,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,knng,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,knng,gsp,0.11524975373673983,0.3218950613297016,7.067501085660555
synthetic,knng,tikhonov,0.48241810969712273,0.57001555297483,2.00427714313135
synthetic,knng,bgsrp,0.5283331619912247,0.635828192194292,1.0695731877729182
synthetic,knng,gsmooth,0.10931645902752311,0.3023198780272544,7.61339995816069
synthetic,knng,graph_time_tikhonov,0.4826548817034766,0.5686185884409866,2.0249844654494304
synthetic,knng,trss,0.09139090984281166,0.2561916175478961,9.0597461031425
synthetic,knng,tv,0.10718071398096332,0.29627570139794146,7.797751906335725
synthetic,knng,puy,0.5174169486742365,0.6123316780785839,1.3885441395617983
synthetic,knng,sobolev,0.5800824941916211,0.655497997345858,0.7448989453898262
synthetic,vknng,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,vknng,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,vknng,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,vknng,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,vknng,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,vknng,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,vknng,gsp,0.11616055361995718,0.32547749164782197,6.981099865554699
synthetic,vknng,tikhonov,0.48298665733656176,0.5713859101375334,1.9934284324694287
synthetic,vknng,bgsrp,0.5243915578819369,0.6327200476778583,1.1324730039157276
synthetic,vknng,gsmooth,0.10950410198378394,0.3031346042265007,7.59793003463063
synthetic,vknng,graph_time_tikhonov,0.4831888405486153,0.5699162032252216,2.0152040914311757
synthetic,vknng,trss,0.09226587964995377,0.2592425693470809,8.969171441650165
synthetic,vknng,tv,0.10729295861011509,0.29678017456072053,7.787899525364188
synthetic,vknng,puy,0.5154905479937666,0.6117070965352568,1.4143558736094308
synthetic,vknng,sobolev,0.579327025390531,0.6547576862673625,0.7562811671045058
synthetic,gaussian,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,gaussian,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,gaussian,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,gaussian,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,gaussian,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,gaussian,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,gaussian,gsp,0.10767701484625368,0.2976795695350806,7.751840807619226
synthetic,gaussian,tikhonov,0.5186099908436062,0.6089756789760061,1.431353004348403
synthetic,gaussian,bgsrp,0.5356778738442554,0.6338357169690029,1.0800894303324693
synthetic,gaussian,gsmooth,0.10633399664646066,0.293769361778195,7.875151296631279
synthetic,gaussian,graph_time_tikhonov,0.5186966182640796,0.6082349639287569,1.4413298826759848
synthetic,gaussian,trss,0.08481597270142277,0.23516153209169077,9.812667671612656
synthetic,gaussian,tv,0.10522666416070892,0.29087577796842556,7.971828124302018
