dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
synthetic_for_pilot_0044,gaussian__sigma1.0,mean,2ch,0,0.08402586888088673,0.29791622062306455,10.926335340468677,1.7879692528283933,{},,2,0.002464499993948266
synthetic_for_pilot_0044,gaussian__sigma1.0,nearest,2ch,0,0.11417533056055688,0.42138928024992817,8.525656102804533,2.6016328809197207,{},,2,0.004400700010592118
synthetic_for_pilot_0044,gaussian__sigma1.0,tv,2ch,0,0.0833713565626439,0.29581688025140956,11.0095905019166,1.7736183695042387,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1829557000019122
synthetic_for_pilot_0044,gaussian__sigma1.0,trss,2ch,0,0.0609115811558252,0.21527532484050174,13.836234253224909,1.2452220836231092,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017626400003791787
synthetic_for_pilot_0044,gaussian__sigma1.0,mean,2ch,1,0.08586332073111352,0.3003991593080227,10.763831359501676,1.870930006271792,{},,2,0.003853200003504753
synthetic_for_pilot_0044,gaussian__sigma1.0,nearest,2ch,1,0.11253504885960057,0.41789178781205905,8.726542134912261,2.6215216177461462,{},,2,0.0036096000112593174
synthetic_for_pilot_0044,gaussian__sigma1.0,tv,2ch,1,0.08517069239480486,0.29823515214936824,10.844212260567705,1.8554461625291256,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.18911880000086967
synthetic_for_pilot_0044,gaussian__sigma1.0,trss,2ch,1,0.06244739453082131,0.22008202560655518,13.538980847141225,1.3571742839893488,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017259300002478994
synthetic_for_pilot_0044,gaussian__sigma1.0,mean,2ch,2,0.08589090800904842,0.2964301501746032,10.916029183096526,1.7222806396033865,{},,2,0.0025290000048698857
synthetic_for_pilot_0044,gaussian__sigma1.0,nearest,2ch,2,0.10968791483073292,0.407178512701271,8.583908829757956,2.6110485157494496,{},,2,0.003928799997083843
synthetic_for_pilot_0044,gaussian__sigma1.0,tv,2ch,2,0.08529835833211065,0.29442428267651816,10.98305115955872,1.7067894472543865,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1901854000025196
synthetic_for_pilot_0044,gaussian__sigma1.0,trss,2ch,2,0.06332491174322383,0.2189824928531708,13.571488863744811,1.2332879666680154,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017125800004578196
synthetic_for_pilot_0044,gaussian__sigma1.0,mean,2ch,3,0.0802526028785032,0.2858219163187206,11.22184883963848,1.7926016514633274,{},,2,0.002097799995681271
synthetic_for_pilot_0044,gaussian__sigma1.0,nearest,2ch,3,0.10748421492869827,0.40202218819859803,8.818371407766357,2.3600463893937635,{},,2,0.003277600000728853
synthetic_for_pilot_0044,gaussian__sigma1.0,tv,2ch,3,0.07961698189652366,0.283844358402663,11.296754831514704,1.7736893368382347,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17849600000772625
synthetic_for_pilot_0044,gaussian__sigma1.0,trss,2ch,3,0.05780925439564666,0.20682695647800228,14.027356844084892,1.2447118753941218,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016375899998820387
synthetic_for_pilot_0044,gaussian__sigma1.0,mean,2ch,4,0.08577935178118049,0.30263074730863,10.70898700784534,1.6198699127320015,{},,2,0.002041899992036633
synthetic_for_pilot_0044,gaussian__sigma1.0,nearest,2ch,4,0.11706827099386471,0.42895220828254815,8.152621983517552,2.534992781414286,{},,2,0.00458480000088457
synthetic_for_pilot_0044,gaussian__sigma1.0,tv,2ch,4,0.08501896848211628,0.3001521231204127,10.78721003074881,1.6064972364167796,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.17631499998969957
synthetic_for_pilot_0044,gaussian__sigma1.0,trss,2ch,4,0.06247951973580251,0.22096967754636496,13.418114007003773,1.2165718059394248,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01607319999311585
