dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,mean,0.2,0,0.09856511422972168,0.2701935419826818,11.627553078624045,1.8131631437838251,{},,5,0.00346550001995638
physionet_eegmmidb_real,knn__k3,nearest,0.2,0,0.10944245108529918,0.31014349466572905,10.536861724910162,2.0385984979959844,{},,5,0.006346699985442683
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,0,0.11602018197571964,0.19541492775901106,15.215538975799811,1.4367124397439213,"{""alpha"": 0.1}",,5,0.009347300016088411
physionet_eegmmidb_real,knn__k3,trss,0.2,0,0.048933348994244424,0.14427635952198298,17.732970978240484,1.0755455654796047,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0278585999913048
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,0,0.21087951221663312,0.2844398438689587,12.212300415732244,2.0565176811542845,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01127200000337325
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,0,0.5639663621677778,0.7118441510066045,2.854103178846625,4.9343547714484,"{""alpha"": 0.5, ""beta"": 0.5}",,5,3.0853298000001814
physionet_eegmmidb_real,knn__k3,mean,0.2,1,0.09981371946951147,0.27391547580724696,11.537150994947588,1.7886564318225477,{},,5,0.002084200008539483
physionet_eegmmidb_real,knn__k3,nearest,0.2,1,0.11252988761218348,0.3172347719015498,10.358075574622756,2.02741993863034,{},,5,0.004985000006854534
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,1,0.11436356880415038,0.1953441926988377,15.469394686776688,1.3932890518752172,"{""alpha"": 0.1}",,5,0.00784069998189807
physionet_eegmmidb_real,knn__k3,trss,0.2,1,0.0479356245347331,0.14776739578563924,17.90651531297131,1.012587242233108,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01934389999951236
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,1,0.21011132816702077,0.284854309376937,12.306798617598234,2.0145145078166413,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008223999990150332
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,1,0.567223354430757,0.7174000862812759,2.8031362213599977,4.986512442326881,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.7863849000132177
bci_iv2a_real_s1,knn__k3,mean,0.2,0,0.08582795385660906,0.25643429366491677,13.06290265782084,1.4986552592005042,{},,5,0.0023979000106919557
bci_iv2a_real_s1,knn__k3,nearest,0.2,0,0.07990102699959999,0.2756656637958177,13.796045852192565,1.6767239631169604,{},,5,0.012541300005977973
bci_iv2a_real_s1,knn__k3,tikhonov,0.2,0,0.16862270670535892,0.28360631952411736,12.13798234675946,1.744864035919095,"{""alpha"": 0.1}",,5,0.007408399978885427
bci_iv2a_real_s1,knn__k3,trss,0.2,0,0.06256346838282037,0.18505316841193528,15.765287463529708,1.2230709041310515,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.021885599999222904
bci_iv2a_real_s1,knn__k3,graph_time_tikhonov,0.2,0,0.2874982360117849,0.39405445658358407,8.913535172571542,2.4603302483550973,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.011662000004434958
bci_iv2a_real_s1,knn__k3,temporal_laplacian,0.2,0,0.47132359121998585,0.701804010527822,2.8937947933965664,5.58301561541096,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.7821254000009503
bci_iv2a_real_s1,knn__k3,mean,0.2,1,0.08893318856435169,0.2605370903972339,12.790879177346325,1.548621715746999,{},,5,0.0030298999918159097
bci_iv2a_real_s1,knn__k3,nearest,0.2,1,0.08213780956059882,0.2793095089355918,13.769876902923217,1.6572266592633642,{},,5,0.0055225999967660755
bci_iv2a_real_s1,knn__k3,tikhonov,0.2,1,0.1685821055309867,0.285310031500368,12.01137343926194,1.7395776271932941,"{""alpha"": 0.1}",,5,0.006992200011154637
bci_iv2a_real_s1,knn__k3,trss,0.2,1,0.06463615094470095,0.19019630706149324,15.572132419287604,1.206145956684776,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0413119999866467
bci_iv2a_real_s1,knn__k3,graph_time_tikhonov,0.2,1,0.28308634622982026,0.3903392681423861,8.99150493066405,2.4448929820277865,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008039799984544516
bci_iv2a_real_s1,knn__k3,temporal_laplacian,0.2,1,0.4685091595220741,0.6999008800936098,2.9243799407454767,5.535666581821808,"{""alpha"": 0.5, ""beta"": 0.5}",,5,3.0567478999728337
iv100hz_mat,knn__k3,mean,0.2,0,0.021336614388687353,0.06919419489724978,9.926527953920857,0.33370757734265916,{},,5,0.0026464999828021973
iv100hz_mat,knn__k3,nearest,0.2,0,0.032156978857052564,0.08743746977572084,5.736602926256908,0.5205778148067491,{},,5,0.005487399990670383
iv100hz_mat,knn__k3,tikhonov,0.2,0,0.044294417299600174,0.08034461819530317,9.557826735533345,0.4018086672463818,"{""alpha"": 0.1}",,5,0.005729899974539876
iv100hz_mat,knn__k3,trss,0.2,0,0.017424433467740957,0.05387159716020685,11.020434033524312,0.3001737165487851,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019344500004081056
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,0,0.06956669146240263,0.10357824941979338,11.204852740447373,0.4539027417139349,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.007955200009746477
iv100hz_mat,knn__k3,temporal_laplacian,0.2,0,0.08284221358762185,0.11985799438824678,5.643566636565129,0.6393098039267845,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.5466631000163034
iv100hz_mat,knn__k3,mean,0.2,1,0.021439353971047556,0.07078939938173995,9.852037263173983,0.3554650019831905,{},,5,0.001953200000571087
iv100hz_mat,knn__k3,nearest,0.2,1,0.03222012452523185,0.08722440833206617,5.750107114619751,0.5444034751933148,{},,5,0.005059499992057681
iv100hz_mat,knn__k3,tikhonov,0.2,1,0.04472410748227941,0.08167558281253307,9.342494233350623,0.41684357243336234,"{""alpha"": 0.1}",,5,0.006225799996173009
iv100hz_mat,knn__k3,trss,0.2,1,0.018030960784652716,0.054536810625716095,10.7081041436577,0.31652452347565896,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02058519999263808
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,1,0.0697667226599313,0.10393845348531051,11.0968134001603,0.4562766361089204,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008072500000707805
iv100hz_mat,knn__k3,temporal_laplacian,0.2,1,0.0826531112006697,0.11988348697424532,5.733310625834139,0.6380143336453059,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.8673277999914717
iris_graph_signal,knn__k3,mean,0.2,0,0.12881122246061055,0.3735025940980658,10.310363771115195,2.1235230728262318,{},,1,0.000978600000962615
iris_graph_signal,knn__k3,nearest,0.2,0,0.16484293168687145,0.5024687927298999,8.955373016584545,2.8294872575861505,{},,1,0.001441000000340864
iris_graph_signal,knn__k3,tikhonov,0.2,0,0.2676315301374095,0.4396310041406591,8.596121186467625,2.7013374157865924,"{""alpha"": 0.1}",,1,0.0027974999975413084
iris_graph_signal,knn__k3,trss,0.2,0,0.11222761641678246,0.32737233360087276,10.964289538576523,1.8945027390013518,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.003607099992223084
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.41809109931621335,0.5756935525656822,6.495651225894889,3.4690279700336726,"{""alpha"": 0.5, ""beta"": 0.1}",,1,0.002535899984650314
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.6121415124998888,0.7362439158719328,2.6744957519458255,4.9098590420709645,"{""alpha"": 0.5, ""beta"": 0.5}",,1,0.033342900016577914
iris_graph_signal,knn__k3,mean,0.2,1,0.13929958652707075,0.41731841108524814,9.85809580552792,2.501931819673666,{},,1,0.0009174000006169081
iris_graph_signal,knn__k3,nearest,0.2,1,0.15345774724693173,0.46817202083429754,8.654489991763768,2.954525316107278,{},,1,0.0010016000014729798
iris_graph_signal,knn__k3,tikhonov,0.2,1,0.27086175027686576,0.47195092767940217,8.34102764642342,2.9001636847701033,"{""alpha"": 0.1}",,1,0.003010899992659688
iris_graph_signal,knn__k3,trss,0.2,1,0.11999871342259431,0.3500220308054389,10.457668875649876,2.273303646284334,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.002900199993746355
