missing_ratio,seed,method,params,mae,rmse,snr
0.1,1,puy,{'alpha': 0.5},0.14331034570583634,0.17985037352684077,6.52022943339652
0.1,1,gsp,{},0.008989107457285542,0.03967396878234638,20.066373232516327
0.1,7,puy,{'alpha': 0.5},0.14348042619523613,0.1799655249308422,6.519144191544714
0.1,7,gsp,{},0.009162508086407645,0.03961661384470772,20.038388786923807
0.1,13,puy,{'alpha': 0.5},0.14340173110797436,0.17993219210804054,6.519354252806033
0.1,13,gsp,{},0.009103843318801168,0.039574740968436745,19.97111188344801
0.1,21,puy,{'alpha': 0.5},0.14322034798129982,0.17961169325109755,6.535583167649212
0.1,21,gsp,{},0.008834412543930102,0.03864701953662917,20.191787843691742
0.1,42,puy,{'alpha': 0.5},0.14334059822477102,0.17971922724133077,6.533654781688824
0.1,42,gsp,{},0.009065297017952556,0.03950602098323027,20.204302883115435
0.1,77,puy,{'alpha': 0.5},0.14335913693748534,0.17967155221046224,6.530012446051703
0.1,77,gsp,{},0.009114951242546401,0.039611473206738364,19.966504621235426
0.1,101,puy,{'alpha': 0.5},0.14329824989840476,0.17974257358394086,6.527464581968585
0.1,101,gsp,{},0.008820605119572462,0.038659077952340415,20.24170844600618
0.2,1,puy,{'alpha': 0.5},0.14739361535896459,0.18549143246331207,6.239466753772227
0.2,1,gsp,{},0.021756902593830042,0.06303692084625617,15.7339625533286
0.2,7,puy,{'alpha': 0.5},0.14716509343684211,0.1850222785777863,6.264722251340989
0.2,7,gsp,{},0.02109822730439606,0.06200758617511251,15.928319648580981
0.2,13,puy,{'alpha': 0.5},0.147590941203348,0.1859640168036907,6.225832060865354
0.2,13,gsp,{},0.02192855882021908,0.06441285314243447,15.638440097876398
0.2,21,puy,{'alpha': 0.5},0.14734487869895438,0.1858775131924753,6.224491854378203
0.2,21,gsp,{},0.022073292186274438,0.06392760806307167,15.65798105842729
0.2,42,puy,{'alpha': 0.5},0.14722170428468237,0.1852816596331165,6.250942631250772
0.2,42,gsp,{},0.021683183396704685,0.06306798269334878,15.818896165805143
0.2,77,puy,{'alpha': 0.5},0.14745532587909244,0.185451879972225,6.23918883939254
0.2,77,gsp,{},0.021712892425975575,0.06363608294074909,15.705696476005167
0.2,101,puy,{'alpha': 0.5},0.14750172175001125,0.18550838933650196,6.240867742738328
0.2,101,gsp,{},0.02141347334806133,0.06209795360111708,15.914959218184938
0.3,1,puy,{'alpha': 0.5},0.15181230273740967,0.19223981227835124,5.9380573291697685
0.3,1,gsp,{},0.03586410530336356,0.08499676515876399,13.187546679789165
0.3,7,puy,{'alpha': 0.5},0.1516597507651873,0.19232648868299232,5.921048825850504
0.3,7,gsp,{},0.03620171469912814,0.085849661645021,13.077254560395263
0.3,13,puy,{'alpha': 0.5},0.1517958122991021,0.1922544842768585,5.917242957587644
0.3,13,gsp,{},0.03568320706491132,0.08424744805694777,13.170132874608882
0.3,21,puy,{'alpha': 0.5},0.15212874511103489,0.19261707191690194,5.915814833076222
0.3,21,gsp,{},0.03637109173581978,0.08587192493104602,13.076158983726318
0.3,42,puy,{'alpha': 0.5},0.15212815440276517,0.19277012771285823,5.899503325382356
0.3,42,gsp,{},0.0366561282475918,0.08683453065130123,12.952357710066863
0.3,77,puy,{'alpha': 0.5},0.1521456105281781,0.19256782872798803,5.911245940326523
0.3,77,gsp,{},0.036061306829461126,0.08517371408472736,13.134402827775217
0.3,101,puy,{'alpha': 0.5},0.15169681355830753,0.19154401941996593,5.953993868225216
0.3,101,gsp,{},0.03506388523522633,0.08274987993605981,13.362672818078478
0.4,1,puy,{'alpha': 0.5},0.1574342143042459,0.2004786675972258,5.556205348494774
0.4,1,gsp,{},0.05288585630128479,0.10791944584720416,11.035932816965206
0.4,7,puy,{'alpha': 0.5},0.15717983513392023,0.20011670781657273,5.568217281021464
0.4,7,gsp,{},0.05275347020890577,0.1080746987313448,11.059487898389294
0.4,13,puy,{'alpha': 0.5},0.1571825265556987,0.19969437847770538,5.590153554984596
0.4,13,gsp,{},0.05224518755825518,0.10644585522206203,11.162106157106692
0.4,21,puy,{'alpha': 0.5},0.15744280343691874,0.2006420691274983,5.550905880253626
0.4,21,gsp,{},0.05327445845374243,0.10966579859296251,10.899771297256164
0.4,42,puy,{'alpha': 0.5},0.15697646999641848,0.19966705662909337,5.574538520863665
0.4,42,gsp,{},0.05243317814162552,0.10692831973350207,11.067326504131513
0.4,77,puy,{'alpha': 0.5},0.15760680446958447,0.2006941105922482,5.531731391624014
0.4,77,gsp,{},0.0534183504101169,0.10945203793845786,10.871002292925738
0.4,101,puy,{'alpha': 0.5},0.15722860113096446,0.19966717639252918,5.5898267840628355
0.4,101,gsp,{},0.05252174136657433,0.10759333382410288,11.089409120103491
0.5,1,puy,{'alpha': 0.5},0.1636099693381987,0.2095306314767145,5.158203298761333
0.5,1,gsp,{},0.07204146420924791,0.13195386734423606,9.230526572525468
0.5,7,puy,{'alpha': 0.5},0.16365375050117179,0.20957258681793647,5.139743856486482
0.5,7,gsp,{},0.07180719995331801,0.1312542547033677,9.274126498291272
0.5,13,puy,{'alpha': 0.5},0.1628278559768426,0.20833920288476346,5.197065861720657
0.5,13,gsp,{},0.07098475655013788,0.13003529998647648,9.36444955554778
0.5,21,puy,{'alpha': 0.5},0.1634465137115353,0.2093743957100305,5.158113315521603
0.5,21,gsp,{},0.07220457594550383,0.13196370780457556,9.258304699776586
