dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k3,trss,0.4,0,4.257554331019218e-06,1.3813731984878323e-05,12.261604166509352,5.769833440914663e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02062350000051083
bci_iv2a_real_s1,knn__k3,trss,0.4,1,4.24852887154627e-06,1.430809178060941e-05,12.295356762292409,5.915614771948648e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020898599999782164
bci_iv2a_real_s1,knn__k3,trss,0.4,2,4.168706296947974e-06,1.4360318493920978e-05,12.558454063006002,5.545467673464922e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02084820000163745
bci_iv2a_real_s1,knn__k3,trss,0.4,3,4.1422654607568745e-06,1.360713700196327e-05,12.55612847714587,5.672394934866408e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02076179999858141
bci_iv2a_real_s1,knn__k3,trss,0.4,4,4.3225961880540314e-06,1.4420279243050193e-05,12.466116947187539,6.161083257822323e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021145400001842063
bci_iv2a_real_s1,knn__k3,trss,0.4,5,4.227658830390683e-06,1.4706992075305127e-05,12.293583621278367,5.784378178365038e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020501799997873604
bci_iv2a_real_s2,knn__k3,trss,0.4,0,1.364681879511572e-06,3.327516872616978e-06,19.61713941128656,2.4009764902329294e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02063780000025872
bci_iv2a_real_s2,knn__k3,trss,0.4,1,1.4241623407734735e-06,3.6184270407522633e-06,19.157641844398313,2.525909519872866e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.022151299999677576
bci_iv2a_real_s2,knn__k3,trss,0.4,2,1.406891283868602e-06,3.6733143337176223e-06,19.54439451912368,2.582013278345617e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021196199995756615
bci_iv2a_real_s2,knn__k3,trss,0.4,3,1.4434575265249827e-06,3.802740649733245e-06,19.4441413055057,2.656769841216364e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020642100003897212
bci_iv2a_real_s2,knn__k3,trss,0.4,4,1.4282077612409271e-06,3.5423046159057208e-06,19.365405382209467,2.6028817429365477e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.023935400000482332
bci_iv2a_real_s2,knn__k3,trss,0.4,5,1.3699607900618096e-06,3.3545967943230097e-06,19.42438647899769,2.5443137547942413e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020653899999160785
bci_iv2a_real_s3,knn__k3,trss,0.4,0,1.2547227817974214e-06,2.6711994003483003e-06,10.972548669527816,1.960071149288725e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021541699999943376
bci_iv2a_real_s3,knn__k3,trss,0.4,1,1.2036282296307901e-06,2.530281826347198e-06,11.343290762845818,1.963719036763311e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020445699999982025
bci_iv2a_real_s3,knn__k3,trss,0.4,2,1.2672424453324048e-06,2.685222850808976e-06,10.981859355139449,1.9374595364892617e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021139200005563907
bci_iv2a_real_s3,knn__k3,trss,0.4,3,1.231944894885596e-06,2.604803773292931e-06,11.221233644637683,1.8918289750603713e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020343900003354065
bci_iv2a_real_s3,knn__k3,trss,0.4,4,1.2000233992208488e-06,2.511566898863644e-06,11.534413120715762,1.8571756340780962e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.019802800001343712
bci_iv2a_real_s3,knn__k3,trss,0.4,5,1.24068343676791e-06,2.5995336478525463e-06,11.128779679516079,1.9755686112223873e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020223999999871012
