dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,0,3.3337826035618974e-06,1.2033103605674946e-05,13.597476343868008,5.156223882414961e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.018295100002433173
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,1,3.3022899330617317e-06,1.2472281236840182e-05,13.504749695668925,4.946486153730272e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.017353899995214306
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,2,3.388698246073396e-06,1.2510591182711155e-05,13.594722519820877,5.0928311218454705e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.017435200003092177
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,3,3.17799041302614e-06,1.2250849335827007e-05,13.932276113624942,5.139850995067307e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01855500000237953
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,4,3.176854859928177e-06,1.1610466261708444e-05,13.758514502589675,4.863465623004297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01846359999763081
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.3,5,3.16289202481054e-06,1.1563439985058382e-05,13.455180710259521,4.975689584696911e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01829419999558013
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.3,0,9.606811781661365e-07,2.804515234189027e-06,21.857855677256932,1.91149458051709e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.018461200001183897
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.3,1,9.537722316831929e-07,2.8838380819882234e-06,21.980468678821968,1.9510332998209093e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01850840000406606
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.3,2,9.502355465920815e-07,2.7734526035094987e-06,21.880058282002818,1.9004033181872505e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01762050000252202
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.3,3,9.262515410326705e-07,2.711637485294692e-06,21.913687981260683,1.9057316908565613e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01843179999559652
