dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k5,trss,0.2,0,1.6604603941250978e-06,7.4701421170888665e-06,16.858305524010685,3.487867981635048e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01990720000321744
bci_iv2a_real_s1,knn__k5,trss,0.2,1,1.7425989638790146e-06,8.878656464296643e-06,16.67952941242957,3.873441837106092e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02032659999531461
bci_iv2a_real_s1,knn__k5,trss,0.2,2,1.6476895686136222e-06,7.750757384058028e-06,16.809849562266,3.55068105421367e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019807899996521883
bci_iv2a_real_s1,knn__k5,trss,0.2,3,1.6753285210120574e-06,8.478550767368516e-06,16.690311519631894,3.256170761506089e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020020199997816235
bci_iv2a_real_s1,knn__k5,trss,0.2,4,1.6139861120450407e-06,7.653421078142744e-06,16.989981372683616,3.8140567911705744e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02036719999887282
bci_iv2a_real_s1,knn__k5,trss,0.2,5,1.5172769182285742e-06,7.327905331797878e-06,16.91249239713274,3.404179235868171e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019673700000566896
bci_iv2a_real_s2,knn__k5,trss,0.2,0,5.874032436605215e-07,2.1822024571389193e-06,23.65522435669867,1.573781145280336e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020289200001570862
bci_iv2a_real_s2,knn__k5,trss,0.2,1,5.758164638534964e-07,2.2285010106300604e-06,23.88633181076067,1.4924371846084326e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01945700000214856
bci_iv2a_real_s2,knn__k5,trss,0.2,2,5.575877815171575e-07,2.0649300183355574e-06,23.794005817455325,1.570638688112953e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018232700000226032
bci_iv2a_real_s2,knn__k5,trss,0.2,3,5.531401225138557e-07,1.9796575192413765e-06,23.914952328720393,1.4597740468891699e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02074630000424804
bci_iv2a_real_s2,knn__k5,trss,0.2,4,5.64407051853925e-07,2.0581594374770754e-06,23.746659660942743,1.6240436598278408e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020496099998126738
bci_iv2a_real_s2,knn__k5,trss,0.2,5,5.431779869708918e-07,2.0187005267119586e-06,23.984821987273715,1.5119788087328823e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02017369999521179
