dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,0,5.646227050130912e-06,2.02399571044371e-05,8.96074652061708,7.925421808936995e-05,{},,7,0.043685299999197014
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,1,5.682647673039121e-06,2.1354244033469172e-05,8.817705034756495,7.79604544421314e-05,{},,7,0.04321189999609487
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,2,5.731525565551576e-06,2.0733698067005184e-05,8.847173629889099,7.786587309923188e-05,{},,7,0.04472939999686787
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,3,5.494981586008671e-06,2.06089770759478e-05,8.841537199748727,8.007088190696562e-05,{},,7,0.04883980000158772
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,4,5.487278741947779e-06,2.025091859676743e-05,8.953465058562239,7.837598699547917e-05,{},,7,0.04159790000267094
bci_iv2a_real_s1,kalofolias,heat_diffusion_temporal,0.3,5,5.547550382743845e-06,2.0562429661172168e-05,8.75128462410038,8.229411848356227e-05,{},,7,0.043391899998823646
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,0,1.8499507132918233e-06,5.037453467878247e-06,15.588772841220907,3.593846727291013e-05,{},,7,0.042877100000623614
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,1,1.8502463299706408e-06,5.132512730558716e-06,15.547671967322243,3.580281916895644e-05,{},,7,0.04040769999846816
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,2,1.8313128356590488e-06,4.95254570300368e-06,15.576463439025211,3.551344827068176e-05,{},,7,0.043225399997027125
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,3,1.8142403866726936e-06,4.9037863473391165e-06,15.520357333193644,3.7511509382823886e-05,{},,7,0.04448719999345485
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,4,1.8845552683502918e-06,5.169228452977239e-06,15.348205577192344,3.770488063782035e-05,{},,7,0.04347799999959534
bci_iv2a_real_s2,kalofolias,heat_diffusion_temporal,0.3,5,1.803669781990302e-06,4.786005693828031e-06,15.61287277085831,3.520627272366969e-05,{},,7,0.043625299993436784
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,0,1.4512890991044838e-06,3.3509822957902623e-06,8.499296145830726,2.3194739096890567e-05,{},,7,0.04366749999462627
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,1,1.4525964781409291e-06,3.345265932136296e-06,8.526130584156148,2.304683404401327e-05,{},,7,0.04581799999868963
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,2,1.4329898553705193e-06,3.300582650439542e-06,8.64931795681619,2.3160521117743943e-05,{},,7,0.04271539999899687
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,3,1.4472877777958096e-06,3.369678332633496e-06,8.46611087837812,2.3265762197172678e-05,{},,7,0.04497120000451105
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,4,1.4248619560250243e-06,3.300342908952066e-06,8.621658101055251,2.279022996836167e-05,{},,7,0.04604520000430057
bci_iv2a_real_s3,kalofolias,heat_diffusion_temporal,0.3,5,1.4416813390771423e-06,3.353163289200655e-06,8.45810111310027,2.3207450361623157e-05,{},,7,0.04520159999810858
