dataset,graph,missing_ratio,best_method,n_current,target_n,additional_needed
bci_competition_iv_2a_proxy,gaussian__sigma1,0.1,directed_tv,10,200,190
bci_competition_iv_2a_proxy,gaussian__sigma1,0.3,directed_tv,10,200,190
bci_competition_iv_2a_proxy,knn__k3,0.1,directed_tv,13,200,187
mne_sample_proxy,knn__k3,0.1,directed_tv,4,200,196
mne_sample_proxy,knn__k3,0.2,directed_tv,4,200,196
mne_sample_proxy,knn__k3,0.4,directed_tv,5,200,195
synthetic_alpha,gaussian__sigma1,0.3,directed_tv,18,200,182
synthetic_alpha,kalofolias,0.3,directed_tv,18,200,182
synthetic_alpha,knn__k5,0.3,directed_tv,19,200,181
synthetic_alpha,knng__k4_sigma1,0.3,directed_tv,17,200,183
synthetic_alpha,vknng__alpha1_k4_k_max8_k_min2,0.3,directed_tv,17,200,183
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,0.4,directed_tv,15,200,185
synthetic_beta,gaussian__sigma1,0.3,directed_tv,17,200,183
synthetic_beta,gaussian__sigma1,0.4,directed_tv,17,200,183
synthetic_beta,kalofolias,0.3,directed_tv,18,200,182
synthetic_beta,kalofolias,0.4,directed_tv,18,200,182
synthetic_beta,knn__k5,0.4,directed_tv,18,200,182
synthetic_beta,vknng__alpha1_k4_k_max8_k_min2,0.4,directed_tv,16,200,184
synthetic_broad,gaussian__sigma1,0.1,directed_tv,19,200,181
synthetic_broad,gaussian__sigma1,0.2,directed_tv,19,200,181
synthetic_broad,kalofolias,0.1,directed_tv,19,200,181
synthetic_broad,kalofolias,0.2,directed_tv,19,200,181
synthetic_broad,knn__k5,0.1,directed_tv,18,200,182
synthetic_broad,knn__k5,0.2,directed_tv,18,200,182
synthetic_broad,knn__k5,0.3,directed_tv,19,200,181
synthetic_broad,knng__k4_sigma1,0.1,directed_tv,17,200,183
synthetic_broad,vknng__alpha1_k4_k_max8_k_min2,0.1,directed_tv,17,200,183
synthetic_16ch,kalofolias,0.4,graph_time_tikhonov,3,200,197
synthetic_beta,knng__k4_sigma1,0.2,gsmooth,16,200,184
synthetic_beta,nnk__k4,0.1,gsmooth,18,200,182
synthetic_beta,vknng__alpha1_k4_k_max8_k_min2,0.2,gsmooth,16,200,184
physionet_eegmmidb,knng__k4_sigma1,0.1,gsp,5,200,195
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.1,gsp,5,200,195
bci_competition_iv_2a_proxy,kalofolias,0.1,heat_diffusion_temporal,1,200,199
bci_competition_iv_2a_proxy,kalofolias,0.3,heat_diffusion_temporal,1,200,199
bci_competition_iv_2a_proxy,kalofolias,0.4,heat_diffusion_temporal,1,200,199
mne_sample_proxy,kalofolias,0.1,heat_diffusion_temporal,1,200,199
mne_sample_proxy,kalofolias,0.2,heat_diffusion_temporal,1,200,199
mne_sample_proxy,kalofolias,0.3,heat_diffusion_temporal,1,200,199
mne_sample_proxy,knn__k3,0.3,heat_diffusion_temporal,6,200,194
synthetic_beta,gaussian__sigma1,0.2,heat_diffusion_temporal,17,200,183
synthetic_beta,knn__k3,0.1,heat_diffusion_temporal,19,200,181
synthetic_beta,knn__k3,0.3,heat_diffusion_temporal,19,200,181
synthetic_beta,knn__k3,0.4,heat_diffusion_temporal,19,200,181
synthetic_beta,knng__k4_sigma1,0.1,heat_diffusion_temporal,16,200,184
synthetic_beta,knng__k4_sigma1,0.3,heat_diffusion_temporal,16,200,184
synthetic_beta,knng__k4_sigma1,0.4,heat_diffusion_temporal,16,200,184
synthetic_beta,nnk__k4,0.3,heat_diffusion_temporal,18,200,182
synthetic_beta,nnk__k4,0.4,heat_diffusion_temporal,18,200,182
synthetic_broad,aew__k4_sigma_corr0_5_sigma_dist1,0.2,heat_diffusion_temporal,15,200,185
synthetic_broad,aew__k4_sigma_corr0_5_sigma_dist1,0.3,heat_diffusion_temporal,16,200,184
synthetic_broad,knn__k5,0.4,heat_diffusion_temporal,19,200,181
synthetic_broad,knng__k4_sigma1,0.2,heat_diffusion_temporal,17,200,183
synthetic_broad,knng__k4_sigma1,0.3,heat_diffusion_temporal,18,200,182
synthetic_broad,knng__k4_sigma1,0.4,heat_diffusion_temporal,18,200,182
synthetic_broad,nnk__k4,0.1,heat_diffusion_temporal,19,200,181
synthetic_broad,nnk__k4,0.2,heat_diffusion_temporal,19,200,181
synthetic_broad,vknng__alpha1_k4_k_max8_k_min2,0.2,heat_diffusion_temporal,17,200,183
synthetic_broad,vknng__alpha1_k4_k_max8_k_min2,0.3,heat_diffusion_temporal,18,200,182
synthetic_broad,vknng__alpha1_k4_k_max8_k_min2,0.4,heat_diffusion_temporal,18,200,182
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.2,linear,6,200,194
physionet_eegmmidb,knn__k5,0.2,linear,6,200,194
physionet_eegmmidb,knng__k4_sigma1,0.2,linear,6,200,194
physionet_eegmmidb,nnk__k4,0.2,linear,7,200,193
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.2,linear,6,200,194
movielens_graph_signal,gaussian__sigma1.0,0.1,mean,10,200,190
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.1,mean,16,200,184
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.2,mean,16,200,184
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.4,mean,15,200,185
synthetic_alpha,gaussian__sigma1,0.1,mean,18,200,182
synthetic_alpha,gaussian__sigma1,0.4,mean,17,200,183
synthetic_alpha,kalofolias,0.1,mean,18,200,182
synthetic_alpha,kalofolias,0.2,mean,18,200,182
synthetic_alpha,kalofolias,0.4,mean,17,200,183
synthetic_alpha,knn__k5,0.1,mean,19,200,181
synthetic_alpha,knn__k5,0.2,mean,19,200,181
synthetic_alpha,knn__k5,0.4,mean,18,200,182
synthetic_alpha,knng__k4_sigma1,0.1,mean,17,200,183
synthetic_alpha,knng__k4_sigma1,0.2,mean,17,200,183
synthetic_alpha,nnk__k4,0.1,mean,18,200,182
synthetic_alpha,nnk__k4,0.2,mean,18,200,182
synthetic_alpha,vknng__alpha1_k4_k_max8_k_min2,0.1,mean,17,200,183
synthetic_alpha,vknng__alpha1_k4_k_max8_k_min2,0.2,mean,17,200,183
synthetic_alpha,vknng__alpha1_k4_k_max8_k_min2,0.4,mean,16,200,184
synthetic_beta,kalofolias,0.2,mean,18,200,182
synthetic_beta,knn__k3,0.2,mean,19,200,181
synthetic_beta,knn__k5,0.1,mean,18,200,182
synthetic_beta,knn__k5,0.2,mean,18,200,182
synthetic_beta,nnk__k4,0.2,mean,18,200,182
bci_iv2a_real_s3,knn__k3,0.1,nearest,6,200,194
bci_iv2a_real_s3,knn__k3,0.2,nearest,11,200,189
bci_iv2a_real_s3,knn__k3,0.3,nearest,11,200,189
physionet_eegmmidb,knn__k5,0.3,nearest,6,200,194
physionet_eegmmidb,knng__k4_sigma1,0.3,nearest,6,200,194
physionet_eegmmidb,nnk__k4,0.3,nearest,7,200,193
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.3,nearest,6,200,194
physionet_eegmmidb,gaussian,0.4,rbfi_tps,4,200,196
synthetic,gaussian,0.1,spherical_spline,15,200,185
synthetic,gaussian,0.2,spherical_spline,15,200,185
synthetic,gaussian,0.3,spherical_spline,15,200,185
synthetic,gaussian,0.4,spherical_spline,15,200,185
synthetic,nnk,0.1,spherical_spline,10,200,190
synthetic,nnk,0.2,spherical_spline,10,200,190
synthetic,nnk,0.3,spherical_spline,10,200,190
synthetic,nnk,0.4,spherical_spline,10,200,190
mne_sample_proxy,gaussian__sigma1,0.1,temporal_laplacian,1,200,199
mne_sample_proxy,gaussian__sigma1,0.3,temporal_laplacian,1,200,199
bci_competition_iv_2a_proxy,gaussian__sigma1,0.2,trss,10,200,190
bci_competition_iv_2a_proxy,gaussian__sigma1,0.4,trss,10,200,190
bci_competition_iv_2a_proxy,kalofolias,0.2,trss,1,200,199
bci_competition_iv_2a_proxy,knn__k3,0.2,trss,13,200,187
bci_competition_iv_2a_proxy,knn__k3,0.3,trss,14,200,186
bci_competition_proxy,gaussian,0.1,trss,19,200,181
bci_competition_proxy,gaussian,0.4,trss,13,200,187
bci_competition_proxy,kalofolias,0.1,trss,9,200,191
bci_competition_proxy,kalofolias,0.2,trss,16,200,184
bci_competition_proxy,kalofolias,0.3,trss,16,200,184
bci_competition_proxy,kalofolias,0.4,trss,3,200,197
bci_competition_proxy,knn__k3,0.4,trss,16,200,184
bci_iv2a_real_s1,gaussian__sigma1.0,0.1,trss,10,200,190
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,trss,12,200,188
bci_iv2a_real_s1,gaussian__sigma1.0,0.3,trss,10,200,190
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,trss,2,200,198
bci_iv2a_real_s1,knn__k3,0.4,trss,2,200,198
bci_iv2a_real_s2,gaussian__sigma1.0,0.1,trss,4,200,196
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,trss,6,200,194
bci_iv2a_real_s2,gaussian__sigma1.0,0.3,trss,4,200,196
bci_iv2a_real_s2,gaussian__sigma1.0,0.4,trss,2,200,198
bci_iv2a_real_s2,knn__k3,0.1,trss,10,200,190
bci_iv2a_real_s2,knn__k3,0.3,trss,15,200,185
bci_iv2a_real_s2,knn__k3,0.4,trss,2,200,198
iris_graph_signal,gaussian__sigma1.0,0.1,trss,10,200,190
iris_graph_signal,gaussian__sigma1.0,0.2,trss,17,200,183
iris_graph_signal,gaussian__sigma1.0,0.3,trss,15,200,185
iris_graph_signal,gaussian__sigma1.0,0.4,trss,2,200,198
iris_graph_signal,knn__k3,0.4,trss,2,200,198
iris_graph_signal,knn__k5,0.2,trss,5,200,195
iris_graph_signal,knn__k5,0.3,trss,5,200,195
iv100hz_mat,knn__k3,0.4,trss,2,200,198
iv100hz_mat,knn__k5,0.3,trss,5,200,195
mne_sample_proxy,gaussian,0.4,trss,13,200,187
mne_sample_proxy,kalofolias,0.4,trss,3,200,197
physionet_eegmmidb,aew,0.4,trss,4,200,196
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.1,trss,6,200,194
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.3,trss,6,200,194
physionet_eegmmidb,aew__k4_sigma_corr0_5_sigma_dist1,0.4,trss,7,200,193
physionet_eegmmidb,gaussian,0.1,trss,3,200,197
physionet_eegmmidb,gaussian,0.3,trss,7,200,193
physionet_eegmmidb,knn,0.4,trss,8,200,192
physionet_eegmmidb,knn__k5,0.1,trss,6,200,194
physionet_eegmmidb,knng,0.4,trss,4,200,196
physionet_eegmmidb,nnk,0.4,trss,4,200,196
physionet_eegmmidb,nnk__k4,0.1,trss,7,200,193
physionet_eegmmidb,vknng,0.4,trss,4,200,196
physionet_eegmmidb_real,gaussian__sigma1.0,0.1,trss,10,200,190
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,trss,17,200,183
physionet_eegmmidb_real,gaussian__sigma1.0,0.3,trss,15,200,185
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,trss,2,200,198
physionet_eegmmidb_real,knn__k3,0.4,trss,2,200,198
physionet_eegmmidb_real,knn__k5,0.2,trss,5,200,195
physionet_eegmmidb_real,knn__k5,0.3,trss,5,200,195
synthetic_16ch,gaussian,0.4,trss,9,200,191
synthetic_16ch,kalofolias,0.1,trss,9,200,191
synthetic_16ch,kalofolias,0.3,trss,16,200,184
synthetic_16ch,knn__k3,0.4,trss,12,200,188
synthetic_32ch,gaussian,0.1,trss,10,200,190
synthetic_32ch,gaussian,0.2,trss,10,200,190
synthetic_32ch,gaussian,0.3,trss,10,200,190
synthetic_32ch,gaussian,0.4,trss,10,200,190
synthetic_32ch,kalofolias,0.1,trss,3,200,197
synthetic_32ch,kalofolias,0.2,trss,3,200,197
synthetic_32ch,kalofolias,0.3,trss,3,200,197
synthetic_32ch,kalofolias,0.4,trss,3,200,197
synthetic_32ch,knn__k3,0.1,trss,13,200,187
synthetic_32ch,knn__k3,0.2,trss,13,200,187
synthetic_32ch,knn__k3,0.3,trss,13,200,187
synthetic_32ch,knn__k3,0.4,trss,13,200,187
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,0.3,trss,15,200,185
synthetic_beta,gaussian__sigma1,0.1,trss,17,200,183
synthetic_broad,aew__k4_sigma_corr0_5_sigma_dist1,0.1,trss,15,200,185
synthetic_broad,aew__k4_sigma_corr0_5_sigma_dist1,0.4,trss,16,200,184
bci_competition_iv_2a_proxy,knn__k3,0.4,tv,14,200,186
iv100hz_mat,gaussian__sigma1.0,0.4,tv,2,200,198
iv100hz_mat,knn__k5,0.2,tv,5,200,195
mne_sample_proxy,gaussian__sigma1,0.2,tv,1,200,199
movielens_graph_signal,gaussian__sigma1.0,0.2,tv,17,200,183
movielens_graph_signal,gaussian__sigma1.0,0.3,tv,15,200,185
movielens_graph_signal,gaussian__sigma1.0,0.4,tv,2,200,198
movielens_graph_signal,knn__k3,0.4,tv,2,200,198
movielens_graph_signal,knn__k5,0.2,tv,5,200,195
movielens_graph_signal,knn__k5,0.3,tv,5,200,195
physionet_eegmmidb,gaussian,0.2,tv,7,200,193
physionet_eegmmidb,knn__k5,0.4,tv,7,200,193
physionet_eegmmidb,knng__k4_sigma1,0.4,tv,7,200,193
physionet_eegmmidb,nnk__k4,0.4,tv,9,200,191
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.4,tv,7,200,193
synthetic_16ch,kalofolias,0.2,tv,16,200,184
synthetic_alpha,gaussian__sigma1,0.2,tv,18,200,182
synthetic_alpha,knn__k3,0.4,tv,19,200,181
synthetic_alpha,knng__k4_sigma1,0.4,tv,16,200,184
synthetic_alpha,nnk__k4,0.4,tv,17,200,183
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,0.1,tv,15,200,185
synthetic_beta,aew__k4_sigma_corr0_5_sigma_dist1,0.2,tv,15,200,185
synthetic_beta,kalofolias,0.1,tv,18,200,182
synthetic_beta,knn__k5,0.3,tv,18,200,182
synthetic_beta,vknng__alpha1_k4_k_max8_k_min2,0.1,tv,16,200,184
synthetic_beta,vknng__alpha1_k4_k_max8_k_min2,0.3,tv,16,200,184
synthetic_alpha,aew__k4_sigma_corr0_5_sigma_dist1,0.3,wavelet_temporal,16,200,184
synthetic_alpha,nnk__k4,0.3,wavelet_temporal,18,200,182
