dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,kalofolias,trss,0.4,0,4.393625025417905e-06,1.4136877661344508e-05,11.845323324429062,5.9846956638066597e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.022079299997130875
bci_iv2a_real_s1,kalofolias,trss,0.4,1,4.313199904993278e-06,1.4487742465252736e-05,12.159560896587896,6.096937189402832e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020426600000064354
bci_iv2a_real_s1,kalofolias,trss,0.4,2,4.373882518092892e-06,1.4710913774564526e-05,11.985462610051544,5.964832393873779e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020080000002053566
bci_iv2a_real_s1,kalofolias,trss,0.4,3,4.273326066141903e-06,1.3802342582431372e-05,12.11776360558555,5.849215401785383e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02104640000470681
bci_iv2a_real_s1,kalofolias,trss,0.4,4,4.4513031740959145e-06,1.4712128335526214e-05,12.016686868351506,6.11776945513731e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02079039999807719
bci_iv2a_real_s1,kalofolias,trss,0.4,5,4.2997485575724e-06,1.4904241528554088e-05,11.985824260429872,5.956183361427532e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020480200000747573
bci_iv2a_real_s2,kalofolias,trss,0.4,0,1.2476340411222009e-06,3.129749276181806e-06,20.554372696741456,2.1407502931931852e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020888800005195662
bci_iv2a_real_s2,kalofolias,trss,0.4,1,1.2770254864984742e-06,3.376233077505556e-06,20.24520525871088,2.2939407145209875e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.01999660000001313
bci_iv2a_real_s2,kalofolias,trss,0.4,2,1.2927858639315027e-06,3.528361332844374e-06,20.52854996557689,2.3460701038842983e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020419699998456053
bci_iv2a_real_s2,kalofolias,trss,0.4,3,1.317976409869434e-06,3.6455803701574393e-06,20.422316036585226,2.3881203720500105e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02076439999655122
bci_iv2a_real_s2,kalofolias,trss,0.4,4,1.2819387549254342e-06,3.3275402197606138e-06,20.41720148702561,2.3562984751660396e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.019908499998564366
bci_iv2a_real_s2,kalofolias,trss,0.4,5,1.2326545365183135e-06,3.141090538149024e-06,20.467443336311508,2.3336940802064127e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.02023190000181785
bci_iv2a_real_s3,kalofolias,trss,0.4,0,1.0834297388617073e-06,2.3266220913535372e-06,12.32606276634124,1.725301819750336e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020297499999287538
bci_iv2a_real_s3,kalofolias,trss,0.4,1,1.0474570637892843e-06,2.22366099010932e-06,12.607448688763574,1.708947976750955e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020297600000048988
bci_iv2a_real_s3,kalofolias,trss,0.4,2,1.0756253368439132e-06,2.3312849208597143e-06,12.432994070813088,1.7145990244130465e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.01969670000107726
bci_iv2a_real_s3,kalofolias,trss,0.4,3,1.0681692771818106e-06,2.28985736441547e-06,12.479103237283232,1.6910631434797152e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020958899993274827
bci_iv2a_real_s3,kalofolias,trss,0.4,4,1.0424754973715302e-06,2.196656235491047e-06,12.828942243793785,1.6560260182928175e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.021325800000340678
bci_iv2a_real_s3,kalofolias,trss,0.4,5,1.0633735316477423e-06,2.276450487445322e-06,12.441128510615535,1.7057220591986775e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,10,0.020590600004652515
